run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.6670,1.9348,1.6448,0.9460,0.5589,0.6991,3757.8899,3757.8899,3757.8899,767.0000,767.0000,767.0000
1,433,2,0.27,768,0.0009765625,0,False,False,1.0998,1.8337,1.5872,0.8033,0.5540,0.6463,420.0433,420.0433,420.0433,672.0000,672.0000,672.0000
2,310,5,0.5,768,0.0011782270808598852,0,False,False,1.3382,1.9286,1.6802,0.7564,0.5252,0.6528,305.4248,305.4248,305.4248,697.0000,697.0000,697.0000
3,300,1,0.44,768,0.001421536311369323,0,False,False,1.3620,1.9201,1.6707,0.7421,0.5308,0.6433,256.2587,256.2587,256.2587,686.0000,686.0000,686.0000
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,1.3292,1.8845,1.6658,0.7475,0.5223,0.6400,237.2332,237.2332,237.2332,650.0000,650.0000,650.0000
5,657,3,0.5,768,0.0020692638561704995,0,False,False,1.5437,2.0083,1.7596,0.6971,0.5028,0.6389,166.1732,166.1732,166.1732,684.0000,684.0000,684.0000
6,455,2,0.49,768,0.0024965762178914648,0,False,False,1.6403,2.0526,1.8127,0.6772,0.4888,0.6379,135.5237,135.5237,135.5237,677.0000,677.0000,677.0000
7,103,1,0.44,768,0.0030121305183748843,0,False,False,1.6824,2.0654,1.8272,0.6641,0.4883,0.6223,112.8353,112.8353,112.8353,668.0000,668.0000,668.0000
8,203,4,0.05,768,0.003634149117781824,0,False,False,1.6546,2.0337,1.8216,0.6573,0.4866,0.6039,106.3946,106.3946,106.3946,646.0000,646.0000,646.0000
9,150,4,0.02,768,0.004384617376208487,0,False,False,1.7361,2.0779,1.8759,0.6304,0.4558,0.5737,91.0847,91.0847,91.0847,648.0000,648.0000,648.0000
10,72,3,0.23,768,0.005290060730222237,0,False,False,1.8607,2.1604,1.9462,0.6025,0.4489,0.5617,71.0591,71.0591,71.0591,649.0000,649.0000,649.0000
11,467,3,0.31,768,0.006382482239223045,0,False,False,1.9130,2.1991,1.9828,0.5949,0.4397,0.5700,59.2697,59.2697,59.2697,649.0000,649.0000,649.0000
12,377,0,0.37,768,0.007700493739376462,0,False,False,2.0198,2.2671,2.0670,0.5414,0.4311,0.5308,49.7387,49.7387,49.7387,648.0000,648.0000,648.0000
13,436,2,0.25,768,0.009290680585958758,0,False,False,2.0521,2.2858,2.0986,0.5237,0.4311,0.5342,45.6043,45.6043,45.6043,649.0000,649.0000,649.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,2.1421,2.3556,2.1840,0.5102,0.4224,0.5130,38.3794,38.3794,38.3794,652.0000,652.0000,652.0000
15,326,3,0.09,768,0.013524008765720979,0,False,False,2.1425,2.3501,2.1914,0.5102,0.4166,0.5176,36.0789,36.0789,36.0789,652.0000,652.0000,652.0000
16,326,2,0.02,768,0.01631677785042834,0,False,False,2.2177,2.4064,2.2664,0.5028,0.4052,0.5123,31.0915,31.0915,31.0915,654.0000,654.0000,654.0000
17,247,2,0.15,768,0.01968626640460739,0,False,False,2.3372,2.5039,2.3844,0.4955,0.4102,0.5072,25.3878,25.3878,25.3878,654.0000,654.0000,654.0000
18,179,1,0.01,768,0.02375156961170491,0,False,False,2.4091,2.5661,2.4599,0.4895,0.4051,0.5015,22.1961,22.1961,22.1961,657.0000,657.0000,657.0000
19,137,5,0.3,768,0.028656376350145975,0,False,False,2.5028,2.6669,2.5659,0.4699,0.3798,0.4848,17.9817,17.9817,17.9817,663.0000,663.0000,663.0000
20,786,2,0.24,768,0.03457404790277603,0,False,False,2.5976,2.7539,2.6592,0.4527,0.3430,0.4571,15.2529,15.2529,15.2529,670.0000,670.0000,670.0000
21,410,1,0.49,768,0.04171374544281356,0,False,False,2.7556,2.9088,2.8264,0.4420,0.3307,0.4225,11.5282,11.5282,11.5282,668.0000,668.0000,668.0000
22,388,0,0.48,768,0.050327822873414196,0,False,False,2.8501,2.9932,2.9228,0.4451,0.3307,0.4225,10.1319,10.1319,10.1319,670.0000,670.0000,670.0000
23,38,2,0.4,768,0.06072074632210035,0,False,False,2.9288,3.0712,3.0125,0.4395,0.3536,0.4310,9.0149,9.0149,9.0149,687.0000,687.0000,687.0000
24,467,2,0.11,768,0.07325985555120318,0,False,False,3.0160,3.1504,3.0992,0.4329,0.3391,0.4353,8.0693,8.0693,8.0693,694.0000,694.0000,694.0000
25,176,4,0.05,768,0.08838834764831845,0,False,False,3.1949,3.2834,3.2711,0.4258,0.3403,0.4183,7.4741,7.4741,7.4741,697.0000,697.0000,697.0000
26,57,4,0.0,768,0.10664094190766783,0,False,False,3.3479,3.3994,3.4207,0.4213,0.3389,0.4135,6.8969,6.8969,6.8969,691.0000,691.0000,691.0000
27,968,3,0.22,768,0.12866277958043645,0,False,False,3.5068,3.5224,3.5840,0.4147,0.3389,0.4044,6.6419,6.6419,6.6419,692.0000,692.0000,692.0000
28,268,4,0.37,768,0.15523222650918542,0,False,False,3.6507,3.6257,3.7081,0.4099,0.3563,0.4044,5.1308,5.1308,5.1308,686.0000,686.0000,686.0000
29,270,0,0.04,768,0.18728838460958516,0,False,False,3.8082,3.7452,3.8785,0.4040,0.3687,0.4204,5.1259,5.1259,5.1259,685.0000,685.0000,685.0000
30,596,0,0.43,768,0.22596428459777515,0,False,False,3.4331,3.5697,3.5455,0.4045,0.2927,0.4145,3.4596,3.4596,3.4596,709.0000,709.0000,709.0000
31,694,3,0.18,768,0.2726269331663144,0,False,False,3.4438,3.5696,3.5452,0.3848,0.3305,0.4414,3.4533,3.4533,3.4533,715.0000,715.0000,715.0000
32,837,4,0.09,768,0.32892563008340914,0,False,False,3.3942,3.5508,3.5125,0.3951,0.2829,0.3691,3.3558,3.3558,3.3558,714.0000,714.0000,714.0000
33,487,0,0.14,768,0.39685026299204973,0,False,False,3.3946,3.5510,3.5129,0.3894,0.2552,0.3463,3.3072,3.3072,3.3072,712.0000,712.0000,712.0000
34,418,5,0.37,768,0.47880164034928685,0,False,False,3.3947,3.5511,3.5130,0.3850,0.2726,0.3502,3.3052,3.3052,3.3052,717.0000,717.0000,717.0000
35,407,5,0.35000000000000003,768,0.577676348436136,0,False,False,3.3948,3.5512,3.5131,0.3524,0.2401,0.3449,3.2023,3.2023,3.2023,713.0000,713.0000,713.0000
36,657,2,0.11,768,0.6969691317244994,0,False,False,3.3949,3.5512,3.5132,0.3001,0.2519,0.3102,3.1674,3.1674,3.1674,707.0000,707.0000,707.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,0,False,False,3.3950,3.5513,3.5133,0.2725,0.1852,0.2316,3.2280,3.2280,3.2280,712.0000,712.0000,712.0000
38,398,4,0.23,768,1.0145453349375229,0,False,False,3.3949,3.5512,3.5131,0.3786,0.2945,0.4018,3.2639,3.2639,3.2639,720.0000,720.0000,720.0000
39,369,4,0.29,768,1.2240535433046547,0,False,False,3.3951,3.5514,3.5134,0.2010,0.1396,0.1952,3.0856,3.0856,3.0856,722.0000,722.0000,722.0000
40,75,4,0.33,768,1.4768261459394993,0,False,False,3.3951,3.5514,3.5134,0.2354,0.2311,0.1893,3.1431,3.1431,3.1431,722.0000,722.0000,722.0000
41,179,0,0.02,768,1.7817974362806772,0,False,False,3.3950,3.5513,3.5133,0.2902,0.2575,0.2947,3.0877,3.0877,3.0877,722.0000,722.0000,722.0000
42,442,4,0.19,768,2.149746679841392,0,False,False,3.3951,3.5514,3.5134,0.2597,0.1824,0.2491,3.1003,3.1003,3.1003,726.0000,726.0000,726.0000
43,111,1,0.22,768,2.5936791093020193,0,False,False,3.3951,3.5514,3.5134,0.2860,0.2165,0.3002,2.9713,2.9713,2.9713,731.0000,731.0000,731.0000
44,242,1,0.45,768,3.1292855968155457,0,False,False,3.3951,3.5514,3.5134,0.2721,0.1953,0.2360,3.1216,3.1216,3.1216,725.0000,725.0000,725.0000
45,107,3,0.21,768,3.7754972507267723,0,False,False,3.3951,3.5514,3.5134,0.2496,0.1238,0.2633,3.0307,3.0307,3.0307,720.0000,720.0000,720.0000
46,150,2,0.2,768,4.555154539026766,0,False,False,3.3951,3.5513,3.5134,0.2785,0.2177,0.2631,2.9956,2.9956,2.9956,721.0000,721.0000,721.0000
47,38,1,0.2,768,5.495814589832352,0,False,False,3.3951,3.5514,3.5134,0.2749,0.2032,0.2402,3.0281,3.0281,3.0281,731.0000,731.0000,731.0000
