run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,1.1420,2.7512,2.2714,0.8106,0.4045,0.5327,2076.0088,2076.0088,2076.0088,299.0000,299.0000,299.0000
1,433,2,0.27,300,0.0009765625,0,False,False,1.4428,2.5049,2.0958,0.7495,0.4409,0.5558,443.0707,443.0707,443.0707,257.0000,257.0000,257.0000
2,310,5,0.5,300,0.0011782270808598852,0,False,False,1.7267,2.5439,2.1898,0.6894,0.4219,0.5212,305.7466,305.7466,305.7466,272.0000,272.0000,272.0000
3,300,1,0.44,300,0.001421536311369323,0,False,False,1.7671,2.5309,2.1757,0.6765,0.4340,0.5107,250.4789,250.4789,250.4789,268.0000,268.0000,268.0000
4,1009,2,0.1,300,0.0017150900003645502,0,False,False,1.6899,2.5088,2.1125,0.6741,0.4349,0.5349,230.9422,230.9422,230.9422,237.0000,237.0000,237.0000
5,657,3,0.5,300,0.0020692638561704995,0,False,False,2.0032,2.5855,2.2564,0.6109,0.3911,0.5079,144.0739,144.0739,144.0739,265.0000,265.0000,265.0000
6,455,2,0.49,300,0.0024965762178914648,0,False,False,2.1024,2.6159,2.2922,0.5807,0.3951,0.4978,113.5350,113.5350,113.5350,260.0000,260.0000,260.0000
7,103,1,0.44,300,0.0030121305183748843,0,False,False,2.1456,2.6202,2.2931,0.5541,0.3849,0.4988,93.2970,93.2970,93.2970,253.0000,253.0000,253.0000
8,203,4,0.05,300,0.003634149117781824,0,False,False,1.9949,2.5142,2.1507,0.5702,0.3969,0.5239,95.5093,95.5093,95.5093,228.0000,228.0000,228.0000
9,150,4,0.02,300,0.004384617376208487,0,False,False,2.0659,2.5295,2.1809,0.5456,0.3881,0.5031,79.0646,79.0646,79.0646,227.0000,227.0000,227.0000
10,72,3,0.23,300,0.005290060730222237,0,False,False,2.2296,2.6184,2.2850,0.4968,0.3653,0.4831,55.8411,55.8411,55.8411,233.0000,233.0000,233.0000
11,467,3,0.31,300,0.006382482239223045,0,False,False,2.3110,2.6661,2.3457,0.4735,0.3501,0.4559,44.2486,44.2486,44.2486,233.0000,233.0000,233.0000
12,377,0,0.37,300,0.007700493739376462,0,False,False,2.4016,2.7213,2.4146,0.4489,0.3348,0.4535,36.0517,36.0517,36.0517,233.0000,233.0000,233.0000
13,436,2,0.25,300,0.009290680585958758,0,False,False,2.3962,2.7083,2.4015,0.4451,0.3354,0.4463,32.8394,32.8394,32.8394,227.0000,227.0000,227.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,0,False,False,2.5435,2.8144,2.5370,0.4222,0.3275,0.4440,25.4193,25.4193,25.4193,228.0000,228.0000,228.0000
15,326,3,0.09,300,0.013524008765720979,0,False,False,2.4722,2.7439,2.4444,0.4248,0.3269,0.4553,24.5465,24.5465,24.5465,222.0000,222.0000,222.0000
16,326,2,0.02,300,0.01631677785042834,0,False,False,2.5325,2.7808,2.4875,0.4236,0.3073,0.4653,20.9743,20.9743,20.9743,222.0000,222.0000,222.0000
17,247,2,0.15,300,0.01968626640460739,0,False,False,2.6279,2.8551,2.5885,0.4176,0.3058,0.4556,16.4880,16.4880,16.4880,225.0000,225.0000,225.0000
18,179,1,0.01,300,0.02375156961170491,0,False,False,2.6619,2.8748,2.6134,0.4140,0.3055,0.4596,15.2645,15.2645,15.2645,219.0000,219.0000,219.0000
19,137,5,0.3,300,0.028656376350145975,0,False,False,2.8262,3.0067,2.7985,0.3906,0.2914,0.4517,11.1238,11.1238,11.1238,223.0000,223.0000,223.0000
20,786,2,0.24,300,0.03457404790277603,0,False,False,2.8755,3.0448,2.8513,0.3902,0.2923,0.4521,9.5015,9.5015,9.5015,220.0000,220.0000,220.0000
21,410,1,0.49,300,0.04171374544281356,0,False,False,3.0015,3.1637,3.0131,0.3828,0.2987,0.4439,6.2086,6.2086,6.2086,228.0000,228.0000,228.0000
22,388,0,0.48,300,0.050327822873414196,0,False,False,3.1119,3.2454,3.1250,0.4038,0.3064,0.4403,4.8935,4.8935,4.8935,224.0000,224.0000,224.0000
23,38,2,0.4,300,0.06072074632210035,0,False,False,3.1340,3.2849,3.1683,0.4019,0.3091,0.4452,3.6994,3.6994,3.6994,224.0000,224.0000,224.0000
24,467,2,0.11,300,0.07325985555120318,0,False,False,3.1272,3.2838,3.1602,0.3973,0.3109,0.4452,3.4382,3.4382,3.4382,230.0000,230.0000,230.0000
25,176,4,0.05,300,0.08838834764831845,0,False,False,3.1821,3.3411,3.2341,0.3808,0.3241,0.4253,2.6661,2.6661,2.6661,234.0000,234.0000,234.0000
26,57,4,0.0,300,0.10664094190766783,0,False,False,3.2443,3.4076,3.3200,0.3739,0.3446,0.4253,1.9288,1.9288,1.9288,237.0000,237.0000,237.0000
27,968,3,0.22,300,0.12866277958043645,0,False,False,3.3584,3.5034,3.4502,0.3609,0.3068,0.3465,1.1415,1.1415,1.1415,234.0000,234.0000,234.0000
28,268,4,0.37,300,0.15523222650918542,0,False,False,3.4042,3.5487,3.5099,0.3419,0.2608,0.3187,0.7400,0.7400,0.7400,229.0000,229.0000,229.0000
29,270,0,0.04,300,0.18728838460958516,0,False,False,3.4065,3.5509,3.5127,0.2817,0.1801,0.2920,0.8251,0.8251,0.8251,243.0000,243.0000,243.0000
30,596,0,0.43,300,0.22596428459777515,0,False,False,3.4065,3.5508,3.5127,0.2886,0.2070,0.3030,0.8000,0.8000,0.8000,241.0000,241.0000,241.0000
31,694,3,0.18,300,0.2726269331663144,0,False,False,3.4066,3.5510,3.5128,0.2621,0.1989,0.2382,0.8431,0.8431,0.8431,246.0000,246.0000,246.0000
32,837,4,0.09,300,0.32892563008340914,0,False,False,3.4067,3.5511,3.5129,0.2632,0.2201,0.2655,0.8227,0.8227,0.8227,244.0000,244.0000,244.0000
33,487,0,0.14,300,0.39685026299204973,0,False,False,3.4067,3.5511,3.5130,0.2413,0.2006,0.2373,0.7925,0.7925,0.7925,243.0000,243.0000,243.0000
34,418,5,0.37,300,0.47880164034928685,0,False,False,3.4069,3.5512,3.5132,0.2145,0.1610,0.2088,0.7970,0.7970,0.7970,243.0000,243.0000,243.0000
35,407,5,0.35000000000000003,300,0.577676348436136,0,False,False,3.4069,3.5513,3.5132,0.2222,0.1779,0.2535,0.8112,0.8112,0.8112,250.0000,250.0000,250.0000
36,657,2,0.11,300,0.6969691317244994,0,False,False,3.4069,3.5512,3.5131,0.2369,0.1779,0.2529,0.8165,0.8165,0.8165,253.0000,253.0000,253.0000
37,442,1,0.41000000000000003,300,0.8408964152537145,0,False,False,3.4069,3.5512,3.5132,0.2243,0.1609,0.2098,0.8331,0.8331,0.8331,250.0000,250.0000,250.0000
38,398,4,0.23,300,1.0145453349375229,0,False,False,3.4069,3.5513,3.5132,0.2204,0.1661,0.2121,0.8203,0.8203,0.8203,251.0000,251.0000,251.0000
39,369,4,0.29,300,1.2240535433046547,0,False,False,3.4070,3.5513,3.5133,0.1831,0.1603,0.1753,0.7501,0.7501,0.7501,244.0000,244.0000,244.0000
40,75,4,0.33,300,1.4768261459394993,0,False,False,3.4070,3.5513,3.5133,0.2081,0.1559,0.2196,0.7855,0.7855,0.7855,251.0000,251.0000,251.0000
41,179,0,0.02,300,1.7817974362806772,0,False,False,3.4070,3.5514,3.5133,0.1713,0.1434,0.1695,0.7689,0.7689,0.7689,249.0000,249.0000,249.0000
42,442,4,0.19,300,2.149746679841392,0,False,False,3.4070,3.5513,3.5133,0.2019,0.1592,0.1734,0.7482,0.7482,0.7482,248.0000,248.0000,248.0000
43,111,1,0.22,300,2.5936791093020193,0,False,False,3.4070,3.5514,3.5133,0.1581,0.1147,0.1347,0.7541,0.7541,0.7541,249.0000,249.0000,249.0000
44,242,1,0.45,300,3.1292855968155457,0,False,False,3.4070,3.5513,3.5133,0.1973,0.1576,0.1418,0.7458,0.7458,0.7458,253.0000,253.0000,253.0000
45,107,3,0.21,300,3.7754972507267723,0,False,False,3.4070,3.5513,3.5133,0.1799,0.1527,0.1359,0.7430,0.7430,0.7430,244.0000,244.0000,244.0000
