run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.5558,3.9603,3.7267,0.6805,0.2336,0.3805,330.8087,330.8087,330.8087,212.0000,212.0000,212.0000
1,433,2,0.27,103,0.0009765625,0,False,False,2.8431,3.9532,3.8062,0.6170,0.2478,0.3049,117.8193,117.8193,117.8193,95.0000,95.0000,95.0000
2,310,5,0.5,113,0.0011782270808598852,0,False,False,2.9005,3.9390,3.7628,0.6167,0.1843,0.3401,111.3216,111.3216,111.3216,107.0000,107.0000,107.0000
3,300,1,0.44,99,0.001421536311369323,0,False,False,2.4896,3.6476,3.5502,0.6355,0.2842,0.3762,102.1764,102.1764,102.1764,92.0000,92.0000,92.0000
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,2.9905,3.9018,3.8422,0.6004,0.2498,0.3156,107.2672,107.2672,107.2672,121.0000,121.0000,121.0000
5,657,3,0.5,165,0.0020692638561704995,0,False,False,2.9692,3.8931,3.7597,0.5949,0.2563,0.2844,87.1642,87.1642,87.1642,150.0000,150.0000,150.0000
6,455,2,0.49,60,0.0024965762178914648,0,False,False,2.7667,3.7791,3.5430,0.5999,0.2568,0.3480,53.2007,53.2007,53.2007,54.0000,54.0000,54.0000
7,103,1,0.44,84,0.0030121305183748843,0,False,False,3.0622,3.8542,3.7798,0.5584,0.2710,0.2860,51.1307,51.1307,51.1307,73.0000,73.0000,73.0000
8,203,4,0.05,238,0.003634149117781824,0,False,False,2.8302,3.9246,3.7823,0.5787,0.2636,0.2991,53.0055,53.0055,53.0055,176.0000,176.0000,176.0000
9,150,4,0.02,122,0.004384617376208487,0,False,False,2.6147,3.8739,3.6926,0.5935,0.2413,0.2946,43.8390,43.8390,43.8390,80.0000,80.0000,80.0000
