run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.8690,3.8348,3.5955,0.7141,0.2084,0.3237,1108.2222,1108.2222,1108.2222,212.0000,212.0000,212.0000
1,433,2,0.27,103,0.0009765625,0,False,False,2.3148,3.4772,3.2545,0.5855,0.2054,0.2496,341.6843,341.6843,341.6843,94.0000,94.0000,94.0000
2,310,5,0.5,113,0.0011782270808598852,0,False,False,2.5829,3.3753,3.2453,0.5642,0.1665,0.2415,207.9684,207.9684,207.9684,108.0000,108.0000,108.0000
3,300,1,0.44,99,0.001421536311369323,0,False,False,2.6016,3.2848,3.1947,0.5354,0.2069,0.2866,174.7221,174.7221,174.7221,94.0000,94.0000,94.0000
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,2.1766,3.4224,3.1067,0.6060,0.2076,0.3000,313.4721,313.4721,313.4721,116.0000,116.0000,116.0000
5,657,3,0.5,165,0.0020692638561704995,0,False,False,2.5942,3.2945,3.1125,0.5608,0.2067,0.2860,144.2942,144.2942,144.2942,151.0000,151.0000,151.0000
6,455,2,0.49,60,0.0024965762178914648,0,False,False,3.0288,3.3771,3.3050,0.3694,0.1511,0.2282,50.3257,50.3257,50.3257,55.0000,55.0000,55.0000
7,103,1,0.44,84,0.0030121305183748843,0,False,False,2.9593,3.3556,3.2550,0.3795,0.1801,0.2189,57.4381,57.4381,57.4381,75.0000,75.0000,75.0000
8,203,4,0.05,238,0.003634149117781824,0,False,False,2.6407,3.3440,3.1596,0.4757,0.1988,0.2499,100.8342,100.8342,100.8342,179.0000,179.0000,179.0000
9,150,4,0.02,122,0.004384617376208487,0,False,False,2.8810,3.2954,3.2286,0.3955,0.1911,0.2195,56.5024,56.5024,56.5024,83.0000,83.0000,83.0000
10,72,3,0.23,144,0.005290060730222237,0,False,False,2.9903,3.3760,3.1984,0.3508,0.1733,0.2851,34.6687,34.6687,34.6687,109.0000,109.0000,109.0000
11,467,3,0.31,79,0.006382482239223045,0,False,False,3.1445,3.4389,3.3397,0.2837,0.1400,0.2276,17.8524,17.8524,17.8524,59.0000,59.0000,59.0000
12,377,0,0.37,159,0.007700493739376462,0,False,False,3.1099,3.3687,3.3064,0.3146,0.1980,0.2217,17.1928,17.1928,17.1928,121.0000,121.0000,121.0000
13,436,2,0.25,154,0.009290680585958758,0,False,False,3.1299,3.3462,3.2941,0.3428,0.2127,0.2090,15.8308,15.8308,15.8308,108.0000,108.0000,108.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,0,False,False,3.1877,3.3943,3.3443,0.2975,0.1949,0.2245,10.1016,10.1016,10.1016,107.0000,107.0000,107.0000
15,326,3,0.09,115,0.013524008765720979,0,False,False,3.2184,3.4068,3.3706,0.2822,0.2025,0.2410,8.4617,8.4617,8.4617,72.0000,72.0000,72.0000
16,326,2,0.02,124,0.01631677785042834,0,False,False,3.2318,3.4290,3.3431,0.2892,0.1639,0.2639,7.1096,7.1096,7.1096,77.0000,77.0000,77.0000
17,247,2,0.15,240,0.01968626640460739,0,False,False,3.2562,3.4187,3.3852,0.2760,0.1852,0.1851,5.4236,5.4236,5.4236,172.0000,172.0000,172.0000
18,179,1,0.01,50,0.02375156961170491,0,False,False,3.3474,3.4923,3.4647,0.2093,0.1393,0.1432,2.3128,2.3128,2.3128,22.0000,22.0000,22.0000
