run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.0345,4.3738,3.0584,0.9944,0.5377,0.6823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,0.0103,0.0105,0.0103,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,768,0.0009765625,0,False,False,0.8486,1.9607,1.5539,0.8263,0.5583,0.6643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,False,0.0064,0.0064,0.0063,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,768,0.0011782270808598852,0,False,False,1.8786,2.4158,2.1270,0.4860,0.3814,0.4205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,False,1.1508,1.1509,1.1507,0.6657,0.6651,0.6645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,768,0.001421536311369323,0,False,False,0.2293,1.8400,1.4481,0.9805,0.6059,0.6942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,False,0.0267,0.0269,0.0268,0.9935,0.9935,0.9935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,0.2260,2.7560,1.9560,0.9622,0.5499,0.6886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,False,0.0066,0.0067,0.0067,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,768,0.0020692638561704995,0,False,False,0.7692,1.9692,1.5657,0.8724,0.5301,0.6506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,False,0.1002,0.0994,0.1002,0.9844,0.9844,0.9844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,768,0.0024965762178914648,0,False,False,0.4937,1.8640,1.3963,0.9278,0.5702,0.6820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,False,0.0769,0.0763,0.0754,0.9868,0.9868,0.9868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,768,0.0030121305183748843,0,False,False,0.5602,1.8272,1.5113,0.9212,0.5802,0.6737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,False,0.4188,0.4174,0.4190,0.9527,0.9528,0.9528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,768,0.003634149117781824,0,False,False,1.5653,2.6929,1.9999,0.5736,0.4362,0.5273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,False,0.0065,0.0063,0.0062,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,768,0.004384617376208487,0,False,False,1.4102,2.2764,1.8402,0.6704,0.4439,0.6045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,False,0.0065,0.0065,0.0064,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,True,,,,,,,,,,,,
10,72,3,0.23,768,0.005290060730222237,0,False,False,1.3913,2.1493,1.8206,0.6722,0.4986,0.6074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,False,0.6791,0.6778,0.6796,0.8878,0.8878,0.8878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,True,,,,,,,,,,,,
11,467,3,0.31,768,0.006382482239223045,0,False,False,1.1562,2.0685,1.6499,0.7627,0.5037,0.6312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,False,0.0066,0.0066,0.0065,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,True,,,,,,,,,,,,
12,377,0,0.37,768,0.007700493739376462,0,False,False,0.1019,5.4887,3.6948,0.9801,0.5198,0.6932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,0,True,False,0.0135,0.0134,0.0135,0.9938,0.9938,0.9938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,0,True,True,,,,,,,,,,,,
13,436,2,0.25,768,0.009290680585958758,0,False,False,0.8168,2.0117,1.5375,0.8373,0.5405,0.6675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,0,True,False,0.0062,0.0065,0.0062,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,0,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,0.5133,1.8901,1.4411,0.9167,0.5679,0.6822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,True,False,0.0225,0.0222,0.0226,0.9935,0.9935,0.9935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,True,True,,,,,,,,,,,,
15,326,3,0.09,768,0.013524008765720979,0,False,False,0.8262,2.3270,1.8176,0.8127,0.5165,0.6249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,0,True,False,0.0062,0.0062,0.0062,0.9946,0.9946,0.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
