run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,1.3512,2.6827,2.1396,0.7476,0.3853,0.5207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,1.2474,1.2501,1.2508,0.7440,0.7444,0.7446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,0,False,False,1.9507,2.5199,2.1503,0.5134,0.3469,0.4558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,False,0.8199,0.8187,0.8173,0.7818,0.7818,0.7818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,0,False,False,2.1464,2.6218,2.2411,0.4746,0.3489,0.5094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,False,1.9974,2.0018,2.0020,0.5039,0.5039,0.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,0,False,False,1.4334,2.4463,1.9134,0.6999,0.4223,0.5478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,False,0.8756,0.8772,0.8750,0.7775,0.7770,0.7776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,0,False,False,1.3885,2.7324,2.0619,0.6845,0.3976,0.5403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,False,0.8182,0.8191,0.8188,0.7835,0.7827,0.7831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,0,False,False,1.6139,2.5439,1.8915,0.6220,0.4019,0.5817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,0,True,False,0.8555,0.8566,0.8569,0.7779,0.7776,0.7781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,0,False,False,1.7606,2.4183,1.9454,0.5900,0.4295,0.5340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,0,True,False,0.8501,0.8493,0.8497,0.7789,0.7792,0.7792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,0,False,False,1.5127,2.4147,1.9131,0.6811,0.4223,0.5483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,0,True,False,1.1563,1.1548,1.1574,0.7552,0.7557,0.7557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,300,0.003634149117781824,0,False,False,2.1387,2.6630,2.2923,0.4847,0.3835,0.4548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,0,True,False,0.8519,0.8533,0.8534,0.7796,0.7797,0.7797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,300,0.004384617376208487,0,False,False,2.2521,2.7280,2.3347,0.4702,0.3562,0.4460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,0,True,False,0.8787,0.8757,0.8776,0.7780,0.7776,0.7781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,0,True,True,,,,,,,,,,,,
10,72,3,0.23,300,0.005290060730222237,0,False,False,2.1044,2.5812,2.2281,0.4867,0.3708,0.4702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,0,True,False,1.5766,1.5832,1.5805,0.6351,0.6349,0.6352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,300,0.005290060730222237,0,True,True,,,,,,,,,,,,
11,467,3,0.31,300,0.006382482239223045,0,False,False,2.0191,2.5722,2.1593,0.4766,0.3597,0.4903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,300,0.006382482239223045,0,True,False,0.8285,0.8299,0.8267,0.7794,0.7788,0.7792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,300,0.006382482239223045,0,True,True,,,,,,,,,,,,
12,377,0,0.37,300,0.007700493739376462,0,False,False,1.4781,2.6567,2.1558,0.7355,0.3992,0.5208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,300,0.007700493739376462,0,True,False,1.5440,1.5463,1.5443,0.7015,0.7019,0.7019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,300,0.007700493739376462,0,True,True,,,,,,,,,,,,
13,436,2,0.25,300,0.009290680585958758,0,False,False,1.9090,2.5406,2.1038,0.5149,0.3867,0.4843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,300,0.009290680585958758,0,True,False,0.8212,0.8193,0.8214,0.7802,0.7808,0.7808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,300,0.009290680585958758,0,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,300,0.011209248221179687,0,False,False,1.6884,2.4469,1.9236,0.6214,0.4095,0.5587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,0,True,False,0.8362,0.8353,0.8364,0.7810,0.7804,0.7810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,0,True,True,,,,,,,,,,,,
15,326,3,0.09,300,0.013524008765720979,0,False,False,1.8947,2.6732,2.1970,0.5126,0.3434,0.4737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,300,0.013524008765720979,0,True,False,0.8187,0.8175,0.8199,0.7838,0.7838,0.7838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,300,0.013524008765720979,0,True,True,,,,,,,,,,,,
16,326,2,0.02,300,0.01631677785042834,0,False,False,1.7548,2.7366,2.1586,0.5557,0.3505,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,300,0.01631677785042834,0,True,False,0.8158,0.8142,0.8159,0.7836,0.7828,0.7830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,300,0.01631677785042834,0,True,True,,,,,,,,,,,,
17,247,2,0.15,300,0.01968626640460739,0,False,False,1.4558,2.5876,1.9913,0.6678,0.4122,0.5324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,300,0.01968626640460739,0,True,False,0.8199,0.8187,0.8193,0.7798,0.7794,0.7798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,300,0.01968626640460739,0,True,True,,,,,,,,,,,,
18,179,1,0.01,300,0.02375156961170491,0,False,False,1.8710,2.6685,2.2221,0.5427,0.3989,0.4845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,300,0.02375156961170491,0,True,False,0.8195,0.8193,0.8164,0.7801,0.7796,0.7802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,300,0.02375156961170491,0,True,True,,,,,,,,,,,,
19,137,5,0.3,300,0.028656376350145975,0,False,False,2.2129,2.6855,2.2872,0.4777,0.3448,0.4398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,300,0.028656376350145975,0,True,False,1.8977,1.8984,1.9007,0.5399,0.5399,0.5399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,300,0.028656376350145975,0,True,True,,,,,,,,,,,,
20,786,2,0.24,300,0.03457404790277603,0,False,False,1.6320,2.5072,1.9196,0.6318,0.4179,0.5577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,300,0.03457404790277603,0,True,False,0.8208,0.8193,0.8185,0.7826,0.7830,0.7826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,300,0.03457404790277603,0,True,True,,,,,,,,,,,,
21,410,1,0.49,300,0.04171374544281356,0,False,False,1.6012,2.4295,1.9691,0.6526,0.4147,0.5508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,300,0.04171374544281356,0,True,False,0.9799,0.9798,0.9791,0.7730,0.7734,0.7733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,300,0.04171374544281356,0,True,True,,,,,,,,,,,,
22,388,0,0.48,300,0.050327822873414196,0,False,False,1.6502,2.6648,2.2157,0.7090,0.3785,0.4978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,300,0.050327822873414196,0,True,False,1.8372,1.8369,1.8364,0.6603,0.6606,0.6608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,300,0.050327822873414196,0,True,True,,,,,,,,,,,,
23,38,2,0.4,300,0.06072074632210035,0,False,False,1.7171,2.4718,1.9628,0.6059,0.4094,0.5449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,300,0.06072074632210035,0,True,False,2.1602,2.1610,2.1613,0.4943,0.4946,0.4946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,300,0.06072074632210035,0,True,True,,,,,,,,,,,,
24,467,2,0.11,300,0.07325985555120318,0,False,False,1.6863,2.6478,2.0367,0.6089,0.4023,0.5185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,300,0.07325985555120318,0,True,False,0.8415,0.8416,0.8436,0.7815,0.7815,0.7812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,300,0.07325985555120318,0,True,True,,,,,,,,,,,,
25,176,4,0.05,300,0.08838834764831845,0,False,False,2.2113,2.6971,2.3248,0.4781,0.3974,0.4514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,300,0.08838834764831845,0,True,False,1.0178,1.0153,1.0201,0.7504,0.7499,0.7499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,300,0.08838834764831845,0,True,True,,,,,,,,,,,,
26,57,4,0.0,300,0.10664094190766783,0,False,False,2.0896,2.7364,2.3494,0.4635,0.3631,0.4547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
