run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.0133,2.6959,2.6556,0.6819,0.5265,0.5274,3068.8379,3068.8379,3068.8379,300.0000,300.0000,300.0000
1,433,2,0.27,300,0.0009765625,0,False,False,2.8142,2.8805,2.8508,0.5081,0.4850,0.4924,195.9304,195.9304,195.9304,273.0000,273.0000,273.0000
2,310,5,0.5,300,0.0011782270808598852,0,False,False,2.9836,3.0170,2.9967,0.4835,0.4682,0.4743,128.6914,128.6914,128.6914,281.0000,281.0000,281.0000
3,300,1,0.44,300,0.001421536311369323,0,False,False,2.9821,3.0126,2.9909,0.4788,0.4623,0.4724,112.3107,112.3107,112.3107,275.0000,275.0000,275.0000
4,1009,2,0.1,300,0.0017150900003645502,0,False,False,2.8778,2.9258,2.8953,0.4811,0.4677,0.4754,122.8750,122.8750,122.8750,253.0000,253.0000,253.0000
5,657,3,0.5,300,0.0020692638561704995,0,False,False,3.0992,3.1112,3.0925,0.4496,0.4408,0.4462,70.6323,70.6323,70.6323,271.0000,271.0000,271.0000
6,455,2,0.49,300,0.0024965762178914648,0,False,False,3.1289,3.1360,3.1185,0.4372,0.4331,0.4349,58.2817,58.2817,58.2817,267.0000,267.0000,267.0000
7,103,1,0.44,300,0.0030121305183748843,0,False,False,3.1374,3.1381,3.1212,0.4307,0.4288,0.4287,50.6603,50.6603,50.6603,260.0000,260.0000,260.0000
8,203,4,0.05,300,0.003634149117781824,0,False,False,3.0573,3.0695,3.0485,0.4378,0.4349,0.4407,58.6511,58.6511,58.6511,239.0000,239.0000,239.0000
9,150,4,0.02,300,0.004384617376208487,0,False,False,3.0813,3.0885,3.0712,0.4302,0.4310,0.4288,49.4902,49.4902,49.4902,236.0000,236.0000,236.0000
10,72,3,0.23,300,0.005290060730222237,0,False,False,3.1756,3.1741,3.1611,0.3938,0.3874,0.3830,34.8861,34.8861,34.8861,239.0000,239.0000,239.0000
11,467,3,0.31,300,0.006382482239223045,0,False,False,3.2406,3.2329,3.2214,0.3647,0.3588,0.3568,27.1511,27.1511,27.1511,239.0000,239.0000,239.0000
12,377,0,0.37,300,0.007700493739376462,0,False,False,3.2919,3.2816,3.2706,0.3488,0.3451,0.3437,21.6772,21.6772,21.6772,237.0000,237.0000,237.0000
13,436,2,0.25,300,0.009290680585958758,0,False,False,3.3048,3.2944,3.2834,0.3465,0.3418,0.3418,19.1287,19.1287,19.1287,230.0000,230.0000,230.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,0,False,False,3.3702,3.3617,3.3503,0.3403,0.3367,0.3332,14.6679,14.6679,14.6679,234.0000,234.0000,234.0000
15,326,3,0.09,300,0.013524008765720979,0,False,False,3.3398,3.3268,3.3162,0.3420,0.3344,0.3350,15.2020,15.2020,15.2020,225.0000,225.0000,225.0000
16,326,2,0.02,300,0.01631677785042834,0,False,False,3.3588,3.3463,3.3362,0.3390,0.3332,0.3313,13.5732,13.5732,13.5732,223.0000,223.0000,223.0000
