run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.6846,4.5063,4.3918,0.6973,0.3200,0.3379,599.3840,599.3840,599.3840,212.0000,212.0000,212.0000
1,433,2,0.27,103,0.0009765625,0,False,False,2.0032,4.2363,4.0505,0.7253,0.3378,0.3548,164.2902,164.2902,164.2902,95.0000,95.0000,95.0000
2,310,5,0.5,113,0.0011782270808598852,0,False,False,1.8688,3.7292,3.6013,0.7443,0.3572,0.3592,113.0426,113.0426,113.0426,105.0000,105.0000,105.0000
3,300,1,0.44,99,0.001421536311369323,0,False,False,1.7219,3.8203,3.6874,0.7638,0.3477,0.3637,105.2356,105.2356,105.2356,91.0000,91.0000,91.0000
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,3.3476,4.6194,4.4980,0.5391,0.3095,0.3188,47.4446,47.4446,47.4446,130.0000,130.0000,130.0000
5,657,3,0.5,165,0.0020692638561704995,0,False,False,1.9868,3.8314,3.7165,0.6977,0.3379,0.3559,55.3238,55.3238,55.3238,149.0000,149.0000,149.0000
6,455,2,0.49,60,0.0024965762178914648,0,False,False,2.0885,3.6420,3.5531,0.6941,0.3436,0.3558,39.3077,39.3077,39.3077,53.0000,53.0000,53.0000
7,103,1,0.44,84,0.0030121305183748843,0,False,False,2.0166,3.7848,3.6756,0.6863,0.3371,0.3569,36.4186,36.4186,36.4186,72.0000,72.0000,72.0000
8,203,4,0.05,238,0.003634149117781824,0,False,False,3.7429,4.6884,4.5384,0.5083,0.3053,0.3213,32.6776,32.6776,32.6776,191.0000,191.0000,191.0000
9,150,4,0.02,122,0.004384617376208487,0,False,False,3.7883,4.6086,4.5223,0.4982,0.3078,0.3191,24.2114,24.2114,24.2114,90.0000,90.0000,90.0000
10,72,3,0.23,144,0.005290060730222237,0,False,False,1.9564,4.1799,4.0421,0.6907,0.3239,0.3452,42.5900,42.5900,42.5900,107.0000,107.0000,107.0000
11,467,3,0.31,79,0.006382482239223045,0,False,False,2.0731,3.8627,3.7863,0.6742,0.3373,0.3518,26.4682,26.4682,26.4682,57.0000,57.0000,57.0000
12,377,0,0.37,159,0.007700493739376462,0,False,False,2.1434,3.8536,3.7568,0.6586,0.3324,0.3507,27.6786,27.6786,27.6786,117.0000,117.0000,117.0000
13,436,2,0.25,154,0.009290680585958758,0,False,False,2.1296,3.9604,3.8676,0.6587,0.3250,0.3434,26.9936,26.9936,26.9936,106.0000,106.0000,106.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,0,False,False,2.1492,3.7449,3.6583,0.6604,0.3309,0.3453,20.5466,20.5466,20.5466,104.0000,104.0000,104.0000
15,326,3,0.09,115,0.013524008765720979,0,False,False,2.1308,4.0852,3.9866,0.6547,0.3211,0.3360,22.6473,22.6473,22.6473,72.0000,72.0000,72.0000
16,326,2,0.02,124,0.01631677785042834,0,False,False,3.3471,4.3887,4.2730,0.5272,0.3247,0.3414,13.4241,13.4241,13.4241,77.0000,77.0000,77.0000
17,247,2,0.15,240,0.01968626640460739,0,False,False,2.1496,3.8496,3.7620,0.6506,0.3154,0.3364,17.3830,17.3830,17.3830,176.0000,176.0000,176.0000
