run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.1098,3.7643,3.7351,0.4541,0.2447,0.2563,1496.9553,1496.9553,1496.9553,212.0000,212.0000,212.0000
1,433,2,0.27,103,0.0009765625,0,False,False,3.6852,3.7205,3.6920,0.2490,0.2215,0.2145,66.1885,66.1885,66.1885,97.0000,97.0000,97.0000
2,310,5,0.5,113,0.0011782270808598852,0,False,False,3.7148,3.7243,3.6967,0.2506,0.2167,0.2290,45.2090,45.2090,45.2090,109.0000,109.0000,109.0000
3,300,1,0.44,99,0.001421536311369323,0,False,False,3.7436,3.7535,3.7276,0.2303,0.1959,0.2006,33.3706,33.3706,33.3706,94.0000,94.0000,94.0000
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,3.7370,3.7334,3.7134,0.2222,0.2147,0.2156,21.4560,21.4560,21.4560,131.0000,131.0000,131.0000
5,657,3,0.5,165,0.0020692638561704995,0,False,False,3.7584,3.7488,3.7321,0.2193,0.2108,0.2139,16.8301,16.8301,16.8301,155.0000,155.0000,155.0000
6,455,2,0.49,60,0.0024965762178914648,0,False,False,3.8013,3.7923,3.7724,0.1979,0.1839,0.1973,13.7942,13.7942,13.7942,57.0000,57.0000,57.0000
7,103,1,0.44,84,0.0030121305183748843,0,False,False,3.7985,3.7856,3.7663,0.1893,0.1875,0.1790,8.6064,8.6064,8.6064,77.0000,77.0000,77.0000
8,203,4,0.05,238,0.003634149117781824,0,False,False,3.7418,3.7349,3.7087,0.2173,0.1978,0.2173,13.2008,13.2008,13.2008,193.0000,193.0000,193.0000
9,150,4,0.02,122,0.004384617376208487,0,False,False,3.7911,3.7730,3.7586,0.1995,0.2007,0.1902,7.4456,7.4456,7.4456,95.0000,95.0000,95.0000
10,72,3,0.23,144,0.005290060730222237,0,False,False,3.7812,3.7679,3.7478,0.2154,0.1970,0.2153,6.3421,6.3421,6.3421,114.0000,114.0000,114.0000
11,467,3,0.31,79,0.006382482239223045,0,False,False,3.8143,3.7925,3.7796,0.1916,0.1886,0.1746,3.7137,3.7137,3.7137,62.0000,62.0000,62.0000
12,377,0,0.37,159,0.007700493739376462,0,False,False,3.7965,3.7744,3.7566,0.1831,0.1852,0.1815,4.4905,4.4905,4.4905,124.0000,124.0000,124.0000
13,436,2,0.25,154,0.009290680585958758,0,False,False,3.7973,3.7800,3.7626,0.2199,0.2170,0.2252,3.6869,3.6869,3.6869,111.0000,111.0000,111.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,0,False,False,3.8063,3.7864,3.7697,0.2272,0.2233,0.2276,3.1931,3.1931,3.1931,108.0000,108.0000,108.0000
15,326,3,0.09,115,0.013524008765720979,0,False,False,3.8240,3.8031,3.7892,0.2160,0.2108,0.2119,2.1532,2.1532,2.1532,75.0000,75.0000,75.0000
16,326,2,0.02,124,0.01631677785042834,0,False,False,3.8186,3.7995,3.7836,0.1489,0.1404,0.1465,2.0091,2.0091,2.0091,79.0000,79.0000,79.0000
17,247,2,0.15,240,0.01968626640460739,0,False,False,3.8430,3.8224,3.8075,0.2167,0.2058,0.2097,1.3909,1.3909,1.3909,174.0000,174.0000,174.0000
18,179,1,0.01,50,0.02375156961170491,0,False,False,3.8547,3.8327,3.8189,0.1838,0.1884,0.1899,0.1509,0.1509,0.1509,22.0000,22.0000,22.0000
19,137,5,0.3,235,0.028656376350145975,0,False,False,3.8594,3.8349,3.8211,0.1752,0.1716,0.1746,0.4806,0.4806,0.4806,168.0000,168.0000,168.0000
20,786,2,0.24,144,0.03457404790277603,0,False,False,3.8584,3.8351,3.8213,0.1704,0.1656,0.1653,0.2258,0.2258,0.2258,91.0000,91.0000,91.0000
21,410,1,0.49,188,0.04171374544281356,0,False,False,3.8544,3.8351,3.8213,0.1729,0.1710,0.1681,0.3347,0.3347,0.3347,128.0000,128.0000,128.0000
22,388,0,0.48,59,0.050327822873414196,0,False,False,3.8577,3.8351,3.8212,0.1673,0.1571,0.1601,0.0639,0.0639,0.0639,28.0000,28.0000,28.0000
