run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.6903,3.7753,3.6652,0.8658,0.5944,0.5949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,0.5281,0.5279,0.5282,0.8699,0.8699,0.8699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,768,0.0009765625,0,False,False,1.1197,1.9421,1.9218,0.8274,0.6556,0.6558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,False,0.4686,0.4684,0.4688,0.9729,0.9729,0.9729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,768,0.0011782270808598852,0,False,False,2.5879,2.9287,2.8708,0.4632,0.4157,0.4059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,False,2.7403,2.7405,2.7394,0.4089,0.4089,0.4089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,768,0.001421536311369323,0,False,False,1.4057,2.0406,1.9869,0.7970,0.6568,0.6540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,False,2.1452,2.1455,2.1483,0.6175,0.6175,0.6175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,768,0.0017150900003645502,0,False,False,1.2018,1.9809,1.9630,0.7860,0.6422,0.6503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,False,0.0066,0.0063,0.0064,0.9970,0.9970,0.9970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,768,0.0020692638561704995,0,False,False,1.4422,2.2057,2.1828,0.7852,0.6269,0.6179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,False,2.2308,2.2345,2.2336,0.5912,0.5912,0.5912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,768,0.0024965762178914648,0,False,False,1.1779,2.0353,1.9657,0.8457,0.6621,0.6593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,False,2.3671,2.3669,2.3685,0.5540,0.5540,0.5540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,768,0.0030121305183748843,0,False,False,1.8179,2.1622,2.1200,0.7151,0.6346,0.6319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,False,2.7559,2.7547,2.7573,0.4543,0.4543,0.4543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,768,0.003634149117781824,0,False,False,1.7735,2.6027,2.5556,0.6602,0.5488,0.5452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,False,0.2013,0.2011,0.2011,0.9858,0.9858,0.9858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,768,0.004384617376208487,0,False,False,1.8063,2.3960,2.3838,0.6515,0.5611,0.5552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,False,0.2114,0.2116,0.2120,0.9843,0.9843,0.9843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,0,True,True,,,,,,,,,,,,
10,72,3,0.23,768,0.005290060730222237,0,False,False,1.8710,2.4868,2.4343,0.6671,0.5624,0.5589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,False,2.4656,2.4649,2.4651,0.4754,0.4754,0.4754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,0,True,True,,,,,,,,,,,,
11,467,3,0.31,768,0.006382482239223045,0,False,False,1.0798,2.1461,2.1167,0.8446,0.6431,0.6387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,False,1.4846,1.4840,1.4813,0.7856,0.7856,0.7856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,0,True,True,,,,,,,,,,,,
12,377,0,0.37,768,0.007700493739376462,0,False,False,0.8635,4.1272,4.0029,0.8306,0.5812,0.5802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,0,True,False,1.8198,1.8192,1.8211,0.6176,0.6176,0.6176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,0,True,True,,,,,,,,,,,,
13,436,2,0.25,768,0.009290680585958758,0,False,False,1.1631,1.9423,1.9064,0.8214,0.6587,0.6593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,0,True,False,0.4861,0.4839,0.4843,0.9688,0.9688,0.9688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,0,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,768,0.011209248221179687,0,False,False,1.0810,1.9918,1.9469,0.8552,0.6629,0.6616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,True,False,2.0947,2.0924,2.0963,0.6524,0.6524,0.6524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,0,True,True,,,,,,,,,,,,
15,326,3,0.09,768,0.013524008765720979,0,False,False,1.4209,2.2169,2.1874,0.7491,0.6022,0.5969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,0,True,False,0.1352,0.1350,0.1351,0.9908,0.9908,0.9908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,0,True,True,,,,,,,,,,,,
16,326,2,0.02,768,0.01631677785042834,0,False,False,1.3045,2.0128,1.9931,0.7649,0.6302,0.6357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,0,True,False,0.0361,0.0362,0.0361,0.9941,0.9941,0.9941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,0,True,True,,,,,,,,,,,,
17,247,2,0.15,768,0.01968626640460739,0,False,False,1.1886,1.9625,1.9064,0.8055,0.6475,0.6544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,0,True,False,0.3808,0.3809,0.3808,0.9752,0.9752,0.9752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,0,True,True,,,,,,,,,,,,
18,179,1,0.01,768,0.02375156961170491,0,False,False,1.1457,2.0596,2.0155,0.7895,0.6242,0.6262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,0,True,False,0.0524,0.0521,0.0519,0.9938,0.9938,0.9938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,0,True,True,,,,,,,,,,,,
19,137,5,0.3,768,0.028656376350145975,0,False,False,2.8516,2.9756,2.9441,0.3812,0.3642,0.3602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,0,True,False,2.7079,2.7065,2.7109,0.4045,0.4045,0.4045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,0,True,True,,,,,,,,,,,,
20,786,2,0.24,768,0.03457404790277603,0,False,False,1.1515,1.9320,1.8912,0.8179,0.6645,0.6585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,0,True,False,0.0910,0.0914,0.0914,0.9930,0.9930,0.9930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,0,True,True,,,,,,,,,,,,
21,410,1,0.49,768,0.04171374544281356,0,False,False,1.6887,2.1565,2.1146,0.7425,0.6341,0.6345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,0,True,False,2.4667,2.4646,2.4664,0.5423,0.5423,0.5423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,0,True,True,,,,,,,,,,,,
