run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.2635,2.8475,2.8310,0.6406,0.5019,0.5083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,2.3960,2.3959,2.3944,0.5516,0.5516,0.5516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,0,False,False,2.0671,2.6737,2.5902,0.6516,0.5323,0.5531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,False,1.0329,1.0317,1.0321,0.8372,0.8372,0.8372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,0,False,False,2.8762,3.0239,2.9939,0.3833,0.3613,0.3615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,False,2.9108,2.9113,2.9110,0.3872,0.3872,0.3872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,0,False,False,1.9899,2.5522,2.5106,0.6923,0.5577,0.5604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,False,2.5200,2.5227,2.5239,0.5339,0.5339,0.5339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,0,False,False,1.9658,2.7373,2.6425,0.6737,0.5239,0.5407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,False,0.3129,0.3122,0.3114,0.9119,0.9119,0.9119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,0,False,False,2.2062,2.6506,2.5815,0.6202,0.5325,0.5364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,0,True,False,2.5756,2.5736,2.5766,0.4894,0.4894,0.4894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,0,False,False,2.0522,2.5668,2.4919,0.6569,0.5523,0.5609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,0,True,False,2.5676,2.5685,2.5685,0.4892,0.4892,0.4892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,0,False,False,2.4124,2.6422,2.6141,0.5966,0.5381,0.5393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,0,True,False,2.9977,2.9970,2.9968,0.3958,0.3958,0.3958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,0,True,True,,,,,,,,,,,,
