run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.7369,4.7929,4.7489,0.7082,0.2937,0.3012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,0.3489,0.3495,0.3482,0.9081,0.9081,0.9081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,0,False,False,2.2692,3.1440,3.0632,0.6654,0.3872,0.3953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,False,0.3608,0.3606,0.3611,0.9080,0.9079,0.9079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,0,False,False,2.7953,3.2760,3.2576,0.5057,0.3471,0.3544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,False,2.4142,2.4109,2.4133,0.4616,0.4616,0.4616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,0,False,False,2.2503,3.1257,3.0633,0.6882,0.3765,0.3857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,False,0.4730,0.4731,0.4729,0.8989,0.8989,0.8989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,True,,,,,,,,,,,,
