run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.7410,4.1206,4.1037,0.4730,0.2579,0.2627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,2.8992,2.8967,2.8954,0.4126,0.4125,0.4126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,0,False,False,2.3120,3.1452,3.0818,0.6629,0.3839,0.3981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,False,1.7670,1.7680,1.7653,0.6996,0.6996,0.6995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,0,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,0,False,False,3.4960,3.5105,3.4829,0.2780,0.2777,0.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,False,3.2780,3.2820,3.2795,0.3101,0.3104,0.3105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,0,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,0,False,False,2.9087,3.1890,3.1409,0.5428,0.3584,0.3661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,False,3.1212,3.1235,3.1255,0.4286,0.4286,0.4286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,0,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,0,False,False,2.5810,3.2610,3.2069,0.5595,0.3544,0.3612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,False,0.3416,0.3401,0.3416,0.9080,0.9080,0.9080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,0,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,0,False,False,2.9123,3.1803,3.1275,0.5059,0.3482,0.3607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,False,3.1310,3.1299,3.1317,0.3805,0.3805,0.3805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,0,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,0,False,False,3.1193,3.2678,3.2105,0.4152,0.3317,0.3411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,0,True,False,3.2999,3.2958,3.2986,0.3051,0.3051,0.3050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,0,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,0,False,False,3.2091,3.2929,3.2500,0.4252,0.3414,0.3477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,0,True,False,3.4051,3.4041,3.4063,0.3128,0.3128,0.3128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,0,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,0,False,False,2.9380,3.2773,3.2116,0.4258,0.3089,0.3170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,0,True,False,1.1237,1.1263,1.1259,0.7876,0.7876,0.7876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,0,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,0,False,False,2.8465,3.3570,3.2658,0.4357,0.3058,0.3269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
