run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.4213,0.4587,0.4713,0.9072,0.8969,0.8956,604.1912,604.1912,604.1912,15.0000,15.0000,15.0000
1,433,2,0.27,300,0.0009765625,1,False,False,0.5497,0.5695,0.5762,0.8866,0.8805,0.8803,235.3941,235.3941,235.3941,15.0000,15.0000,15.0000
2,310,5,0.5,300,0.0011782270808598852,1,False,False,0.6596,0.6755,0.6816,0.8620,0.8583,0.8575,197.0623,197.0623,197.0623,15.0000,15.0000,15.0000
3,300,1,0.44,300,0.001421536311369323,1,False,False,0.6511,0.6674,0.6731,0.8647,0.8618,0.8606,191.7832,191.7832,191.7832,15.0000,15.0000,15.0000
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,0.5773,0.5965,0.6017,0.8851,0.8789,0.8799,199.3753,199.3753,199.3753,15.0000,15.0000,15.0000
5,657,3,0.5,300,0.0020692638561704995,2,False,False,0.7366,0.7513,0.7565,0.8508,0.8486,0.8474,160.9969,160.9969,160.9969,15.0000,15.0000,15.0000
6,455,2,0.49,300,0.0024965762178914648,2,False,False,0.7680,0.7823,0.7874,0.8464,0.8448,0.8428,149.0939,149.0939,149.0939,15.0000,15.0000,15.0000
7,103,1,0.44,300,0.0030121305183748843,3,False,False,0.7886,0.8027,0.8079,0.8458,0.8449,0.8427,138.9739,138.9739,138.9739,15.0000,15.0000,15.0000
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.7268,0.7421,0.7472,0.8629,0.8608,0.8595,139.8135,139.8135,139.8135,15.0000,15.0000,15.0000
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.7773,0.7918,0.7971,0.8537,0.8512,0.8496,126.5993,126.5993,126.5993,15.0000,15.0000,15.0000
10,72,3,0.23,300,0.005290060730222237,4,False,False,0.8898,0.9024,0.9090,0.8334,0.8331,0.8294,108.5849,108.5849,108.5849,14.0000,14.0000,14.0000
11,467,3,0.31,300,0.006382482239223045,4,False,False,0.9952,1.0064,1.0144,0.8151,0.8133,0.8128,93.3978,93.3978,93.3978,15.0000,15.0000,15.0000
12,377,0,0.37,300,0.007700493739376462,4,False,False,1.1111,1.1209,1.1301,0.7942,0.7925,0.7917,79.3718,79.3718,79.3718,14.0000,14.0000,14.0000
13,436,2,0.25,300,0.009290680585958758,4,False,False,1.1731,1.1822,1.1918,0.7738,0.7726,0.7706,70.7669,70.7669,70.7669,14.0000,14.0000,14.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,5,False,False,1.3454,1.3529,1.3629,0.7351,0.7341,0.7328,56.9707,56.9707,56.9707,15.0000,15.0000,15.0000
15,326,3,0.09,300,0.013524008765720979,5,False,False,1.3707,1.3771,1.3877,0.7273,0.7293,0.7255,52.6590,52.6590,52.6590,14.0000,14.0000,14.0000
16,326,2,0.02,300,0.01631677785042834,5,False,False,1.4895,1.4937,1.5045,0.6939,0.6948,0.6928,44.4915,44.4915,44.4915,13.0000,13.0000,13.0000
17,247,2,0.15,300,0.01968626640460739,6,False,False,1.6431,1.6471,1.6569,0.6725,0.6720,0.6724,36.4553,36.4553,36.4553,14.0000,14.0000,14.0000
18,179,1,0.01,300,0.02375156961170491,6,False,False,1.7523,1.7564,1.7649,0.6420,0.6421,0.6410,31.2039,31.2039,31.2039,12.0000,12.0000,12.0000
19,137,5,0.3,300,0.028656376350145975,6,False,False,1.9746,1.9787,1.9857,0.6006,0.5967,0.6014,23.3964,23.3964,23.3964,12.0000,12.0000,12.0000
20,786,2,0.24,300,0.03457404790277603,7,False,False,2.1348,2.1389,2.1438,0.5767,0.5738,0.5767,18.3179,18.3179,18.3179,11.0000,11.0000,11.0000
21,410,1,0.49,300,0.04171374544281356,7,False,False,2.3397,2.3417,2.3478,0.5143,0.5123,0.5146,13.5137,13.5137,13.5137,10.0000,10.0000,10.0000
22,388,0,0.48,300,0.050327822873414196,7,False,False,2.4827,2.4832,2.4902,0.4787,0.4784,0.4798,10.4709,10.4709,10.4709,9.0000,9.0000,9.0000
23,38,2,0.4,300,0.06072074632210035,8,False,False,2.5958,2.5958,2.6025,0.4331,0.4343,0.4339,8.3980,8.3980,8.3980,9.0000,9.0000,9.0000
24,467,2,0.11,300,0.07325985555120318,8,False,False,2.7014,2.7007,2.7074,0.4072,0.4088,0.4085,6.6324,6.6324,6.6324,9.0000,9.0000,9.0000
25,176,4,0.05,300,0.08838834764831845,8,False,False,2.7654,2.7645,2.7710,0.4072,0.4088,0.4085,5.8421,5.8421,5.8421,7.0000,7.0000,7.0000
26,57,4,0.0,300,0.10664094190766783,8,False,False,2.8342,2.8332,2.8392,0.4072,0.4088,0.4085,5.1369,5.1369,5.1369,8.0000,8.0000,8.0000
