run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.1658,0.7978,0.8294,0.9617,0.8229,0.8168,161.8375,161.8375,161.8375,15.0000,15.0000,15.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.1344,0.7729,0.7971,0.9616,0.8300,0.8218,84.9731,84.9731,84.9731,14.0000,14.0000,14.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,0.1363,0.7524,0.7776,0.9616,0.8332,0.8253,93.4923,93.4923,93.4923,15.0000,15.0000,15.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,0.1393,0.7661,0.7985,0.9616,0.8306,0.8209,87.7217,87.7217,87.7217,14.0000,14.0000,14.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.1434,0.7596,0.7865,0.9616,0.8305,0.8237,71.8284,71.8284,71.8284,13.0000,13.0000,13.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.1499,0.7281,0.7572,0.9616,0.8377,0.8302,81.8578,81.8578,81.8578,15.0000,15.0000,15.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.1557,0.7903,0.8156,0.9616,0.8302,0.8232,84.6648,84.6648,84.6648,12.0000,12.0000,12.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,0.1617,0.7748,0.7897,0.9616,0.8299,0.8275,75.1200,75.1200,75.1200,13.0000,13.0000,13.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.1693,0.7395,0.7603,0.9616,0.8393,0.8358,64.3515,64.3515,64.3515,14.0000,14.0000,14.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.1786,0.7775,0.8085,0.9616,0.8348,0.8249,61.4132,61.4132,61.4132,10.0000,10.0000,10.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,0.1937,0.7553,0.7824,0.9615,0.8410,0.8341,60.7126,60.7126,60.7126,10.0000,10.0000,10.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.2137,0.7933,0.8188,0.9615,0.8333,0.8253,59.6761,59.6761,59.6761,10.0000,10.0000,10.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.2418,0.7793,0.8033,0.9614,0.8419,0.8358,55.4640,55.4640,55.4640,10.0000,10.0000,10.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.2520,0.7886,0.8129,0.9613,0.8490,0.8432,50.7417,50.7417,50.7417,9.0000,9.0000,9.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,0.2916,0.8079,0.8361,0.9600,0.8441,0.8364,47.9294,47.9294,47.9294,10.0000,10.0000,10.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.3157,0.8504,0.8774,0.9547,0.8337,0.8272,42.8351,42.8351,42.8351,7.0000,7.0000,7.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.3622,0.8889,0.9185,0.9537,0.8369,0.8307,38.1461,38.1461,38.1461,5.0000,5.0000,5.0000
17,247,2,0.15,240,0.01968626640460739,6,False,False,0.4137,0.9232,0.9513,0.9517,0.8374,0.8318,35.2413,35.2413,35.2413,8.0000,8.0000,8.0000
18,179,1,0.01,50,0.02375156961170491,6,False,False,0.4599,0.9931,1.0327,0.9507,0.8249,0.8139,32.0979,32.0979,32.0979,6.0000,6.0000,6.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,0.5446,1.0277,1.0578,0.9427,0.8240,0.8164,29.3743,29.3743,29.3743,10.0000,10.0000,10.0000
20,786,2,0.24,144,0.03457404790277603,7,False,False,0.6686,1.1586,1.1888,0.9308,0.8237,0.8191,24.8990,24.8990,24.8990,4.0000,4.0000,4.0000
21,410,1,0.49,188,0.04171374544281356,7,False,False,0.7210,1.2229,1.2523,0.9310,0.8051,0.7998,22.2545,22.2545,22.2545,5.0000,5.0000,5.0000
22,388,0,0.48,59,0.050327822873414196,7,False,False,0.7563,1.3464,1.3806,0.9304,0.7895,0.7823,19.6339,19.6339,19.6339,4.0000,4.0000,4.0000
23,38,2,0.4,176,0.06072074632210035,8,False,False,1.2595,1.6181,1.6409,0.7751,0.7041,0.7013,14.5143,14.5143,14.5143,3.0000,3.0000,3.0000
