run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.4405,0.4833,0.5054,0.9053,0.8976,0.8942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,3.0908,3.0908,3.0908,0.2437,0.2437,0.2437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,1,False,False,0.1833,0.2822,0.2939,0.9513,0.9332,0.9304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,2.4421,2.4421,2.4421,0.4011,0.4011,0.4011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,1,False,False,0.5308,0.6162,0.6446,0.8654,0.8601,0.8557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,False,3.0758,3.0758,3.0758,0.2415,0.2415,0.2415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,1,False,False,0.2429,0.3184,0.3287,0.9417,0.9284,0.9260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,False,2.9536,2.9536,2.9536,0.2714,0.2714,0.2714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,0.1979,0.2977,0.3067,0.9490,0.9304,0.9285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,False,2.0748,2.0748,2.0748,0.4389,0.4389,0.4389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,2,False,False,0.1971,0.2828,0.2966,0.9472,0.9323,0.9275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,True,False,2.8518,2.8518,2.8518,0.3130,0.3130,0.3130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,2,False,False,0.1979,0.2841,0.2979,0.9469,0.9312,0.9264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,2,True,False,2.8715,2.8715,2.8715,0.2915,0.2915,0.2915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,2,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,3,False,False,0.3475,0.3921,0.4044,0.9225,0.9140,0.9102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,3,True,False,3.0571,3.0571,3.0571,0.2487,0.2487,0.2487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,3,True,True,,,,,,,,,,,,
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.1929,0.3287,0.3362,0.9513,0.9285,0.9255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,3,True,False,2.3399,2.3399,2.3399,0.4187,0.4187,0.4187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,3,True,True,,,,,,,,,,,,
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.2119,0.3385,0.3545,0.9470,0.9267,0.9238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,3,True,False,2.2917,2.2917,2.2917,0.4230,0.4230,0.4230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,3,True,True,,,,,,,,,,,,
