run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,2.1716,2.1759,2.1923,0.4035,0.4044,0.4044,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,2.2202,2.2223,2.2397,0.4031,0.4042,0.4039,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,2.3130,2.3123,2.3298,0.4017,0.4032,0.4029,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,2.2863,2.2865,2.3040,0.4023,0.4035,0.4031,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.1113,1.1415,1.1542,0.7337,0.7291,0.7254,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.3154,1.3296,1.3403,0.7084,0.7060,0.7037,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.3096,1.3242,1.3347,0.7092,0.7067,0.7041,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.9399,0.9611,0.9791,0.7879,0.7809,0.7783,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7159,0.7648,0.7808,0.8393,0.8301,0.8275,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.6961,0.7535,0.7695,0.8440,0.8334,0.8304,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.6783,0.7161,0.7264,0.8488,0.8394,0.8386,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.7060,0.7383,0.7511,0.8425,0.8346,0.8321,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.7385,0.7678,0.7819,0.8347,0.8278,0.8249,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,0.6694,0.7056,0.7184,0.8513,0.8436,0.8404,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,0.6502,0.6843,0.6919,0.8548,0.8460,0.8461,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,0.5001,0.5625,0.5683,0.8879,0.8742,0.8756,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,768,0.01631677785042834,5,False,False,0.4614,0.5440,0.5514,0.8974,0.8805,0.8804,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,0.4789,0.5324,0.5373,0.8930,0.8797,0.8813,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,0.4138,0.5090,0.5158,0.9068,0.8877,0.8878,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,768,0.028656376350145975,6,False,False,0.5406,0.5812,0.5872,0.8790,0.8691,0.8688,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,0.4736,0.5223,0.5259,0.8938,0.8839,0.8842,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,0.5736,0.6062,0.6116,0.8726,0.8650,0.8653,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
22,388,0,0.48,768,0.050327822873414196,7,False,False,0.5688,0.6018,0.6070,0.8736,0.8669,0.8662,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,0.4989,0.5369,0.5446,0.8885,0.8790,0.8768,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,0.3899,0.4582,0.4707,0.9108,0.8972,0.8947,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
25,176,4,0.05,768,0.08838834764831845,8,False,False,0.3606,0.4477,0.4626,0.9173,0.8991,0.8976,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
26,57,4,0.0,768,0.10664094190766783,8,False,False,0.3566,0.4588,0.4763,0.9194,0.8968,0.8941,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,0.4110,0.4667,0.4783,0.9068,0.8951,0.8941,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
28,268,4,0.37,768,0.15523222650918542,9,False,False,0.4631,0.5048,0.5137,0.8952,0.8869,0.8858,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
29,270,0,0.04,768,0.18728838460958516,9,False,False,0.3414,0.4416,0.4556,0.9222,0.9005,0.8986,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,0.4639,0.5038,0.5126,0.8963,0.8870,0.8859,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
31,694,3,0.18,768,0.2726269331663144,10,False,False,0.3762,0.4426,0.4575,0.9145,0.9001,0.8990,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
32,837,4,0.09,768,0.32892563008340914,10,False,False,0.3430,0.4300,0.4471,0.9212,0.9037,0.9014,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,0.3524,0.4282,0.4421,0.9195,0.9048,0.9021,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
34,418,5,0.37,768,0.47880164034928685,11,False,False,0.4285,0.4745,0.4853,0.9029,0.8941,0.8913,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
35,407,5,0.35000000000000003,768,0.577676348436136,11,False,False,0.4219,0.4695,0.4807,0.9046,0.8948,0.8924,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,0.3407,0.4221,0.4371,0.9214,0.9056,0.9033,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,12,False,False,0.4367,0.4807,0.4903,0.9017,0.8914,0.8916,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
38,398,4,0.23,768,1.0145453349375229,12,False,False,0.3797,0.4407,0.4527,0.9132,0.9006,0.8999,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
39,369,4,0.29,768,1.2240535433046547,12,False,False,0.3990,0.4524,0.4639,0.9093,0.8983,0.8968,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
40,75,4,0.33,768,1.4768261459394993,13,False,False,0.4086,0.4608,0.4721,0.9069,0.8963,0.8952,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
41,179,0,0.02,768,1.7817974362806772,13,False,False,0.3215,0.4204,0.4381,0.9273,0.9065,0.9021,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
42,442,4,0.19,768,2.149746679841392,13,False,False,0.3663,0.4331,0.4456,0.9162,0.9015,0.9010,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
43,111,1,0.22,768,2.5936791093020193,14,False,False,0.3758,0.4376,0.4505,0.9139,0.9006,0.8994,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
44,242,1,0.45,768,3.1292855968155457,14,False,False,0.4483,0.4909,0.4996,0.8985,0.8883,0.8885,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
45,107,3,0.21,768,3.7754972507267723,14,False,False,0.3726,0.4358,0.4488,0.9147,0.9010,0.8997,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
46,150,2,0.2,768,4.555154539026766,15,False,False,0.3696,0.4345,0.4469,0.9156,0.9015,0.9006,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
47,38,1,0.2,768,5.495814589832352,15,False,False,0.3696,0.4345,0.4469,0.9156,0.9015,0.9006,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
48,248,1,0.49,768,6.6307252030723465,15,False,False,0.4629,0.5030,0.5108,0.8956,0.8864,0.8864,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
49,670,0,0.45,768,8.0,15,False,False,0.4476,0.4902,0.4988,0.8988,0.8902,0.8895,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
