run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.5773,2.5857,2.5883,0.2122,0.2123,0.2086,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,300,0.0009765625,1,False,False,2.6087,2.6171,2.6199,0.2118,0.2122,0.2082,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,300,0.0011782270808598852,1,False,False,2.6684,2.6761,2.6786,0.2106,0.2107,0.2068,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,300,0.001421536311369323,1,False,False,2.6520,2.6600,2.6628,0.2107,0.2108,0.2068,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,1.3282,1.3505,1.3538,0.6807,0.6774,0.6756,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,300,0.0020692638561704995,2,False,False,1.5797,1.5913,1.5962,0.6134,0.6131,0.6136,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,300,0.0024965762178914648,2,False,False,1.5711,1.5829,1.5876,0.6159,0.6158,0.6156,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,300,0.0030121305183748843,3,False,False,1.1083,1.1281,1.1311,0.7518,0.7478,0.7479,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.8490,0.8773,0.8846,0.8116,0.8091,0.8052,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.8339,0.8632,0.8715,0.8152,0.8119,0.8092,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,300,0.005290060730222237,4,False,False,0.7728,0.7970,0.8128,0.8239,0.8224,0.8191,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,300,0.006382482239223045,4,False,False,0.8288,0.8506,0.8656,0.8082,0.8066,0.8035,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,300,0.007700493739376462,4,False,False,0.8794,0.9000,0.9138,0.7974,0.7945,0.7928,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,300,0.009290680585958758,4,False,False,0.7861,0.8096,0.8251,0.8205,0.8195,0.8161,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,5,False,False,0.8068,0.8266,0.8418,0.8184,0.8151,0.8139,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,300,0.013524008765720979,5,False,False,0.6038,0.6374,0.6573,0.8696,0.8647,0.8617,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,300,0.01631677785042834,5,False,False,0.5765,0.6178,0.6385,0.8766,0.8685,0.8662,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,300,0.01968626640460739,6,False,False,0.5526,0.5860,0.6087,0.8831,0.8769,0.8747,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,300,0.02375156961170491,6,False,False,0.4961,0.5459,0.5677,0.8950,0.8871,0.8843,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,300,0.028656376350145975,6,False,False,0.6315,0.6581,0.6770,0.8644,0.8592,0.8560,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
20,786,2,0.24,300,0.03457404790277603,7,False,False,0.5523,0.5834,0.6026,0.8809,0.8752,0.8724,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
21,410,1,0.49,300,0.04171374544281356,7,False,False,0.7118,0.7355,0.7479,0.8439,0.8396,0.8374,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
22,388,0,0.48,300,0.050327822873414196,7,False,False,0.7032,0.7273,0.7398,0.8472,0.8429,0.8414,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
