run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.8853,2.4058,2.4624,0.4057,0.3729,0.3670,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,1.8749,2.4053,2.4641,0.4055,0.3730,0.3684,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,1.6673,1.9985,2.0373,0.4080,0.4079,0.4068,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,1.8145,2.3161,2.3306,0.4072,0.3836,0.3811,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,1.0443,1.8882,1.9364,0.7789,0.7006,0.6968,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.5503,1.3714,1.4086,0.9067,0.7856,0.7804,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.6378,1.2975,1.3380,0.8366,0.7384,0.7326,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,0.3304,1.0288,1.0415,0.9354,0.8146,0.8105,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.6722,1.5900,1.6318,0.8783,0.7721,0.7671,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.6132,1.5868,1.6030,0.8889,0.7775,0.7718,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,0.4299,1.4489,1.4719,0.9132,0.7928,0.7859,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.3456,1.0298,1.0902,0.9312,0.8158,0.8086,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.3036,1.0677,1.0960,0.9371,0.8153,0.8113,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.3514,1.2183,1.2594,0.9291,0.8074,0.7990,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,0.2841,0.9784,1.0150,0.9396,0.8206,0.8140,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.5059,1.2816,1.3343,0.8946,0.7902,0.7812,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.5122,1.4219,1.4690,0.9022,0.7915,0.7850,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,240,0.01968626640460739,6,False,False,0.3779,1.3215,1.3681,0.9253,0.8088,0.7988,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,50,0.02375156961170491,6,False,False,0.5664,1.3367,1.3840,0.8817,0.7814,0.7756,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,0.3049,1.0725,1.1095,0.9350,0.8168,0.8065,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
20,786,2,0.24,144,0.03457404790277603,7,False,False,0.3801,1.0557,1.0947,0.9194,0.8095,0.8014,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
21,410,1,0.49,188,0.04171374544281356,7,False,False,0.2561,0.8484,0.8755,0.9429,0.8312,0.8254,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
22,388,0,0.48,59,0.050327822873414196,7,False,False,0.2835,0.8596,0.8836,0.9364,0.8281,0.8228,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
23,38,2,0.4,176,0.06072074632210035,8,False,False,0.2957,0.9025,0.9433,0.9341,0.8238,0.8158,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
24,467,2,0.11,75,0.07325985555120318,8,False,False,0.4642,1.1324,1.1481,0.9004,0.8005,0.7899,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
25,176,4,0.05,210,0.08838834764831845,8,False,False,0.4370,1.3040,1.3298,0.9106,0.7966,0.7903,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
26,57,4,0.0,85,0.10664094190766783,8,False,False,0.4926,1.2599,1.2807,0.8996,0.7954,0.7896,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
27,968,3,0.22,102,0.12866277958043645,9,False,False,0.3762,1.0213,1.0466,0.9185,0.8084,0.8055,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
28,268,4,0.37,225,0.15523222650918542,9,False,False,0.2702,0.9039,0.9436,0.9411,0.8235,0.8179,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
