run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.4900,2.5082,2.5026,0.4038,0.4048,0.4053,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,2.6185,2.6238,2.6272,0.3985,0.4006,0.4000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,2.6396,2.6423,2.6395,0.3988,0.4005,0.4005,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,2.6628,2.6551,2.6644,0.3961,0.3989,0.3983,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,2.1662,2.1874,2.1861,0.4955,0.4942,0.4925,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,2.3602,2.3714,2.3710,0.4615,0.4594,0.4595,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,2.5539,2.5541,2.5549,0.4210,0.4223,0.4227,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,2.2742,2.2856,2.2856,0.4710,0.4725,0.4724,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,1.9513,1.9850,1.9860,0.5370,0.5328,0.5344,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,2.0945,2.1178,2.1158,0.5122,0.5089,0.5087,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,2.0345,2.0584,2.0561,0.5179,0.5183,0.5144,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,2.2025,2.2127,2.2135,0.4967,0.4955,0.4960,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,2.0399,2.0553,2.0627,0.5233,0.5221,0.5200,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,2.0306,2.0480,2.0560,0.5283,0.5282,0.5265,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,2.0248,2.0471,2.0507,0.5254,0.5240,0.5211,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,2.0171,2.0383,2.0376,0.5303,0.5296,0.5336,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,2.0328,2.0602,2.0621,0.5380,0.5320,0.5340,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,240,0.01968626640460739,6,False,False,1.7909,1.8258,1.8191,0.5797,0.5789,0.5789,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,50,0.02375156961170491,6,False,False,2.2203,2.2434,2.2306,0.4911,0.4873,0.4914,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,1.8402,1.8608,1.8707,0.5771,0.5791,0.5743,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
20,786,2,0.24,144,0.03457404790277603,7,False,False,1.9233,1.9536,1.9474,0.5447,0.5417,0.5404,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
21,410,1,0.49,188,0.04171374544281356,7,False,False,1.9313,1.9532,1.9510,0.5501,0.5471,0.5491,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
22,388,0,0.48,59,0.050327822873414196,7,False,False,2.2395,2.2541,2.2490,0.4852,0.4832,0.4856,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
