run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.1394,0.1940,0.1879,0.9689,0.9565,0.9577,1000.3748,1000.3748,1000.3748,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.2826,0.3240,0.3191,0.9474,0.9372,0.9391,292.5621,292.5621,292.5621,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.3163,0.3577,0.3531,0.9413,0.9309,0.9314,269.0767,269.0767,269.0767,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.3369,0.3779,0.3744,0.9389,0.9288,0.9287,251.7061,251.7061,251.7061,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.3549,0.3956,0.3936,0.9385,0.9288,0.9294,236.4219,236.4219,236.4219,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.4019,0.4428,0.4411,0.9328,0.9229,0.9225,215.9944,215.9944,215.9944,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.4362,0.4770,0.4759,0.9304,0.9198,0.9207,201.1854,201.1854,201.1854,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.4734,0.5139,0.5130,0.9283,0.9176,0.9179,187.3728,187.3728,187.3728,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.5096,0.5500,0.5490,0.9269,0.9171,0.9172,174.9810,174.9810,174.9810,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.5640,0.6042,0.6033,0.9229,0.9135,0.9121,161.2818,161.2818,161.2818,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.6333,0.6721,0.6719,0.9171,0.9084,0.9072,147.3405,147.3405,147.3405,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.7148,0.7521,0.7528,0.9081,0.9005,0.8995,133.5989,133.5989,133.5989,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.8153,0.8497,0.8519,0.8935,0.8861,0.8854,119.5679,119.5679,119.5679,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,0.9290,0.9596,0.9646,0.8727,0.8680,0.8658,106.1179,106.1179,106.1179,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.0824,1.1067,1.1179,0.8557,0.8524,0.8493,91.4258,91.4258,91.4258,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,1.2192,1.2420,1.2539,0.8329,0.8280,0.8251,80.1618,80.1618,80.1618,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,1.4039,1.4264,1.4391,0.7806,0.7729,0.7697,67.7214,67.7214,67.7214,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,1.6225,1.6460,1.6600,0.7227,0.7080,0.7031,55.5852,55.5852,55.5852,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,1.8602,1.8834,1.8995,0.6777,0.6624,0.6575,44.5760,44.5760,44.5760,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,2.1097,2.1291,2.1455,0.6570,0.6416,0.6353,35.1095,35.1095,35.1095,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,2.3701,2.3833,2.3994,0.6117,0.5971,0.5920,26.8875,26.8875,26.8875,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,2.6893,2.6942,2.7097,0.5024,0.4963,0.4909,18.5849,18.5849,18.5849,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,2.9646,2.9630,2.9778,0.4069,0.4056,0.4020,12.6397,12.6397,12.6397,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.2412,3.2341,3.2475,0.2860,0.2900,0.2876,7.5986,7.5986,7.5986,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.4878,3.4789,3.4910,0.2854,0.2897,0.2878,3.8947,3.8947,3.8947,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6452,3.6402,3.6509,0.1705,0.1677,0.1654,1.9234,1.9234,1.9234,16.0000,16.0000,16.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6689,3.6647,3.6745,0.1705,0.1677,0.1654,1.6763,1.6763,1.6763,16.0000,16.0000,16.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.6968,3.6934,3.7020,0.1705,0.1677,0.1654,1.4387,1.4387,1.4387,16.0000,16.0000,16.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7322,3.7295,3.7367,0.1705,0.1677,0.1654,1.1904,1.1904,1.1904,16.0000,16.0000,16.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7759,3.7740,3.7797,0.1705,0.1677,0.1654,0.9347,0.9347,0.9347,16.0000,16.0000,16.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8404,3.8392,3.8429,0.1705,0.1677,0.1654,0.6237,0.6237,0.6237,16.0000,16.0000,16.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9304,3.9299,3.9314,0.1705,0.1677,0.1654,0.2647,0.2647,0.2647,16.0000,16.0000,16.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9863,3.9862,3.9865,0.1705,0.1677,0.1654,0.0693,0.0693,0.0693,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9967,3.9967,3.9967,0.1705,0.1677,0.1654,0.0347,0.0347,0.0347,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9994,3.9994,3.9994,0.1705,0.1677,0.1654,0.0257,0.0257,0.0257,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.2533,0.2547,0.2514,0.0257,0.0257,0.0257,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9997,3.9997,0.1705,0.1677,0.1654,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1628,0.1612,0.1611,0.0249,0.0249,0.0249,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1705,0.1677,0.1654,0.0243,0.0243,0.0243,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9998,3.9998,3.9998,0.1723,0.1705,0.1678,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9998,3.9998,3.9998,0.1712,0.1684,0.1663,0.0212,0.0212,0.0212,14.0000,14.0000,14.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.1368,0.1357,0.1361,0.0191,0.0191,0.0191,13.0000,13.0000,13.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.1431,0.1396,0.1371,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1509,0.1525,0.1492,0.0204,0.0204,0.0204,15.0000,15.0000,15.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1179,0.1100,0.1129,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
