run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.4378,0.4867,0.4769,0.8967,0.8858,0.8892,621.8209,621.8209,621.8209,16.0000,16.0000,16.0000
1,433,2,0.27,300,0.0009765625,1,False,False,0.5652,0.6019,0.5915,0.8821,0.8727,0.8752,261.2614,261.2614,261.2614,16.0000,16.0000,16.0000
2,310,5,0.5,300,0.0011782270808598852,1,False,False,0.6584,0.6926,0.6810,0.8666,0.8583,0.8640,226.7691,226.7691,226.7691,16.0000,16.0000,16.0000
3,300,1,0.44,300,0.001421536311369323,1,False,False,0.6559,0.6897,0.6796,0.8675,0.8601,0.8643,218.3499,218.3499,218.3499,16.0000,16.0000,16.0000
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,0.6017,0.6361,0.6297,0.8795,0.8711,0.8742,217.7370,217.7370,217.7370,16.0000,16.0000,16.0000
5,657,3,0.5,300,0.0020692638561704995,2,False,False,0.7382,0.7695,0.7612,0.8568,0.8516,0.8530,184.8599,184.8599,184.8599,16.0000,16.0000,16.0000
6,455,2,0.49,300,0.0024965762178914648,2,False,False,0.7695,0.7998,0.7924,0.8532,0.8479,0.8499,172.2331,172.2331,172.2331,16.0000,16.0000,16.0000
7,103,1,0.44,300,0.0030121305183748843,3,False,False,0.7906,0.8199,0.8137,0.8507,0.8452,0.8478,161.9919,161.9919,161.9919,16.0000,16.0000,16.0000
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.7500,0.7789,0.7763,0.8585,0.8534,0.8548,156.8428,156.8428,156.8428,16.0000,16.0000,16.0000
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.7992,0.8265,0.8250,0.8550,0.8505,0.8511,143.7532,143.7532,143.7532,16.0000,16.0000,16.0000
10,72,3,0.23,300,0.005290060730222237,4,False,False,0.9045,0.9292,0.9267,0.8314,0.8274,0.8300,127.6380,127.6380,127.6380,16.0000,16.0000,16.0000
11,467,3,0.31,300,0.006382482239223045,4,False,False,1.0024,1.0245,1.0218,0.8194,0.8162,0.8187,113.4098,113.4098,113.4098,16.0000,16.0000,16.0000
12,377,0,0.37,300,0.007700493739376462,4,False,False,1.1117,1.1311,1.1282,0.8049,0.8031,0.8044,100.0086,100.0086,100.0086,16.0000,16.0000,16.0000
13,436,2,0.25,300,0.009290680585958758,5,False,False,1.1786,1.1960,1.1940,0.7967,0.7934,0.7953,90.6256,90.6256,90.6256,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,5,False,False,1.3532,1.3672,1.3648,0.7679,0.7648,0.7654,76.6153,76.6153,76.6153,16.0000,16.0000,16.0000
15,326,3,0.09,300,0.013524008765720979,5,False,False,1.4009,1.4145,1.4138,0.7588,0.7536,0.7557,69.8474,69.8474,69.8474,16.0000,16.0000,16.0000
16,326,2,0.02,300,0.01631677785042834,6,False,False,1.5425,1.5545,1.5551,0.7354,0.7277,0.7305,60.0846,60.0846,60.0846,16.0000,16.0000,16.0000
