run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.2966,0.6454,0.6479,0.9238,0.8541,0.8520,187.3014,187.3014,187.3014,16.0000,16.0000,16.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.2773,0.6433,0.6598,0.9245,0.8533,0.8511,113.1534,113.1534,113.1534,16.0000,16.0000,16.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,0.2901,0.6270,0.6339,0.9241,0.8544,0.8528,117.8564,117.8564,117.8564,16.0000,16.0000,16.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,0.2974,0.6335,0.6401,0.9240,0.8549,0.8526,112.1575,112.1575,112.1575,16.0000,16.0000,16.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.2928,0.6369,0.6412,0.9245,0.8537,0.8526,102.1683,102.1683,102.1683,15.0000,15.0000,15.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.3027,0.6203,0.6235,0.9241,0.8575,0.8550,96.6316,96.6316,96.6316,16.0000,16.0000,16.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.3176,0.6462,0.6591,0.9233,0.8515,0.8511,91.9272,91.9272,91.9272,15.0000,15.0000,15.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,0.3289,0.6454,0.6507,0.9233,0.8544,0.8537,89.2851,89.2851,89.2851,16.0000,16.0000,16.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.3288,0.6390,0.6449,0.9242,0.8546,0.8547,80.4374,80.4374,80.4374,15.0000,15.0000,15.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.3419,0.6617,0.6668,0.9242,0.8543,0.8532,74.4603,74.4603,74.4603,12.0000,12.0000,12.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,0.3577,0.6625,0.6700,0.9239,0.8565,0.8556,67.9559,67.9559,67.9559,14.0000,14.0000,14.0000
