run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.1836,0.2480,0.2613,0.9592,0.9471,0.9417,2363.1765,2363.1765,2363.1765,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.5097,0.5599,0.5680,0.9213,0.9119,0.9065,565.2964,565.2964,565.2964,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.6055,0.6547,0.6628,0.9120,0.9028,0.8968,515.7006,515.7006,515.7006,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.6508,0.6987,0.7070,0.9081,0.8988,0.8933,469.9378,469.9378,469.9378,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.6692,0.7159,0.7246,0.9048,0.8952,0.8916,423.3253,423.3253,423.3253,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.8257,0.8699,0.8786,0.8892,0.8792,0.8754,378.0369,378.0369,378.0369,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.9250,0.9660,0.9758,0.8749,0.8671,0.8612,334.3755,334.3755,334.3755,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.0288,1.0654,1.0773,0.8586,0.8517,0.8469,293.2773,293.2773,293.2773,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.0719,1.1059,1.1191,0.8462,0.8414,0.8355,259.7390,259.7390,259.7390,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.2051,1.2368,1.2501,0.8244,0.8200,0.8125,224.0959,224.0959,224.0959,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.4245,1.4500,1.4647,0.7870,0.7819,0.7759,187.7153,187.7153,187.7153,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.6502,1.6714,1.6857,0.7417,0.7318,0.7290,152.1384,152.1384,152.1384,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.9013,1.9185,1.9314,0.6869,0.6749,0.6757,119.0803,119.0803,119.0803,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,2.0912,2.1058,2.1174,0.6526,0.6376,0.6370,95.3089,95.3089,95.3089,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.3971,2.4065,2.4184,0.5953,0.5804,0.5750,68.7590,68.7590,68.7590,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.5334,2.5421,2.5544,0.5633,0.5497,0.5467,53.7337,53.7337,53.7337,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.7857,2.7900,2.8030,0.4702,0.4617,0.4597,35.4476,35.4476,35.4476,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,3.0606,3.0579,3.0728,0.3319,0.3299,0.3296,21.8536,21.8536,21.8536,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,3.1607,3.1647,3.1833,0.2801,0.2839,0.2798,16.0070,16.0070,16.0070,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.4425,3.4404,3.4582,0.2724,0.2755,0.2725,6.8960,6.8960,6.8960,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.5083,3.5060,3.5227,0.2520,0.2494,0.2471,4.8274,4.8274,4.8274,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.6040,3.5996,3.6147,0.1705,0.1677,0.1654,2.7281,2.7281,2.7281,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.6297,3.6251,3.6394,0.1705,0.1677,0.1654,2.1719,2.1719,2.1719,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6401,3.6357,3.6493,0.1705,0.1677,0.1654,1.9340,1.9340,1.9340,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6462,3.6422,3.6553,0.1705,0.1677,0.1654,1.7872,1.7872,1.7872,15.0000,15.0000,15.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6574,3.6539,3.6661,0.1705,0.1677,0.1654,1.6464,1.6464,1.6464,15.0000,15.0000,15.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6717,3.6689,3.6801,0.1705,0.1677,0.1654,1.4985,1.4985,1.4985,16.0000,16.0000,16.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.6962,3.6940,3.7038,0.1705,0.1677,0.1654,1.2967,1.2967,1.2967,16.0000,16.0000,16.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7270,3.7255,3.7338,0.1705,0.1677,0.1654,1.0919,1.0919,1.0919,15.0000,15.0000,15.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7519,3.7508,3.7581,0.1705,0.1677,0.1654,0.9467,0.9467,0.9467,15.0000,15.0000,15.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8099,3.8094,3.8145,0.1705,0.1677,0.1654,0.6699,0.6699,0.6699,15.0000,15.0000,15.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.8653,3.8651,3.8686,0.1705,0.1677,0.1654,0.4522,0.4522,0.4522,15.0000,15.0000,15.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9595,3.9595,3.9604,0.1705,0.1677,0.1654,0.1382,0.1382,0.1382,14.0000,14.0000,14.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9849,3.9849,3.9852,0.1705,0.1677,0.1654,0.0685,0.0685,0.0685,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9982,3.9982,3.9983,0.1705,0.1677,0.1654,0.0290,0.0290,0.0290,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9993,3.9992,3.9993,0.1705,0.1677,0.1654,0.0258,0.0258,0.0258,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9996,3.9997,0.1705,0.1677,0.1654,0.0230,0.0230,0.0230,14.0000,14.0000,14.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9997,3.9997,3.9997,0.1705,0.1677,0.1654,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9997,3.9997,3.9997,0.1705,0.1677,0.1654,0.0231,0.0231,0.0231,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9998,3.9998,3.9998,0.1705,0.1677,0.1654,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9997,3.9997,3.9998,0.1705,0.1677,0.1654,0.0203,0.0203,0.0203,13.0000,13.0000,13.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.1629,0.1594,0.1552,0.0206,0.0206,0.0206,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9998,3.9999,0.1094,0.1167,0.1159,0.0210,0.0210,0.0210,15.0000,15.0000,15.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.0966,0.0898,0.0906,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1577,0.1589,0.1572,0.0208,0.0208,0.0208,14.0000,14.0000,14.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,3.9999,3.9999,3.9999,0.0912,0.0887,0.0865,0.0198,0.0198,0.0198,14.0000,14.0000,14.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,3.9999,3.9999,3.9999,0.0636,0.0752,0.0833,0.0184,0.0184,0.0184,13.0000,13.0000,13.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,3.9999,3.9999,3.9999,0.0936,0.0982,0.1009,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,3.9999,3.9999,3.9999,0.0608,0.0588,0.0589,0.0165,0.0165,0.0165,9.0000,9.0000,9.0000
49,670,0,0.45,768,8.0,16,False,False,4.0000,4.0000,4.0000,0.1606,0.1577,0.1548,0.0232,0.0232,0.0232,16.0000,16.0000,16.0000
