run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.1346,0.1937,0.1902,0.9698,0.9572,0.9578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,3.5706,3.5706,3.5706,0.1706,0.1706,0.1706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,3.5740,3.5740,3.5740,0.1711,0.1711,0.1711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.0521,0.1613,0.1543,0.9892,0.9652,0.9652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,3.1031,3.1031,3.1031,0.3031,0.3031,0.3031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,3.1356,3.1356,3.1356,0.2970,0.2970,0.2970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.2898,0.3712,0.4122,0.9312,0.9209,0.9198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,False,3.5710,3.5710,3.5710,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,True,3.5929,3.5929,3.5929,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.0807,0.1648,0.1553,0.9827,0.9633,0.9637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,False,3.4628,3.4628,3.4628,0.1901,0.1901,0.1901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,True,3.4682,3.4682,3.4682,0.1966,0.1966,0.1966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.0782,0.1705,0.1617,0.9826,0.9622,0.9635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,False,0.6206,0.6206,0.6206,0.8883,0.8883,0.8883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,True,0.8343,0.8343,0.8343,0.8592,0.8592,0.8592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.0783,0.1667,0.1562,0.9821,0.9651,0.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,False,3.4989,3.4989,3.4989,0.1800,0.1800,0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,True,3.5251,3.5251,3.5251,0.1786,0.1786,0.1786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.0769,0.1628,0.1516,0.9826,0.9642,0.9658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,False,3.4769,3.4769,3.4769,0.1845,0.1845,0.1845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,True,3.4979,3.4979,3.4979,0.1881,0.1881,0.1881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.1163,0.1804,0.1713,0.9739,0.9590,0.9614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,False,3.5402,3.5402,3.5402,0.1769,0.1769,0.1769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,True,3.5479,3.5479,3.5479,0.1789,0.1789,0.1789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.0832,0.1812,0.1712,0.9822,0.9616,0.9624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,False,2.7585,2.7585,2.7585,0.3756,0.3756,0.3756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,True,2.9770,2.9770,2.9770,0.3159,0.3159,0.3159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.1026,0.1935,0.1850,0.9784,0.9598,0.9593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,False,2.8062,2.8062,2.8062,0.3456,0.3456,0.3456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,True,3.0000,3.0000,3.0000,0.2998,0.2998,0.2998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.1142,0.2018,0.1992,0.9763,0.9593,0.9601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,False,3.5212,3.5212,3.5212,0.1744,0.1744,0.1744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,True,3.5396,3.5396,3.5396,0.1735,0.1735,0.1735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
