run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.1976,0.2691,0.2715,0.9560,0.9410,0.9392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,3.5657,3.5657,3.5657,0.1718,0.1718,0.1718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,3.5647,3.5647,3.5647,0.1720,0.1720,0.1720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.0603,0.1880,0.1994,0.9882,0.9606,0.9561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,3.0383,3.0383,3.0383,0.3189,0.3189,0.3189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,3.0073,3.0073,3.0073,0.3389,0.3389,0.3389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.3331,0.4159,0.4400,0.9360,0.9265,0.9205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,False,3.5580,3.5580,3.5580,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,True,3.5520,3.5520,3.5520,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.1106,0.2030,0.2082,0.9779,0.9561,0.9541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,False,3.4325,3.4325,3.4325,0.1920,0.1920,0.1920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,True,3.4358,3.4358,3.4358,0.1953,0.1953,0.1953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.0921,0.2104,0.2091,0.9806,0.9549,0.9543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,False,0.2767,0.2767,0.2767,0.9648,0.9648,0.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,True,0.2583,0.2583,0.2583,0.9822,0.9822,0.9822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.1033,0.1946,0.2023,0.9768,0.9574,0.9542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,False,3.4412,3.4412,3.4412,0.1875,0.1875,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,True,3.4556,3.4556,3.4556,0.1869,0.1869,0.1869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.0907,0.1895,0.1983,0.9797,0.9590,0.9558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,False,3.4430,3.4430,3.4430,0.1866,0.1866,0.1866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,True,3.4448,3.4448,3.4448,0.1910,0.1910,0.1910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.1873,0.2508,0.2572,0.9596,0.9453,0.9405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,False,3.5336,3.5336,3.5336,0.1766,0.1766,0.1766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,True,3.5389,3.5389,3.5389,0.1772,0.1772,0.1772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.1098,0.2349,0.2311,0.9771,0.9507,0.9508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,False,2.7530,2.7530,2.7530,0.3701,0.3701,0.3701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,True,2.8029,2.8029,2.8029,0.3423,0.3423,0.3423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.1253,0.2416,0.2509,0.9741,0.9491,0.9472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,False,2.8599,2.8599,2.8599,0.3176,0.3176,0.3176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,True,2.7943,2.7943,2.7943,0.3483,0.3483,0.3483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.1664,0.2572,0.2643,0.9652,0.9461,0.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,False,3.5186,3.5186,3.5186,0.1731,0.1731,0.1731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,True,3.5048,3.5048,3.5048,0.1756,0.1756,0.1756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.0626,0.1905,0.2058,0.9868,0.9604,0.9567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
