run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.5205,0.5778,0.5693,0.8898,0.8803,0.8854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,3.5813,3.5813,3.5813,0.1716,0.1716,0.1716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,1,False,False,0.3068,0.3974,0.3822,0.9169,0.9010,0.9062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,3.3677,3.3677,3.3677,0.2174,0.2174,0.2174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,1,False,False,0.5494,0.6015,0.7089,0.8851,0.8779,0.8804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,False,3.5874,3.5874,3.5874,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,1,False,False,0.3539,0.4219,0.4081,0.9116,0.8995,0.9030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,False,3.5396,3.5396,3.5396,0.1768,0.1768,0.1768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,0.3035,0.4062,0.3911,0.9182,0.9017,0.9035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,False,3.0924,3.0924,3.0924,0.2502,0.2502,0.2502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,2,False,False,0.3212,0.3953,0.3806,0.9136,0.9005,0.9054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,True,False,3.5340,3.5340,3.5340,0.1765,0.1765,0.1765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,True,True,,,,,,,,,,,,
6,455,2,0.49,300,0.0024965762178914648,2,False,False,0.3265,0.3994,0.3843,0.9119,0.9002,0.9044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,2,True,False,3.5192,3.5192,3.5192,0.1784,0.1784,0.1784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,300,0.0024965762178914648,2,True,True,,,,,,,,,,,,
7,103,1,0.44,300,0.0030121305183748843,3,False,False,0.4167,0.4660,0.4587,0.9031,0.8937,0.8953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,3,True,False,3.5681,3.5681,3.5681,0.1727,0.1727,0.1727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,300,0.0030121305183748843,3,True,True,,,,,,,,,,,,
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.3352,0.4210,0.4096,0.9152,0.8997,0.9024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,3,True,False,3.3450,3.3450,3.3450,0.2242,0.2242,0.2242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,300,0.003634149117781824,3,True,True,,,,,,,,,,,,
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.3189,0.4255,0.4199,0.9174,0.8974,0.9014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,3,True,False,3.3395,3.3395,3.3395,0.2234,0.2234,0.2234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,300,0.004384617376208487,3,True,True,,,,,,,,,,,,
