run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.4871,1.5501,1.5691,0.6671,0.6526,0.6493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,3.5850,3.5850,3.5850,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,0.5217,0.6919,0.6951,0.8722,0.8310,0.8307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,3.4849,3.4849,3.4849,0.1855,0.1855,0.1855,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,1,False,False,1.4081,1.4309,1.4676,0.6541,0.6442,0.6379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,False,3.5938,3.5938,3.5938,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,1,False,False,1.0586,1.1250,1.1349,0.7617,0.7459,0.7438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,False,3.5743,3.5743,3.5743,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.4009,0.6749,0.6807,0.8994,0.8423,0.8445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,False,3.1410,3.1410,3.1410,0.2482,0.2482,0.2482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.7101,0.8052,0.8239,0.8263,0.7988,0.7983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,False,3.5937,3.5937,3.5937,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,2,False,False,1.0608,1.1105,1.1359,0.7409,0.7272,0.7258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,False,3.5891,3.5891,3.5891,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,3,False,False,1.3842,1.4201,1.4478,0.6811,0.6709,0.6660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,3,True,False,3.5912,3.5912,3.5912,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,3,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.4409,0.6928,0.6918,0.8934,0.8439,0.8425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,False,3.3222,3.3222,3.3222,0.2286,0.2286,0.2286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.4596,0.7452,0.7422,0.8883,0.8392,0.8380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,False,3.4110,3.4110,3.4110,0.2071,0.2071,0.2071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,True,,,,,,,,,,,,
10,72,3,0.23,144,0.005290060730222237,4,False,False,1.0340,1.0735,1.0979,0.7481,0.7374,0.7322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,4,True,False,3.5767,3.5767,3.5767,0.1717,0.1717,0.1717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,4,True,True,,,,,,,,,,,,
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.6070,0.7342,0.7443,0.8505,0.8168,0.8165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,4,True,False,3.5453,3.5453,3.5453,0.1740,0.1740,0.1740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,4,True,True,,,,,,,,,,,,
12,377,0,0.37,159,0.007700493739376462,4,False,False,1.7180,1.7544,1.7873,0.6209,0.6162,0.6056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,False,3.5890,3.5890,3.5890,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,True,,,,,,,,,,,,
13,436,2,0.25,154,0.009290680585958758,5,False,False,0.4289,0.6531,0.6482,0.8942,0.8420,0.8466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,5,True,False,3.4362,3.4362,3.4362,0.1994,0.1994,0.1994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,5,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,0.7287,0.8257,0.8347,0.8187,0.7945,0.7920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,True,False,3.5611,3.5611,3.5611,0.1726,0.1726,0.1726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,True,True,,,,,,,,,,,,
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.3733,0.6537,0.6601,0.9058,0.8534,0.8496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,5,True,False,3.3471,3.3471,3.3471,0.2187,0.2187,0.2187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,5,True,True,,,,,,,,,,,,
16,326,2,0.02,124,0.01631677785042834,6,False,False,0.3823,0.7484,0.7612,0.9040,0.8450,0.8443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,6,True,False,3.2011,3.2011,3.2011,0.2439,0.2439,0.2439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,6,True,True,,,,,,,,,,,,
17,247,2,0.15,240,0.01968626640460739,6,False,False,0.3761,0.6517,0.6692,0.9060,0.8506,0.8487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,6,True,False,3.3786,3.3786,3.3786,0.2150,0.2150,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,6,True,True,,,,,,,,,,,,
18,179,1,0.01,50,0.02375156961170491,6,False,False,0.7280,0.9058,0.9193,0.8309,0.7972,0.7975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,6,True,False,3.5312,3.5312,3.5312,0.1783,0.1783,0.1783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,6,True,True,,,,,,,,,,,,
19,137,5,0.3,235,0.028656376350145975,7,False,False,1.1480,1.1990,1.2196,0.7283,0.7105,0.7091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,7,True,False,3.5858,3.5858,3.5858,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,7,True,True,,,,,,,,,,,,
20,786,2,0.24,144,0.03457404790277603,7,False,False,0.3945,0.6321,0.6334,0.9049,0.8512,0.8496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,7,True,False,3.3302,3.3302,3.3302,0.2258,0.2258,0.2258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,7,True,True,,,,,,,,,,,,
21,410,1,0.49,188,0.04171374544281356,7,False,False,0.8569,0.9414,0.9472,0.8081,0.7854,0.7869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,7,True,False,3.5637,3.5637,3.5637,0.1715,0.1715,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,7,True,True,,,,,,,,,,,,
22,388,0,0.48,59,0.050327822873414196,8,False,False,2.3315,2.3711,2.3998,0.4889,0.4771,0.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,59,0.050327822873414196,8,True,False,3.5922,3.5922,3.5922,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,59,0.050327822873414196,8,True,True,,,,,,,,,,,,
23,38,2,0.4,176,0.06072074632210035,8,False,False,1.4930,1.5141,1.5513,0.6542,0.6448,0.6371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,176,0.06072074632210035,8,True,False,3.5914,3.5914,3.5914,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,176,0.06072074632210035,8,True,True,,,,,,,,,,,,
24,467,2,0.11,75,0.07325985555120318,8,False,False,0.3802,0.6558,0.6688,0.9046,0.8485,0.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,75,0.07325985555120318,8,True,False,3.3273,3.3273,3.3273,0.2257,0.2257,0.2257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,75,0.07325985555120318,8,True,True,,,,,,,,,,,,
25,176,4,0.05,210,0.08838834764831845,9,False,False,0.4165,0.7011,0.6926,0.8978,0.8446,0.8441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,210,0.08838834764831845,9,True,False,3.3775,3.3775,3.3775,0.2164,0.2164,0.2164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,210,0.08838834764831845,9,True,True,,,,,,,,,,,,
26,57,4,0.0,85,0.10664094190766783,9,False,False,0.8881,1.0819,1.1048,0.7968,0.7716,0.7692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,57,4,0.0,85,0.10664094190766783,9,True,False,3.5939,3.5939,3.5939,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,57,4,0.0,85,0.10664094190766783,9,True,True,,,,,,,,,,,,
27,968,3,0.22,102,0.12866277958043645,9,False,False,0.3468,0.6244,0.6183,0.9116,0.8512,0.8532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,968,3,0.22,102,0.12866277958043645,9,True,False,3.3244,3.3244,3.3244,0.2259,0.2259,0.2259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,968,3,0.22,102,0.12866277958043645,9,True,True,,,,,,,,,,,,
28,268,4,0.37,225,0.15523222650918542,10,False,False,0.7090,0.8003,0.8166,0.8366,0.8068,0.8064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,268,4,0.37,225,0.15523222650918542,10,True,False,3.5822,3.5822,3.5822,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,268,4,0.37,225,0.15523222650918542,10,True,True,,,,,,,,,,,,
29,270,0,0.04,187,0.18728838460958516,10,False,False,1.5096,1.5797,1.5954,0.6624,0.6459,0.6422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,270,0,0.04,187,0.18728838460958516,10,True,False,3.5854,3.5854,3.5854,0.1713,0.1713,0.1713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,270,0,0.04,187,0.18728838460958516,10,True,True,,,,,,,,,,,,
30,596,0,0.43,195,0.22596428459777515,10,False,False,1.6409,1.6770,1.7069,0.6356,0.6261,0.6190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,596,0,0.43,195,0.22596428459777515,10,True,False,3.5885,3.5885,3.5885,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,596,0,0.43,195,0.22596428459777515,10,True,True,,,,,,,,,,,,
31,694,3,0.18,230,0.2726269331663144,11,False,False,0.3260,0.6310,0.6468,0.9159,0.8547,0.8550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,694,3,0.18,230,0.2726269331663144,11,True,False,3.2041,3.2041,3.2041,0.2438,0.2438,0.2438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,694,3,0.18,230,0.2726269331663144,11,True,True,,,,,,,,,,,,
32,837,4,0.09,187,0.32892563008340914,11,False,False,0.3937,0.6583,0.6590,0.9028,0.8494,0.8496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,837,4,0.09,187,0.32892563008340914,11,True,False,3.1508,3.1508,3.1508,0.2460,0.2460,0.2460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,837,4,0.09,187,0.32892563008340914,11,True,True,,,,,,,,,,,,
33,487,0,0.14,112,0.39685026299204973,11,False,False,1.8260,1.8693,1.9030,0.5969,0.5853,0.5827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,487,0,0.14,112,0.39685026299204973,11,True,False,3.5888,3.5888,3.5888,0.1713,0.1713,0.1713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,487,0,0.14,112,0.39685026299204973,11,True,True,,,,,,,,,,,,
34,418,5,0.37,188,0.47880164034928685,12,False,False,0.7137,0.8109,0.8181,0.8404,0.8087,0.8144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,418,5,0.37,188,0.47880164034928685,12,True,False,3.5855,3.5855,3.5855,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,418,5,0.37,188,0.47880164034928685,12,True,True,,,,,,,,,,,,
35,407,5,0.35000000000000003,94,0.577676348436136,12,False,False,0.8488,0.9117,0.9305,0.7848,0.7664,0.7665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,407,5,0.35000000000000003,94,0.577676348436136,12,True,False,3.5889,3.5889,3.5889,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,407,5,0.35000000000000003,94,0.577676348436136,12,True,True,,,,,,,,,,,,
36,657,2,0.11,182,0.6969691317244994,12,False,False,0.3184,0.6592,0.6694,0.9185,0.8526,0.8543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,657,2,0.11,182,0.6969691317244994,12,True,False,3.1785,3.1785,3.1785,0.2460,0.2460,0.2460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,657,2,0.11,182,0.6969691317244994,12,True,True,,,,,,,,,,,,
37,442,1,0.41000000000000003,215,0.8408964152537145,13,False,False,0.6439,0.7763,0.7880,0.8601,0.8249,0.8242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,13,True,False,3.5251,3.5251,3.5251,0.1745,0.1745,0.1745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,13,True,True,,,,,,,,,,,,
38,398,4,0.23,292,1.0145453349375229,13,False,False,0.3980,0.6337,0.6352,0.9020,0.8474,0.8480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,398,4,0.23,292,1.0145453349375229,13,True,False,3.4261,3.4261,3.4261,0.2104,0.2104,0.2104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,398,4,0.23,292,1.0145453349375229,13,True,True,,,,,,,,,,,,
39,369,4,0.29,98,1.2240535433046547,13,False,False,0.6467,0.7603,0.7700,0.8417,0.8104,0.8108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,369,4,0.29,98,1.2240535433046547,13,True,False,3.5662,3.5662,3.5662,0.1718,0.1718,0.1718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,369,4,0.29,98,1.2240535433046547,13,True,True,,,,,,,,,,,,
40,75,4,0.33,67,1.4768261459394993,14,False,False,1.6252,1.6455,1.6870,0.6201,0.6098,0.6025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,75,4,0.33,67,1.4768261459394993,14,True,False,3.5920,3.5920,3.5920,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,75,4,0.33,67,1.4768261459394993,14,True,True,,,,,,,,,,,,
41,179,0,0.02,177,1.7817974362806772,14,False,False,1.5424,1.5987,1.6145,0.6543,0.6424,0.6408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
