run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.1730,0.2448,0.2576,0.9613,0.9480,0.9431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,3.5591,3.5591,3.5591,0.1719,0.1719,0.1719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,3.5606,3.5606,3.5606,0.1717,0.1717,0.1717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.0714,0.1994,0.2069,0.9853,0.9572,0.9530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,2.9838,2.9838,2.9838,0.3367,0.3367,0.3367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,2.9756,2.9756,2.9756,0.3447,0.3447,0.3447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.4107,0.5183,0.5152,0.9016,0.8944,0.8879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,False,3.5567,3.5567,3.5567,0.1715,0.1715,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,True,3.5661,3.5661,3.5661,0.1715,0.1715,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.1018,0.2051,0.2119,0.9789,0.9562,0.9510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,False,3.4303,3.4303,3.4303,0.1944,0.1944,0.1944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,True,3.4406,3.4406,3.4406,0.1933,0.1933,0.1933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.0747,0.2089,0.2107,0.9844,0.9560,0.9527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,False,0.6267,0.6267,0.6267,0.8903,0.8903,0.8903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,True,0.3235,0.3235,0.3235,0.9662,0.9662,0.9662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.0923,0.2014,0.2111,0.9783,0.9564,0.9528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,False,3.4439,3.4439,3.4439,0.1913,0.1913,0.1913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,True,3.4548,3.4548,3.4548,0.1875,0.1875,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.0931,0.2008,0.2049,0.9783,0.9563,0.9532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,False,3.4234,3.4234,3.4234,0.1951,0.1951,0.1951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,True,3.4262,3.4262,3.4262,0.1947,0.1947,0.1947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.1613,0.2379,0.2441,0.9641,0.9496,0.9449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,False,3.5334,3.5334,3.5334,0.1757,0.1757,0.1757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,True,3.5368,3.5368,3.5368,0.1766,0.1766,0.1766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.1011,0.2243,0.2402,0.9791,0.9546,0.9488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,False,2.6957,2.6957,2.6957,0.3731,0.3731,0.3731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,True,2.7157,2.7157,2.7157,0.3673,0.3673,0.3673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.1019,0.2484,0.2541,0.9792,0.9499,0.9462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,False,2.7298,2.7298,2.7298,0.3669,0.3669,0.3669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,True,2.7981,2.7981,2.7981,0.3546,0.3546,0.3546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.1403,0.2529,0.2569,0.9705,0.9516,0.9472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,False,3.4974,3.4974,3.4974,0.1798,0.1798,0.1798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,True,3.5038,3.5038,3.5038,0.1758,0.1758,0.1758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.0816,0.1982,0.2090,0.9823,0.9591,0.9526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,4,True,False,3.1613,3.1613,3.1613,0.2928,0.2928,0.2928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,4,True,True,3.1020,3.1020,3.1020,0.3127,0.3127,0.3127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.2091,0.2701,0.2808,0.9532,0.9420,0.9376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,True,False,3.5679,3.5679,3.5679,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,True,True,3.5692,3.5692,3.5692,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,0.0823,0.1990,0.2018,0.9824,0.9574,0.9538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,5,True,False,2.8666,2.8666,2.8666,0.3808,0.3808,0.3808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,5,True,True,2.8859,2.8859,2.8859,0.3742,0.3742,0.3742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,0.0911,0.1956,0.2054,0.9795,0.9576,0.9540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,True,False,3.3738,3.3738,3.3738,0.2085,0.2085,0.2085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,True,True,3.3841,3.3841,3.3841,0.2041,0.2041,0.2041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,0.0930,0.2116,0.2186,0.9801,0.9562,0.9510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,5,True,False,2.4112,2.4112,2.4112,0.4831,0.4831,0.4831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,5,True,True,2.4080,2.4080,2.4080,0.4891,0.4891,0.4891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,0.1033,0.2233,0.2327,0.9778,0.9528,0.9478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,6,True,False,1.4381,1.4381,1.4381,0.6944,0.6944,0.6944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,6,True,True,1.4515,1.4515,1.4515,0.6984,0.6984,0.6984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,0.0946,0.2056,0.2175,0.9793,0.9564,0.9509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,6,True,False,2.9337,2.9337,2.9337,0.3418,0.3418,0.3418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,6,True,True,2.9350,2.9350,2.9350,0.3450,0.3450,0.3450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,0.1018,0.2278,0.2375,0.9788,0.9521,0.9482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,6,True,False,2.5895,2.5895,2.5895,0.4110,0.4110,0.4110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,6,True,True,2.6433,2.6433,2.6433,0.4027,0.4027,0.4027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,0.4277,0.6602,0.6517,0.9350,0.9189,0.9121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,7,True,False,3.5147,3.5147,3.5147,0.1728,0.1728,0.1728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,7,True,True,3.5213,3.5213,3.5213,0.1717,0.1717,0.1717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,0.0906,0.1992,0.2027,0.9811,0.9570,0.9542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,7,True,False,2.2345,2.2345,2.2345,0.5647,0.5647,0.5647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,7,True,True,2.1841,2.1841,2.1841,0.5989,0.5989,0.5989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,0.1045,0.2058,0.2125,0.9794,0.9566,0.9518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,7,True,False,3.4340,3.4340,3.4340,0.1937,0.1937,0.1937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,7,True,True,,,,,,,,,,,,
22,388,0,0.48,768,0.050327822873414196,8,False,False,0.2347,0.2933,0.3015,0.9481,0.9375,0.9327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,8,True,False,3.5724,3.5724,3.5724,0.1714,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,8,True,True,,,,,,,,,,,,
23,38,2,0.4,768,0.06072074632210035,8,False,False,0.3161,0.3856,0.3947,0.9363,0.9256,0.9199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,8,True,False,3.5731,3.5731,3.5731,0.1715,0.1715,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,8,True,True,,,,,,,,,,,,
24,467,2,0.11,768,0.07325985555120318,8,False,False,0.0994,0.2092,0.2167,0.9787,0.9557,0.9512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,8,True,False,1.9536,1.9536,1.9536,0.6090,0.6090,0.6090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,8,True,True,,,,,,,,,,,,
25,176,4,0.05,768,0.08838834764831845,9,False,False,0.1014,0.2290,0.2443,0.9789,0.9545,0.9498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,768,0.08838834764831845,9,True,False,2.9192,2.9192,2.9192,0.3105,0.3105,0.3105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,768,0.08838834764831845,9,True,True,,,,,,,,,,,,
26,57,4,0.0,768,0.10664094190766783,9,False,False,0.1647,0.3009,0.3115,0.9646,0.9408,0.9346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,57,4,0.0,768,0.10664094190766783,9,True,False,3.2728,3.2728,3.2728,0.2388,0.2388,0.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,57,4,0.0,768,0.10664094190766783,9,True,True,,,,,,,,,,,,
27,968,3,0.22,768,0.12866277958043645,9,False,False,0.0890,0.2044,0.2114,0.9820,0.9579,0.9535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,968,3,0.22,768,0.12866277958043645,9,True,False,2.0319,2.0319,2.0319,0.6096,0.6096,0.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,968,3,0.22,768,0.12866277958043645,9,True,True,,,,,,,,,,,,
28,268,4,0.37,768,0.15523222650918542,10,False,False,0.1226,0.2375,0.2497,0.9739,0.9540,0.9489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,268,4,0.37,768,0.15523222650918542,10,True,False,3.4574,3.4574,3.4574,0.1854,0.1854,0.1854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,268,4,0.37,768,0.15523222650918542,10,True,True,,,,,,,,,,,,
29,270,0,0.04,768,0.18728838460958516,10,False,False,0.1634,0.2423,0.2543,0.9637,0.9488,0.9439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,270,0,0.04,768,0.18728838460958516,10,True,False,3.5546,3.5546,3.5546,0.1729,0.1729,0.1729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,270,0,0.04,768,0.18728838460958516,10,True,True,,,,,,,,,,,,
30,596,0,0.43,768,0.22596428459777515,10,False,False,0.2222,0.2817,0.2910,0.9505,0.9393,0.9346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,596,0,0.43,768,0.22596428459777515,10,True,False,3.5706,3.5706,3.5706,0.1715,0.1715,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,596,0,0.43,768,0.22596428459777515,10,True,True,,,,,,,,,,,,
31,694,3,0.18,768,0.2726269331663144,11,False,False,0.1048,0.2058,0.2149,0.9777,0.9574,0.9520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,694,3,0.18,768,0.2726269331663144,11,True,False,1.9677,1.9677,1.9677,0.6221,0.6221,0.6221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,694,3,0.18,768,0.2726269331663144,11,True,True,,,,,,,,,,,,
32,837,4,0.09,768,0.32892563008340914,11,False,False,0.1043,0.2146,0.2312,0.9779,0.9555,0.9492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,837,4,0.09,768,0.32892563008340914,11,True,False,0.9711,0.9711,0.9711,0.8156,0.8156,0.8156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,837,4,0.09,768,0.32892563008340914,11,True,True,,,,,,,,,,,,
33,487,0,0.14,768,0.39685026299204973,11,False,False,0.1716,0.2447,0.2569,0.9615,0.9486,0.9434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,487,0,0.14,768,0.39685026299204973,11,True,False,3.5587,3.5587,3.5587,0.1719,0.1719,0.1719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,487,0,0.14,768,0.39685026299204973,11,True,True,,,,,,,,,,,,
34,418,5,0.37,768,0.47880164034928685,12,False,False,0.1643,0.2787,0.2867,0.9657,0.9491,0.9442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,418,5,0.37,768,0.47880164034928685,12,True,False,3.4669,3.4669,3.4669,0.1771,0.1771,0.1771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,418,5,0.37,768,0.47880164034928685,12,True,True,,,,,,,,,,,,
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,0.1153,0.2617,0.2712,0.9766,0.9554,0.9506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,True,False,3.4231,3.4231,3.4231,0.1790,0.1790,0.1790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,True,True,,,,,,,,,,,,
36,657,2,0.11,768,0.6969691317244994,12,False,False,0.0866,0.2042,0.2137,0.9813,0.9566,0.9509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,657,2,0.11,768,0.6969691317244994,12,True,False,1.3660,1.3660,1.3660,0.7468,0.7468,0.7468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,657,2,0.11,768,0.6969691317244994,12,True,True,,,,,,,,,,,,
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,0.0888,0.1980,0.2039,0.9820,0.9582,0.9534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,True,False,3.3188,3.3188,3.3188,0.2296,0.2296,0.2296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,True,True,,,,,,,,,,,,
38,398,4,0.23,768,1.0145453349375229,13,False,False,0.0940,0.2155,0.2257,0.9802,0.9568,0.9523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,398,4,0.23,768,1.0145453349375229,13,True,False,3.0878,3.0878,3.0878,0.2735,0.2735,0.2735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,398,4,0.23,768,1.0145453349375229,13,True,True,,,,,,,,,,,,
