run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,2.6940,2.7069,2.7079,0.2849,0.2885,0.2874,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,2.7439,2.7550,2.7554,0.2847,0.2882,0.2870,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,2.8420,2.8501,2.8478,0.2839,0.2875,0.2861,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,2.8139,2.8232,2.8221,0.2842,0.2876,0.2862,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.4696,1.5206,1.5182,0.6446,0.6336,0.6313,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.6544,1.6926,1.6950,0.6062,0.5888,0.5872,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.6445,1.6828,1.6853,0.6078,0.5907,0.5892,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.0176,1.0542,1.0591,0.7816,0.7755,0.7722,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7155,0.7843,0.7841,0.8453,0.8323,0.8292,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.6936,0.7678,0.7669,0.8501,0.8357,0.8335,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.5479,0.6052,0.6069,0.8838,0.8721,0.8692,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.5967,0.6504,0.6522,0.8725,0.8621,0.8576,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.6366,0.6862,0.6893,0.8637,0.8547,0.8489,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,0.4415,0.5026,0.5025,0.9064,0.8944,0.8908,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,0.5135,0.5685,0.5711,0.8923,0.8815,0.8770,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,0.3820,0.4491,0.4551,0.9189,0.9052,0.9031,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,0.2923,0.3726,0.3750,0.9369,0.9209,0.9204,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,0.3393,0.4039,0.4061,0.9267,0.9140,0.9118,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,0.2894,0.3728,0.3748,0.9378,0.9211,0.9199,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,0.3471,0.4071,0.4091,0.9243,0.9115,0.9105,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,0.3263,0.3880,0.3911,0.9286,0.9152,0.9149,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,0.4326,0.4884,0.4915,0.9092,0.8992,0.8945,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,0.3807,0.4359,0.4360,0.9193,0.9088,0.9055,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,0.3483,0.4055,0.4065,0.9251,0.9147,0.9113,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,0.2546,0.3230,0.3271,0.9447,0.9312,0.9284,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,0.2208,0.3030,0.3034,0.9519,0.9360,0.9344,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,0.2182,0.3085,0.3074,0.9530,0.9350,0.9328,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,0.2666,0.3290,0.3312,0.9418,0.9287,0.9274,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,0.2930,0.3489,0.3491,0.9362,0.9245,0.9231,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,0.2074,0.2889,0.2829,0.9551,0.9384,0.9381,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,0.3112,0.3661,0.3665,0.9326,0.9209,0.9197,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,0.2294,0.2955,0.3020,0.9491,0.9348,0.9349,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,0.2090,0.2842,0.2914,0.9538,0.9391,0.9371,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,0.2202,0.2899,0.2968,0.9511,0.9365,0.9355,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,0.2664,0.3231,0.3258,0.9414,0.9291,0.9280,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,0.2592,0.3179,0.3202,0.9430,0.9300,0.9294,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,0.2033,0.2800,0.2798,0.9553,0.9401,0.9377,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,0.2682,0.3241,0.3285,0.9407,0.9287,0.9276,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,0.2237,0.2883,0.2916,0.9501,0.9371,0.9353,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,0.2374,0.2981,0.3014,0.9475,0.9345,0.9336,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,0.2401,0.2983,0.3032,0.9468,0.9341,0.9330,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,0.1794,0.2710,0.2690,0.9606,0.9415,0.9405,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,0.2102,0.2780,0.2811,0.9532,0.9389,0.9377,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,0.2137,0.2788,0.2825,0.9524,0.9384,0.9369,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,0.2685,0.3224,0.3250,0.9407,0.9289,0.9280,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,0.2116,0.2776,0.2810,0.9529,0.9388,0.9375,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,0.2124,0.2762,0.2798,0.9524,0.9392,0.9372,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,0.2124,0.2762,0.2798,0.9524,0.9392,0.9372,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,0.2807,0.3335,0.3350,0.9385,0.9272,0.9259,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
49,670,0,0.45,768,8.0,16,False,False,0.2688,0.3226,0.3245,0.9410,0.9291,0.9280,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
