run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.3474,2.5898,2.6024,0.1960,0.1987,0.1996,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,2.2471,2.5183,2.5371,0.2053,0.2100,0.2089,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,2.3690,2.6020,2.6010,0.1769,0.1831,0.1839,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,2.1248,2.2371,2.2989,0.2010,0.2059,0.2041,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.9159,1.5310,1.5863,0.8248,0.7656,0.7634,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.8192,1.2907,1.3094,0.8593,0.7984,0.7947,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.7187,1.0073,1.0121,0.8151,0.7774,0.7701,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,0.3378,0.7413,0.7612,0.9194,0.8502,0.8496,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.4961,1.0983,1.1305,0.8997,0.8269,0.8275,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.5460,1.1376,1.1811,0.8897,0.8201,0.8216,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,0.2880,0.6867,0.6985,0.9232,0.8569,0.8564,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.2997,0.7278,0.7577,0.9237,0.8538,0.8544,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.2907,0.6967,0.7385,0.9239,0.8561,0.8529,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,154,0.009290680585958758,5,False,False,0.2693,0.6839,0.6819,0.9241,0.8525,0.8531,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,0.2845,0.6675,0.6659,0.9242,0.8568,0.8573,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.3396,0.8358,0.8501,0.9162,0.8470,0.8475,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,124,0.01631677785042834,6,False,False,0.3983,0.8917,0.9385,0.9073,0.8415,0.8407,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
17,247,2,0.15,240,0.01968626640460739,6,False,False,0.2651,0.6987,0.7073,0.9242,0.8557,0.8572,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,50,0.02375156961170491,6,False,False,0.4429,0.9085,0.9331,0.8990,0.8375,0.8367,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,235,0.028656376350145975,7,False,False,0.2652,0.6620,0.6703,0.9243,0.8573,0.8574,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
20,786,2,0.24,144,0.03457404790277603,7,False,False,0.2645,0.6588,0.6792,0.9244,0.8579,0.8562,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
