run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,3.0495,3.0413,3.0580,0.1901,0.1926,0.1927,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,3.2116,3.2209,3.2347,0.2643,0.2662,0.2632,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,3.3258,3.3545,3.3634,0.2387,0.2356,0.2338,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,3.2575,3.2714,3.2871,0.2597,0.2632,0.2600,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,2.5179,2.5508,2.5746,0.4269,0.4141,0.4166,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,2.6439,2.6707,2.6954,0.4102,0.4036,0.3967,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,2.9836,3.0099,3.0255,0.3141,0.3082,0.3059,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,2.5715,2.5992,2.6172,0.4290,0.4239,0.4221,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,1.9409,1.9615,2.0152,0.5673,0.5606,0.5510,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,2.2682,2.2964,2.3268,0.5098,0.5036,0.5004,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,2.0416,2.0659,2.1024,0.5455,0.5343,0.5285,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,2.4390,2.4767,2.5114,0.4707,0.4612,0.4540,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,2.0993,2.1245,2.1439,0.5317,0.5208,0.5185,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,154,0.009290680585958758,5,False,False,1.9124,1.9441,1.9686,0.5648,0.5512,0.5483,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,2.0284,2.0647,2.0982,0.5494,0.5361,0.5337,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,2.0438,2.0766,2.1124,0.5454,0.5357,0.5302,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,124,0.01631677785042834,6,False,False,1.8911,1.9231,1.9678,0.5729,0.5646,0.5549,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
17,247,2,0.15,240,0.01968626640460739,6,False,False,1.6165,1.6482,1.6878,0.6227,0.6131,0.6026,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,50,0.02375156961170491,6,False,False,2.3571,2.3973,2.4244,0.4819,0.4736,0.4728,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,235,0.028656376350145975,7,False,False,1.6428,1.6774,1.7101,0.6158,0.6077,0.6003,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
20,786,2,0.24,144,0.03457404790277603,7,False,False,1.8183,1.8504,1.8866,0.5813,0.5696,0.5627,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
21,410,1,0.49,188,0.04171374544281356,7,False,False,1.8835,1.9053,1.9411,0.5751,0.5662,0.5583,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
22,388,0,0.48,59,0.050327822873414196,8,False,False,2.4043,2.4417,2.4760,0.4749,0.4599,0.4523,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
23,38,2,0.4,176,0.06072074632210035,8,False,False,1.8047,1.8288,1.8706,0.5920,0.5829,0.5748,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
24,467,2,0.11,75,0.07325985555120318,8,False,False,2.1040,2.1387,2.1834,0.5227,0.5126,0.5025,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
25,176,4,0.05,210,0.08838834764831845,9,False,False,1.5347,1.5794,1.6071,0.6432,0.6306,0.6266,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
26,57,4,0.0,85,0.10664094190766783,9,False,False,1.9962,2.0397,2.0885,0.5660,0.5550,0.5458,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
27,968,3,0.22,102,0.12866277958043645,9,False,False,1.9453,1.9867,2.0095,0.5685,0.5525,0.5516,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
28,268,4,0.37,225,0.15523222650918542,10,False,False,1.6230,1.6499,1.6823,0.6387,0.6291,0.6215,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
29,270,0,0.04,187,0.18728838460958516,10,False,False,1.5677,1.6206,1.6491,0.6482,0.6362,0.6280,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
30,596,0,0.43,195,0.22596428459777515,10,False,False,1.7046,1.7364,1.7682,0.6105,0.6014,0.5922,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
31,694,3,0.18,230,0.2726269331663144,11,False,False,1.4741,1.5162,1.5545,0.6615,0.6498,0.6458,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
32,837,4,0.09,187,0.32892563008340914,11,False,False,1.5608,1.6083,1.6340,0.6503,0.6387,0.6323,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
33,487,0,0.14,112,0.39685026299204973,11,False,False,1.8600,1.9030,1.9327,0.5823,0.5734,0.5670,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
34,418,5,0.37,188,0.47880164034928685,12,False,False,1.6731,1.7097,1.7368,0.6219,0.6156,0.6061,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
35,407,5,0.35000000000000003,94,0.577676348436136,12,False,False,1.9730,2.0183,2.0330,0.5482,0.5349,0.5336,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
36,657,2,0.11,182,0.6969691317244994,12,False,False,1.5463,1.6069,1.6346,0.6444,0.6326,0.6271,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,13,False,False,1.6017,1.6423,1.6740,0.6406,0.6295,0.6242,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
38,398,4,0.23,292,1.0145453349375229,13,False,False,1.3848,1.4432,1.4664,0.6818,0.6645,0.6616,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
39,369,4,0.29,98,1.2240535433046547,13,False,False,1.9289,1.9664,2.0011,0.5743,0.5619,0.5589,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
40,75,4,0.33,67,1.4768261459394993,14,False,False,2.1194,2.1737,2.1997,0.5456,0.5260,0.5243,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
41,179,0,0.02,177,1.7817974362806772,14,False,False,1.5467,1.6023,1.6225,0.6517,0.6391,0.6383,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
42,442,4,0.19,159,2.149746679841392,14,False,False,1.6457,1.6833,1.7146,0.6303,0.6240,0.6134,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
43,111,1,0.22,237,2.5936791093020193,15,False,False,1.4584,1.5099,1.5356,0.6739,0.6615,0.6554,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
44,242,1,0.45,123,3.1292855968155457,15,False,False,1.8735,1.9155,1.9445,0.5923,0.5768,0.5745,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
45,107,3,0.21,118,3.7754972507267723,15,False,False,1.8037,1.8375,1.8596,0.5941,0.5886,0.5851,0.0000,0.0000,0.0000,15.0000,15.0000,15.0000
46,150,2,0.2,70,4.555154539026766,16,False,False,2.1047,2.1501,2.1673,0.5354,0.5233,0.5198,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
47,38,1,0.2,128,5.495814589832352,16,False,False,1.7342,1.7696,1.8057,0.6076,0.6000,0.5949,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
48,248,1,0.49,92,6.6307252030723465,16,False,False,2.0880,2.1256,2.1565,0.5420,0.5274,0.5231,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
49,670,0,0.45,89,8.0,16,False,False,2.1122,2.1444,2.1698,0.5286,0.5155,0.5108,0.0000,0.0000,0.0000,16.0000,16.0000,16.0000
