run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,2.5940,2.6061,2.6249,0.2854,0.2896,0.2882,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,2.6472,2.6558,2.6726,0.2853,0.2895,0.2881,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,2.7582,2.7619,2.7755,0.2851,0.2892,0.2875,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,2.7261,2.7309,2.7444,0.2852,0.2894,0.2878,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.2046,1.2744,1.2838,0.7122,0.6967,0.6924,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.5934,1.6318,1.6441,0.6323,0.6202,0.6141,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.5819,1.6208,1.6331,0.6353,0.6236,0.6170,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.8644,0.9236,0.9415,0.8128,0.8057,0.7945,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.6036,0.6900,0.7199,0.8735,0.8605,0.8470,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.5835,0.6744,0.7053,0.8778,0.8633,0.8510,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.4668,0.5455,0.5554,0.9048,0.8893,0.8834,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.5162,0.5898,0.5973,0.8965,0.8817,0.8766,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.5615,0.6308,0.6373,0.8872,0.8730,0.8686,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,0.3773,0.4530,0.4702,0.9220,0.9078,0.9028,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,0.4590,0.5308,0.5476,0.9073,0.8932,0.8894,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,0.3141,0.3974,0.4150,0.9346,0.9190,0.9125,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,0.2448,0.3306,0.3543,0.9479,0.9314,0.9246,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,0.2786,0.3529,0.3713,0.9408,0.9269,0.9193,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,0.2447,0.3309,0.3548,0.9476,0.9314,0.9248,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,0.2925,0.3565,0.3734,0.9378,0.9269,0.9201,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,0.2740,0.3411,0.3579,0.9416,0.9293,0.9228,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,0.3647,0.4235,0.4390,0.9236,0.9137,0.9070,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,0.3191,0.3833,0.3903,0.9318,0.9208,0.9158,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,0.2890,0.3547,0.3623,0.9379,0.9260,0.9223,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,0.2130,0.2922,0.3006,0.9534,0.9398,0.9354,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,0.1924,0.2774,0.2849,0.9583,0.9434,0.9385,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,0.1879,0.2809,0.2876,0.9591,0.9435,0.9377,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,0.2230,0.2924,0.2991,0.9518,0.9391,0.9335,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,0.2399,0.3027,0.3124,0.9475,0.9358,0.9319,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,0.1787,0.2653,0.2807,0.9605,0.9444,0.9395,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,0.2590,0.3204,0.3299,0.9434,0.9327,0.9279,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,0.1891,0.2616,0.2712,0.9582,0.9451,0.9404,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,0.1749,0.2554,0.2675,0.9611,0.9471,0.9417,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,0.1830,0.2581,0.2687,0.9592,0.9465,0.9413,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,0.2199,0.2834,0.2915,0.9513,0.9401,0.9349,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,0.2157,0.2796,0.2884,0.9523,0.9412,0.9357,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,0.1726,0.2523,0.2656,0.9616,0.9473,0.9418,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,0.2249,0.2864,0.2941,0.9505,0.9381,0.9346,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,0.1875,0.2585,0.2685,0.9582,0.9455,0.9405,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,0.2001,0.2663,0.2753,0.9554,0.9440,0.9390,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,0.2029,0.2663,0.2774,0.9547,0.9435,0.9381,0.0000,0.0000,0.0000,14.0000,14.0000,14.0000
