run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3119,0.3398,0.3460,0.9340,0.9295,0.9271,1004.0057,1004.0057,1004.0057,14.0000,14.0000,14.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.4928,0.4970,0.5016,0.9082,0.9073,0.9059,325.8937,325.8937,325.8937,14.0000,14.0000,14.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.5735,0.5750,0.5776,0.8944,0.8950,0.8928,283.0123,283.0123,283.0123,14.0000,14.0000,14.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.5861,0.5866,0.5876,0.8948,0.8961,0.8933,269.2327,269.2327,269.2327,14.0000,14.0000,14.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.5624,0.5641,0.5643,0.9024,0.9030,0.9014,269.9034,269.9034,269.9034,14.0000,14.0000,14.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.6785,0.6780,0.6758,0.8840,0.8852,0.8842,227.7482,227.7482,227.7482,14.0000,14.0000,14.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.7229,0.7219,0.7185,0.8786,0.8797,0.8799,210.8619,210.8619,210.8619,14.0000,14.0000,14.0000
7,103,1,0.44,768,0.0030121305183748843,2,False,False,0.7646,0.7635,0.7589,0.8740,0.8747,0.8757,195.9402,195.9402,195.9402,14.0000,14.0000,14.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7697,0.7692,0.7641,0.8767,0.8777,0.8779,189.7793,189.7793,189.7793,14.0000,14.0000,14.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.8516,0.8509,0.8438,0.8659,0.8677,0.8680,169.3587,169.3587,169.3587,14.0000,14.0000,14.0000
10,72,3,0.23,768,0.005290060730222237,3,False,False,0.9709,0.9701,0.9610,0.8480,0.8492,0.8506,145.8590,145.8590,145.8590,14.0000,14.0000,14.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.0971,1.0969,1.0865,0.8221,0.8235,0.8249,125.5198,125.5198,125.5198,14.0000,14.0000,14.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.2517,1.2533,1.2416,0.7900,0.7910,0.7941,104.7950,104.7950,104.7950,14.0000,14.0000,14.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,1.3746,1.3771,1.3651,0.7693,0.7676,0.7745,90.4901,90.4901,90.4901,14.0000,14.0000,14.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,4,False,False,1.5728,1.5762,1.5634,0.7242,0.7232,0.7287,72.2227,72.2227,72.2227,14.0000,14.0000,14.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,1.7120,1.7169,1.7039,0.6860,0.6852,0.6894,60.8582,60.8582,60.8582,14.0000,14.0000,14.0000
16,326,2,0.02,768,0.01631677785042834,5,False,False,1.9220,1.9281,1.9132,0.6117,0.6094,0.6166,46.7682,46.7682,46.7682,14.0000,14.0000,14.0000
17,247,2,0.15,768,0.01968626640460739,5,False,False,2.1914,2.1981,2.1817,0.5258,0.5263,0.5255,31.7588,31.7588,31.7588,14.0000,14.0000,14.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.3732,2.3806,2.3659,0.4716,0.4676,0.4718,23.3318,23.3318,23.3318,14.0000,14.0000,14.0000
19,137,5,0.3,768,0.028656376350145975,6,False,False,2.5311,2.5384,2.5257,0.4329,0.4301,0.4297,17.3572,17.3572,17.3572,14.0000,14.0000,14.0000
20,786,2,0.24,768,0.03457404790277603,6,False,False,2.6733,2.6810,2.6706,0.4242,0.4204,0.4205,12.9163,12.9163,12.9163,14.0000,14.0000,14.0000
21,410,1,0.49,768,0.04171374544281356,6,False,False,2.8176,2.8254,2.8178,0.4228,0.4185,0.4198,9.1183,9.1183,9.1183,14.0000,14.0000,14.0000
22,388,0,0.48,768,0.050327822873414196,7,False,False,2.9134,2.9209,2.9151,0.4187,0.4148,0.4165,7.0964,7.0964,7.0964,14.0000,14.0000,14.0000
23,38,2,0.4,768,0.06072074632210035,7,False,False,3.0294,3.0365,3.0329,0.3938,0.3939,0.3919,5.0362,5.0362,5.0362,14.0000,14.0000,14.0000
24,467,2,0.11,768,0.07325985555120318,7,False,False,3.1611,3.1675,3.1666,0.2799,0.2791,0.2745,3.2213,3.2213,3.2213,14.0000,14.0000,14.0000
