run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.1483,0.9198,0.9078,0.9801,0.8054,0.8073,165.2212,165.2212,165.2212,14.0000,14.0000,14.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.1717,0.9331,0.9289,0.9750,0.8052,0.8085,123.4712,123.4712,123.4712,14.0000,14.0000,14.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,0.1458,0.8994,0.8464,0.9773,0.8122,0.8201,121.4245,121.4245,121.4245,14.0000,14.0000,14.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,0.1394,0.8980,0.8739,0.9780,0.8077,0.8169,117.0633,117.0633,117.0633,14.0000,14.0000,14.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.0867,0.8263,0.8025,0.9835,0.8195,0.8279,78.6326,78.6326,78.6326,12.0000,12.0000,12.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.0932,0.8009,0.7774,0.9826,0.8270,0.8318,81.0993,81.0993,81.0993,14.0000,14.0000,14.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.1650,0.8973,0.8795,0.9747,0.8128,0.8165,90.6957,90.6957,90.6957,13.0000,13.0000,13.0000
7,103,1,0.44,84,0.0030121305183748843,2,False,False,0.1115,0.8613,0.8304,0.9801,0.8136,0.8233,75.0634,75.0634,75.0634,13.0000,13.0000,13.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.1144,0.7937,0.7711,0.9826,0.8409,0.8444,65.3083,65.3083,65.3083,13.0000,13.0000,13.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.1277,0.8392,0.8172,0.9826,0.8282,0.8357,62.2988,62.2988,62.2988,9.0000,9.0000,9.0000
10,72,3,0.23,144,0.005290060730222237,3,False,False,0.1618,0.8938,0.8752,0.9805,0.8164,0.8209,67.5440,67.5440,67.5440,12.0000,12.0000,12.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.1779,0.8890,0.8572,0.9798,0.8171,0.8253,61.9093,61.9093,61.9093,9.0000,9.0000,9.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.1979,0.8512,0.8270,0.9796,0.8297,0.8349,57.0256,57.0256,57.0256,10.0000,10.0000,10.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.2182,0.8744,0.8429,0.9798,0.8243,0.8321,53.1317,53.1317,53.1317,10.0000,10.0000,10.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,0.2619,0.8801,0.8519,0.9781,0.8252,0.8328,48.9737,48.9737,48.9737,9.0000,9.0000,9.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.2881,0.9430,0.9274,0.9777,0.8212,0.8288,44.1449,44.1449,44.1449,6.0000,6.0000,6.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.3443,0.9700,0.9437,0.9772,0.8215,0.8256,40.3158,40.3158,40.3158,5.0000,5.0000,5.0000
