run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.8427,1.8472,1.8321,0.5740,0.5799,0.5806,292.6912,292.6912,292.6912,14.0000,14.0000,14.0000
1,433,2,0.27,103,0.0009765625,1,False,False,2.1182,2.1056,2.0949,0.5165,0.5188,0.5241,91.7012,91.7012,91.7012,14.0000,14.0000,14.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,2.2018,2.1813,2.1721,0.4952,0.4984,0.5016,72.8663,72.8663,72.8663,14.0000,14.0000,14.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,2.1989,2.1823,2.1676,0.4967,0.5009,0.5030,69.0973,69.0973,69.0973,14.0000,14.0000,14.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,2.0304,2.0258,1.9998,0.5421,0.5419,0.5497,106.3951,106.3951,106.3951,14.0000,14.0000,14.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,2.1088,2.0886,2.0764,0.5216,0.5255,0.5284,76.0849,76.0849,76.0849,14.0000,14.0000,14.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,2.3589,2.3401,2.3314,0.4683,0.4739,0.4724,42.7138,42.7138,42.7138,14.0000,14.0000,14.0000
7,103,1,0.44,84,0.0030121305183748843,2,False,False,2.2930,2.2756,2.2653,0.4713,0.4745,0.4741,48.9756,48.9756,48.9756,14.0000,14.0000,14.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,2.0357,2.0232,1.9996,0.5422,0.5434,0.5512,80.0922,80.0922,80.0922,14.0000,14.0000,14.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,2.1923,2.1779,2.1676,0.5121,0.5154,0.5184,59.2565,59.2565,59.2565,13.0000,13.0000,13.0000
10,72,3,0.23,144,0.005290060730222237,3,False,False,2.2147,2.2064,2.1829,0.5029,0.5045,0.5075,49.8240,49.8240,49.8240,13.0000,13.0000,13.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,2.3419,2.3253,2.3127,0.4738,0.4753,0.4764,34.9237,34.9237,34.9237,12.0000,12.0000,12.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,2.3265,2.3158,2.3025,0.4858,0.4891,0.4878,36.9170,36.9170,36.9170,12.0000,12.0000,12.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,2.3312,2.3193,2.3027,0.4841,0.4851,0.4848,32.8965,32.8965,32.8965,12.0000,12.0000,12.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,2.4348,2.4264,2.4122,0.4663,0.4689,0.4676,25.3051,25.3051,25.3051,12.0000,12.0000,12.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,2.4723,2.4670,2.4498,0.4563,0.4589,0.4585,22.4636,22.4636,22.4636,12.0000,12.0000,12.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,2.4864,2.4744,2.4652,0.4690,0.4691,0.4706,20.3260,20.3260,20.3260,10.0000,10.0000,10.0000
17,247,2,0.15,240,0.01968626640460739,5,False,False,2.5152,2.5096,2.4953,0.4565,0.4585,0.4615,18.3041,18.3041,18.3041,12.0000,12.0000,12.0000
18,179,1,0.01,50,0.02375156961170491,6,False,False,2.6337,2.6290,2.6266,0.4458,0.4485,0.4499,14.1155,14.1155,14.1155,5.0000,5.0000,5.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,2.6804,2.6771,2.6691,0.4253,0.4264,0.4244,12.1576,12.1576,12.1576,10.0000,10.0000,10.0000
20,786,2,0.24,144,0.03457404790277603,6,False,False,2.7368,2.7383,2.7278,0.4303,0.4307,0.4304,10.3938,10.3938,10.3938,7.0000,7.0000,7.0000
21,410,1,0.49,188,0.04171374544281356,6,False,False,2.8445,2.8458,2.8422,0.3969,0.3979,0.3938,7.5739,7.5739,7.5739,7.0000,7.0000,7.0000
22,388,0,0.48,59,0.050327822873414196,7,False,False,2.9382,2.9389,2.9384,0.3956,0.3962,0.3925,6.0676,6.0676,6.0676,3.0000,3.0000,3.0000
23,38,2,0.4,176,0.06072074632210035,7,False,False,2.9143,2.9167,2.9138,0.3969,0.3979,0.3938,5.9776,5.9776,5.9776,4.0000,4.0000,4.0000
24,467,2,0.11,75,0.07325985555120318,7,False,False,2.9988,2.9998,3.0009,0.3969,0.3978,0.3938,4.9602,4.9602,4.9602,2.0000,2.0000,2.0000
25,176,4,0.05,210,0.08838834764831845,8,False,False,3.0623,3.0656,3.0654,0.3969,0.3979,0.3938,4.1338,4.1338,4.1338,4.0000,4.0000,4.0000
26,57,4,0.0,85,0.10664094190766783,8,False,False,3.1791,3.1830,3.1840,0.2799,0.2791,0.2745,2.9059,2.9059,2.9059,2.0000,2.0000,2.0000
27,968,3,0.22,102,0.12866277958043645,8,False,False,3.2756,3.2808,3.2815,0.2799,0.2791,0.2745,2.0495,2.0495,2.0495,2.0000,2.0000,2.0000
28,268,4,0.37,225,0.15523222650918542,8,False,False,3.3074,3.3121,3.3132,0.2799,0.2791,0.2745,1.8244,1.8244,1.8244,4.0000,4.0000,4.0000
29,270,0,0.04,187,0.18728838460958516,9,False,False,3.3507,3.3546,3.3561,0.2799,0.2791,0.2745,1.5683,1.5683,1.5683,2.0000,2.0000,2.0000
30,596,0,0.43,195,0.22596428459777515,9,False,False,3.4090,3.4124,3.4142,0.2799,0.2791,0.2745,1.2857,1.2857,1.2857,2.0000,2.0000,2.0000
31,694,3,0.18,230,0.2726269331663144,9,False,False,3.4914,3.4939,3.4955,0.2799,0.2791,0.2745,0.9557,0.9557,0.9557,3.0000,3.0000,3.0000
32,837,4,0.09,187,0.32892563008340914,10,False,False,3.6167,3.6181,3.6191,0.2799,0.2791,0.2745,0.5381,0.5381,0.5381,2.0000,2.0000,2.0000
33,487,0,0.14,112,0.39685026299204973,10,False,False,3.7857,3.7859,3.7858,0.1466,0.1433,0.1477,0.1269,0.1269,0.1269,13.0000,13.0000,13.0000
34,418,5,0.37,188,0.47880164034928685,10,False,False,3.7868,3.7869,3.7870,0.2799,0.2791,0.2745,0.0777,0.0777,0.0777,11.0000,11.0000,11.0000
35,407,5,0.35000000000000003,94,0.577676348436136,10,False,False,3.7877,3.7879,3.7880,0.2799,0.2791,0.2745,0.1551,0.1551,0.1551,14.0000,14.0000,14.0000
36,657,2,0.11,182,0.6969691317244994,11,False,False,3.7926,3.7927,3.7929,0.2799,0.2791,0.2745,0.0663,0.0663,0.0663,12.0000,12.0000,12.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,11,False,False,3.8064,3.8064,3.8064,0.2777,0.2767,0.2724,0.0266,0.0266,0.0266,12.0000,12.0000,12.0000
38,398,4,0.23,292,1.0145453349375229,11,False,False,3.8067,3.8067,3.8067,0.2799,0.2791,0.2745,0.0208,0.0208,0.0208,11.0000,11.0000,11.0000
39,369,4,0.29,98,1.2240535433046547,12,False,False,3.8048,3.8049,3.8049,0.2798,0.2788,0.2745,0.1058,0.1058,0.1058,14.0000,14.0000,14.0000
40,75,4,0.33,67,1.4768261459394993,12,False,False,3.8003,3.8003,3.8004,0.2150,0.2161,0.2149,0.4824,0.4824,0.4824,14.0000,14.0000,14.0000
41,179,0,0.02,177,1.7817974362806772,12,False,False,3.8072,3.8072,3.8072,0.1187,0.1124,0.1170,0.0327,0.0327,0.0327,12.0000,12.0000,12.0000
42,442,4,0.19,159,2.149746679841392,12,False,False,3.8072,3.8072,3.8072,0.1474,0.1445,0.1497,0.0355,0.0355,0.0355,11.0000,11.0000,11.0000
43,111,1,0.22,237,2.5936791093020193,13,False,False,3.8073,3.8073,3.8073,0.1851,0.1843,0.1837,0.0113,0.0113,0.0113,2.0000,2.0000,2.0000
44,242,1,0.45,123,3.1292855968155457,13,False,False,3.8070,3.8070,3.8070,0.2229,0.2198,0.2189,0.0529,0.0529,0.0529,13.0000,13.0000,13.0000
45,107,3,0.21,118,3.7754972507267723,13,False,False,3.8072,3.8072,3.8072,0.1121,0.1130,0.1091,0.0605,0.0605,0.0605,13.0000,13.0000,13.0000
46,150,2,0.2,70,4.555154539026766,14,False,False,3.8018,3.8016,3.8015,0.0749,0.0760,0.0755,0.3913,0.3913,0.3913,13.0000,13.0000,13.0000
47,38,1,0.2,128,5.495814589832352,14,False,False,3.8070,3.8070,3.8070,0.1753,0.1809,0.1746,0.0494,0.0494,0.0494,13.0000,13.0000,13.0000
48,248,1,0.49,92,6.6307252030723465,14,False,False,3.8068,3.8068,3.8068,0.2433,0.2424,0.2382,0.1120,0.1120,0.1120,13.0000,13.0000,13.0000
49,670,0,0.45,89,8.0,14,False,False,3.8072,3.8072,3.8072,0.2929,0.2923,0.2917,0.0083,0.0083,0.0083,1.0000,1.0000,1.0000
