run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3004,0.3323,0.3393,0.9348,0.9304,0.9280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,3.1384,3.1384,3.1384,0.2595,0.2595,0.2595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,3.1383,3.1383,3.1383,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.0640,0.2052,0.2185,0.9873,0.9578,0.9557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,2.4775,2.4775,2.4775,0.4174,0.4174,0.4174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,2.5312,2.5312,2.5312,0.3967,0.3967,0.3967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.3335,0.3733,0.3770,0.9402,0.9346,0.9347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,False,3.1346,3.1346,3.1346,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,True,3.1366,3.1366,3.1366,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.1651,0.2356,0.2394,0.9666,0.9520,0.9494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,False,2.9844,2.9844,2.9844,0.2783,0.2783,0.2783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,True,2.9750,2.9750,2.9750,0.2794,0.2794,0.2794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.1027,0.2245,0.2333,0.9776,0.9530,0.9504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,False,0.0810,0.0810,0.0810,0.9949,0.9949,0.9949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,True,0.0724,0.0724,0.0724,0.9982,0.9982,0.9982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.1186,0.2114,0.2144,0.9733,0.9565,0.9552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,False,2.9900,2.9900,2.9900,0.2684,0.2684,0.2684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,True,3.0094,3.0094,3.0094,0.2672,0.2672,0.2672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.1352,0.2123,0.2183,0.9697,0.9545,0.9524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,False,2.9902,2.9902,2.9902,0.2735,0.2735,0.2735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,True,2.9813,2.9813,2.9813,0.2717,0.2717,0.2717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,2,False,False,0.2642,0.2976,0.3058,0.9440,0.9386,0.9353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
