run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.4945,1.4069,1.3691,0.9113,0.7656,0.7718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,1.9861,1.9861,1.9861,0.4740,0.4740,0.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,0.4232,0.9027,0.8753,0.9160,0.7988,0.8043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,1.9906,1.9906,1.9906,0.4718,0.4718,0.4718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,1,False,False,0.9447,1.5193,1.4862,0.7510,0.6431,0.6416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,False,2.7440,2.7440,2.7440,0.3096,0.3096,0.3096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,1,False,False,0.2829,0.9048,0.8526,0.9539,0.7984,0.8089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,False,1.9938,1.9938,1.9938,0.4703,0.4703,0.4703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.3252,0.9187,0.8782,0.9318,0.8089,0.8175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,False,1.9815,1.9815,1.9815,0.4734,0.4734,0.4734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.4039,0.9353,0.9339,0.9273,0.7808,0.7813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,False,2.1026,2.1026,2.1026,0.4634,0.4634,0.4634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.7277,1.1103,1.0857,0.8592,0.7351,0.7388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,False,3.1693,3.1693,3.1693,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,2,False,False,0.2658,0.8849,0.8619,0.9535,0.8037,0.8077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,False,2.0095,2.0095,2.0095,0.4686,0.4686,0.4686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.3936,0.9552,0.9533,0.9192,0.8072,0.8074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,False,2.0079,2.0079,2.0079,0.4694,0.4694,0.4694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.4312,1.0650,1.0380,0.9138,0.7861,0.7967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,False,2.0216,2.0216,2.0216,0.4696,0.4696,0.4696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,True,,,,,,,,,,,,
10,72,3,0.23,144,0.005290060730222237,3,False,False,0.6171,1.0999,1.0722,0.8846,0.7681,0.7796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,False,2.2126,2.2126,2.2126,0.4487,0.4487,0.4487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,True,,,,,,,,,,,,
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.4614,0.9713,0.9442,0.9115,0.7759,0.7777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,4,True,False,2.0068,2.0068,2.0068,0.4690,0.4690,0.4690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,4,True,True,,,,,,,,,,,,
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.2860,1.1790,1.1683,0.9505,0.7888,0.7925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,False,1.9911,1.9911,1.9911,0.4740,0.4740,0.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,True,,,,,,,,,,,,
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.3046,0.8938,0.8650,0.9420,0.8021,0.8118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,False,1.9872,1.9872,1.9872,0.4719,0.4719,0.4719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,0.3576,0.8959,0.8690,0.9382,0.7974,0.8013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,False,2.0011,2.0011,2.0011,0.4699,0.4699,0.4699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,True,,,,,,,,,,,,
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.3124,0.9151,0.9191,0.9363,0.8066,0.8068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,5,True,False,1.9877,1.9877,1.9877,0.4716,0.4716,0.4716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,5,True,True,,,,,,,,,,,,
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.4524,1.0206,0.9874,0.9058,0.7890,0.7985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,5,True,False,1.9792,1.9792,1.9792,0.4738,0.4738,0.4738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,5,True,True,,,,,,,,,,,,
17,247,2,0.15,240,0.01968626640460739,5,False,False,0.4103,0.8870,0.8597,0.9150,0.8041,0.8123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,5,True,False,1.9848,1.9848,1.9848,0.4724,0.4724,0.4724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,5,True,True,,,,,,,,,,,,
18,179,1,0.01,50,0.02375156961170491,6,False,False,0.5032,1.0549,1.0270,0.8992,0.7851,0.7907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,6,True,False,1.9960,1.9960,1.9960,0.4738,0.4738,0.4738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,6,True,True,,,,,,,,,,,,
19,137,5,0.3,235,0.028656376350145975,6,False,False,1.1705,1.5697,1.5315,0.7365,0.6495,0.6577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,6,True,False,2.6485,2.6485,2.6485,0.3540,0.3540,0.3540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,6,True,True,,,,,,,,,,,,
20,786,2,0.24,144,0.03457404790277603,6,False,False,0.3098,0.8605,0.8352,0.9431,0.8091,0.8162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,6,True,False,1.9892,1.9892,1.9892,0.4714,0.4714,0.4714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,6,True,True,,,,,,,,,,,,
21,410,1,0.49,188,0.04171374544281356,6,False,False,0.2728,0.8494,0.8487,0.9565,0.8069,0.8079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,6,True,False,1.9984,1.9984,1.9984,0.4696,0.4696,0.4696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,6,True,True,,,,,,,,,,,,
22,388,0,0.48,59,0.050327822873414196,7,False,False,0.2295,0.9771,0.9637,0.9594,0.8011,0.8074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,59,0.050327822873414196,7,True,False,1.9974,1.9974,1.9974,0.4740,0.4740,0.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,59,0.050327822873414196,7,True,True,,,,,,,,,,,,
23,38,2,0.4,176,0.06072074632210035,7,False,False,0.5626,1.1119,1.0978,0.8963,0.7612,0.7699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,176,0.06072074632210035,7,True,False,2.5350,2.5350,2.5350,0.3841,0.3841,0.3841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,176,0.06072074632210035,7,True,True,,,,,,,,,,,,
24,467,2,0.11,75,0.07325985555120318,7,False,False,0.3953,0.9285,0.9110,0.9194,0.8023,0.8089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,75,0.07325985555120318,7,True,False,1.9820,1.9820,1.9820,0.4734,0.4734,0.4734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,75,0.07325985555120318,7,True,True,,,,,,,,,,,,
25,176,4,0.05,210,0.08838834764831845,8,False,False,0.3708,1.0066,0.9659,0.9280,0.8000,0.8085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,210,0.08838834764831845,8,True,False,2.0085,2.0085,2.0085,0.4700,0.4700,0.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,210,0.08838834764831845,8,True,True,,,,,,,,,,,,
26,57,4,0.0,85,0.10664094190766783,8,False,False,0.6598,1.2022,1.1591,0.8694,0.7677,0.7781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,57,4,0.0,85,0.10664094190766783,8,True,False,2.1461,2.1461,2.1461,0.4631,0.4631,0.4631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,57,4,0.0,85,0.10664094190766783,8,True,True,,,,,,,,,,,,
27,968,3,0.22,102,0.12866277958043645,8,False,False,0.3438,0.8600,0.8351,0.9320,0.8052,0.8126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,968,3,0.22,102,0.12866277958043645,8,True,False,1.9989,1.9989,1.9989,0.4690,0.4690,0.4690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,968,3,0.22,102,0.12866277958043645,8,True,True,,,,,,,,,,,,
28,268,4,0.37,225,0.15523222650918542,8,False,False,0.6400,1.1960,1.1699,0.8680,0.7416,0.7504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,268,4,0.37,225,0.15523222650918542,8,True,False,2.2191,2.2191,2.2191,0.4540,0.4540,0.4540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,268,4,0.37,225,0.15523222650918542,8,True,True,,,,,,,,,,,,
29,270,0,0.04,187,0.18728838460958516,9,False,False,0.5675,1.5107,1.4367,0.8979,0.7562,0.7675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,270,0,0.04,187,0.18728838460958516,9,True,False,1.9855,1.9855,1.9855,0.4740,0.4740,0.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,270,0,0.04,187,0.18728838460958516,9,True,True,,,,,,,,,,,,
30,596,0,0.43,195,0.22596428459777515,9,False,False,0.2807,1.1564,1.1021,0.9528,0.7854,0.7963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,596,0,0.43,195,0.22596428459777515,9,True,False,1.9939,1.9939,1.9939,0.4740,0.4740,0.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,596,0,0.43,195,0.22596428459777515,9,True,True,,,,,,,,,,,,
31,694,3,0.18,230,0.2726269331663144,9,False,False,0.3730,0.8468,0.8142,0.9225,0.8089,0.8211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,694,3,0.18,230,0.2726269331663144,9,True,False,1.9949,1.9949,1.9949,0.4687,0.4687,0.4687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,694,3,0.18,230,0.2726269331663144,9,True,True,,,,,,,,,,,,
