run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.8456,1.8518,1.8325,0.5746,0.5808,0.5824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,3.1579,3.1579,3.1579,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,0.7808,0.9416,0.9155,0.8178,0.7857,0.7968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,3.0083,3.0083,3.0083,0.2680,0.2680,0.2680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,1,False,False,1.7540,1.7351,1.7251,0.5824,0.5877,0.5893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,False,3.1678,3.1678,3.1678,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,1,False,False,1.4105,1.4148,1.3879,0.6733,0.6761,0.6818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,False,3.1354,3.1354,3.1354,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.3198,0.8761,0.8423,0.9311,0.8236,0.8338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,False,2.1494,2.1494,2.1494,0.4683,0.4683,0.4683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,2,False,False,1.1139,1.1391,1.1223,0.7320,0.7280,0.7378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,False,3.1679,3.1679,3.1679,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,2,False,False,1.4237,1.4189,1.3986,0.6641,0.6677,0.6734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,False,3.1588,3.1588,3.1588,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,2,False,False,1.7090,1.6944,1.6808,0.5935,0.5977,0.6009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,False,3.1570,3.1570,3.1570,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.5210,0.9132,0.8853,0.8861,0.8010,0.8058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,False,2.7219,2.7219,2.7219,0.3571,0.3571,0.3571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.6747,0.9882,0.9663,0.8531,0.7855,0.7914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,False,2.8832,2.8832,2.8832,0.3147,0.3147,0.3147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,True,,,,,,,,,,,,
10,72,3,0.23,144,0.005290060730222237,3,False,False,1.3720,1.3782,1.3534,0.6788,0.6785,0.6868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,False,3.1483,3.1483,3.1483,0.2595,0.2595,0.2595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,True,,,,,,,,,,,,
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.9156,0.9979,0.9768,0.7803,0.7659,0.7752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,4,True,False,3.0785,3.0785,3.0785,0.2606,0.2606,0.2606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,4,True,True,,,,,,,,,,,,
12,377,0,0.37,159,0.007700493739376462,4,False,False,1.9838,1.9748,1.9623,0.5322,0.5338,0.5364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,False,3.1630,3.1630,3.1630,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,True,,,,,,,,,,,,
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.6164,0.8582,0.8345,0.8549,0.8102,0.8160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,False,2.9247,2.9247,2.9247,0.2864,0.2864,0.2864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,1.0762,1.1163,1.0953,0.7396,0.7347,0.7439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,False,3.1079,3.1079,3.1079,0.2598,0.2598,0.2598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,True,,,,,,,,,,,,
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.5076,0.8714,0.8363,0.8880,0.8095,0.8178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,5,True,False,2.7123,2.7123,2.7123,0.3523,0.3523,0.3523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,5,True,True,,,,,,,,,,,,
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.5163,1.0044,0.9831,0.8878,0.7949,0.8039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,5,True,False,2.3979,2.3979,2.3979,0.4223,0.4223,0.4223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,5,True,True,,,,,,,,,,,,
17,247,2,0.15,240,0.01968626640460739,5,False,False,0.4949,0.8513,0.8325,0.8916,0.8122,0.8193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,5,True,False,2.8021,2.8021,2.8021,0.3257,0.3257,0.3257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,240,0.01968626640460739,5,True,True,,,,,,,,,,,,
18,179,1,0.01,50,0.02375156961170491,6,False,False,1.1288,1.2587,1.2176,0.7359,0.7128,0.7288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,6,True,False,3.0907,3.0907,3.0907,0.2637,0.2637,0.2637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,50,0.02375156961170491,6,True,True,,,,,,,,,,,,
19,137,5,0.3,235,0.028656376350145975,6,False,False,1.5727,1.5775,1.5587,0.6001,0.6035,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,6,True,False,3.1493,3.1493,3.1493,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,235,0.028656376350145975,6,True,True,,,,,,,,,,,,
20,786,2,0.24,144,0.03457404790277603,6,False,False,0.3457,0.7721,0.7490,0.9349,0.8363,0.8447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,6,True,False,2.6419,2.6419,2.6419,0.3751,0.3751,0.3751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,144,0.03457404790277603,6,True,True,,,,,,,,,,,,
21,410,1,0.49,188,0.04171374544281356,6,False,False,1.2109,1.2404,1.2144,0.7187,0.7197,0.7246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,6,True,False,3.1178,3.1178,3.1178,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,188,0.04171374544281356,6,True,True,,,,,,,,,,,,
22,388,0,0.48,59,0.050327822873414196,7,False,False,2.3088,2.2880,2.2744,0.4829,0.4858,0.4884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,59,0.050327822873414196,7,True,False,3.1669,3.1669,3.1669,0.2594,0.2594,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,59,0.050327822873414196,7,True,True,,,,,,,,,,,,
