run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,2.1486,2.1565,2.1514,0.4262,0.4219,0.4219,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,2.1814,2.1898,2.1825,0.4262,0.4218,0.4219,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,2.2409,2.2495,2.2390,0.4261,0.4218,0.4219,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,2.2246,2.2331,2.2232,0.4262,0.4218,0.4220,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.3184,1.3194,1.3065,0.6960,0.6969,0.6960,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.5084,1.5004,1.4905,0.6376,0.6354,0.6448,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.5000,1.4917,1.4821,0.6392,0.6375,0.6463,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,768,0.0030121305183748843,2,False,False,1.4603,1.4518,1.4426,0.6472,0.6469,0.6537,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.6514,0.6614,0.6685,0.8604,0.8576,0.8606,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.6327,0.6502,0.6583,0.8652,0.8611,0.8626,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,768,0.005290060730222237,3,False,False,0.7600,0.7567,0.7644,0.8366,0.8368,0.8376,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.6202,0.6214,0.6253,0.8676,0.8643,0.8691,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.6674,0.6673,0.6675,0.8568,0.8572,0.8610,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,0.5814,0.5861,0.5893,0.8757,0.8724,0.8766,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,4,False,False,0.7021,0.6995,0.6993,0.8515,0.8502,0.8545,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,0.4200,0.4337,0.4492,0.9100,0.9061,0.9063,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,768,0.01631677785042834,5,False,False,0.3889,0.4140,0.4269,0.9174,0.9120,0.9113,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,768,0.01968626640460739,5,False,False,0.4467,0.4562,0.4713,0.9043,0.9012,0.9023,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,0.3443,0.3888,0.3878,0.9261,0.9184,0.9204,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,768,0.028656376350145975,6,False,False,0.4500,0.4617,0.4713,0.9039,0.8996,0.9012,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
20,786,2,0.24,768,0.03457404790277603,6,False,False,0.4272,0.4407,0.4519,0.9083,0.9044,0.9045,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
21,410,1,0.49,768,0.04171374544281356,6,False,False,0.5407,0.5459,0.5548,0.8865,0.8855,0.8858,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
22,388,0,0.48,768,0.050327822873414196,7,False,False,0.4868,0.4875,0.5028,0.8966,0.8968,0.8954,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
23,38,2,0.4,768,0.06072074632210035,7,False,False,0.4503,0.4527,0.4693,0.9033,0.9029,0.9014,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
24,467,2,0.11,768,0.07325985555120318,7,False,False,0.3554,0.3748,0.3880,0.9244,0.9216,0.9187,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
25,176,4,0.05,768,0.08838834764831845,8,False,False,0.3138,0.3474,0.3550,0.9326,0.9263,0.9255,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
26,57,4,0.0,768,0.10664094190766783,8,False,False,0.3011,0.3496,0.3534,0.9355,0.9264,0.9269,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
27,968,3,0.22,768,0.12866277958043645,8,False,False,0.3637,0.3786,0.3905,0.9223,0.9186,0.9174,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
28,268,4,0.37,768,0.15523222650918542,8,False,False,0.4120,0.4200,0.4339,0.9119,0.9084,0.9098,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
29,270,0,0.04,768,0.18728838460958516,9,False,False,0.2923,0.3340,0.3379,0.9370,0.9287,0.9300,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
30,596,0,0.43,768,0.22596428459777515,9,False,False,0.4137,0.4194,0.4293,0.9117,0.9103,0.9107,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
31,694,3,0.18,768,0.2726269331663144,9,False,False,0.3356,0.3547,0.3621,0.9280,0.9250,0.9249,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
