run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.4481,2.4363,2.4235,0.2022,0.2010,0.2083,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,300,0.0009765625,1,False,False,2.4781,2.4668,2.4535,0.2016,0.2006,0.2078,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,300,0.0011782270808598852,1,False,False,2.5483,2.5395,2.5278,0.2009,0.1999,0.2063,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,300,0.001421536311369323,1,False,False,2.5269,2.5172,2.5050,0.2011,0.2002,0.2067,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,1.3157,1.2797,1.2930,0.6917,0.6974,0.6992,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,300,0.0020692638561704995,2,False,False,1.5991,1.5776,1.5758,0.6365,0.6404,0.6452,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,300,0.0024965762178914648,2,False,False,1.5904,1.5686,1.5667,0.6374,0.6413,0.6470,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,300,0.0030121305183748843,2,False,False,1.5485,1.5243,1.5242,0.6471,0.6509,0.6566,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.7883,0.7628,0.7879,0.8346,0.8392,0.8419,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.7733,0.7487,0.7764,0.8383,0.8436,0.8456,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,300,0.005290060730222237,3,False,False,0.9119,0.8882,0.8987,0.7791,0.7833,0.7827,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
11,467,3,0.31,300,0.006382482239223045,4,False,False,0.7441,0.7226,0.7356,0.8419,0.8450,0.8488,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,300,0.007700493739376462,4,False,False,0.7918,0.7704,0.7799,0.8311,0.8348,0.8381,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,300,0.009290680585958758,4,False,False,0.6994,0.6793,0.6945,0.8557,0.8582,0.8614,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,4,False,False,0.8271,0.8054,0.8137,0.8227,0.8278,0.8295,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
15,326,3,0.09,300,0.013524008765720979,5,False,False,0.4984,0.4876,0.5100,0.9008,0.9039,0.9033,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
16,326,2,0.02,300,0.01631677785042834,5,False,False,0.4712,0.4668,0.4941,0.9067,0.9103,0.9070,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,300,0.01968626640460739,5,False,False,0.5215,0.5090,0.5278,0.8946,0.8998,0.8966,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
18,179,1,0.01,300,0.02375156961170491,6,False,False,0.4052,0.4040,0.4324,0.9210,0.9222,0.9191,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
19,137,5,0.3,300,0.028656376350145975,6,False,False,0.5239,0.5093,0.5279,0.8950,0.8980,0.8986,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
20,786,2,0.24,300,0.03457404790277603,6,False,False,0.4939,0.4804,0.5001,0.9013,0.9041,0.9055,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
21,410,1,0.49,300,0.04171374544281356,6,False,False,0.6524,0.6354,0.6494,0.8602,0.8666,0.8664,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
22,388,0,0.48,300,0.050327822873414196,7,False,False,0.5694,0.5586,0.5642,0.8839,0.8883,0.8897,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
23,38,2,0.4,300,0.06072074632210035,7,False,False,0.5179,0.5078,0.5154,0.8940,0.8986,0.8983,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
