run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3257,0.8033,0.7675,0.9416,0.8523,0.8350,462.3759,462.3759,462.3759,15.0000,15.0000,15.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.3485,0.7806,0.7571,0.9379,0.8568,0.8325,350.3004,350.3004,350.3004,15.0000,15.0000,15.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.4560,0.8034,0.7872,0.9082,0.8591,0.8277,291.6167,291.6167,291.6167,15.0000,15.0000,15.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.4770,0.8177,0.8029,0.9056,0.8545,0.8252,271.0743,271.0743,271.0743,15.0000,15.0000,15.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.4522,0.8309,0.8057,0.9183,0.8432,0.8325,268.4831,268.4831,268.4831,15.0000,15.0000,15.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.6085,0.8943,0.8716,0.8849,0.8364,0.8180,210.1249,210.1249,210.1249,15.0000,15.0000,15.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.6633,0.9278,0.9044,0.8772,0.8273,0.8252,188.2527,188.2527,188.2527,15.0000,15.0000,15.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.7134,0.9631,0.9365,0.8702,0.8250,0.8204,170.0228,170.0228,170.0228,15.0000,15.0000,15.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7183,0.9779,0.9458,0.8745,0.8227,0.8204,163.4477,163.4477,163.4477,15.0000,15.0000,15.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.7994,1.0359,0.9985,0.8569,0.8205,0.8228,143.2439,143.2439,143.2439,15.0000,15.0000,15.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.9171,1.1202,1.0786,0.8328,0.8000,0.8107,119.9806,119.9806,119.9806,15.0000,15.0000,15.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.0226,1.2021,1.1524,0.8118,0.7909,0.8034,102.8652,102.8652,102.8652,15.0000,15.0000,15.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.1346,1.2928,1.2329,0.7921,0.7886,0.7961,87.7741,87.7741,87.7741,15.0000,15.0000,15.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,1.2312,1.3723,1.3062,0.7731,0.7636,0.7888,76.3897,76.3897,76.3897,15.0000,15.0000,15.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.3688,1.4866,1.4140,0.7497,0.7523,0.7718,63.6147,63.6147,63.6147,15.0000,15.0000,15.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,1.4661,1.5710,1.4974,0.7441,0.7386,0.7646,55.5926,55.5926,55.5926,15.0000,15.0000,15.0000
16,326,2,0.02,768,0.01631677785042834,5,False,False,1.5976,1.6874,1.6126,0.7304,0.7250,0.7451,46.7302,46.7302,46.7302,15.0000,15.0000,15.0000
