run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.5895,0.9244,0.8691,0.8565,0.7864,0.8058,368.0783,368.0783,368.0783,15.0000,15.0000,15.0000
1,433,2,0.27,300,0.0009765625,1,False,False,0.6410,0.8883,0.8717,0.8515,0.8091,0.8107,233.0139,233.0139,233.0139,15.0000,15.0000,15.0000
2,310,5,0.5,300,0.0011782270808598852,1,False,False,0.7329,0.9410,0.9254,0.8312,0.7909,0.8083,198.6025,198.6025,198.6025,15.0000,15.0000,15.0000
3,300,1,0.44,300,0.001421536311369323,1,False,False,0.7314,0.9383,0.9254,0.8325,0.7909,0.8058,189.7111,189.7111,189.7111,15.0000,15.0000,15.0000
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,0.6782,0.9164,0.8928,0.8509,0.8091,0.8131,191.8289,191.8289,191.8289,15.0000,15.0000,15.0000
5,657,3,0.5,300,0.0020692638561704995,2,False,False,0.8124,1.0026,0.9827,0.8215,0.7864,0.8010,156.6521,156.6521,156.6521,15.0000,15.0000,15.0000
6,455,2,0.49,300,0.0024965762178914648,2,False,False,0.8463,1.0332,1.0077,0.8151,0.7795,0.7985,142.9706,142.9706,142.9706,15.0000,15.0000,15.0000
7,103,1,0.44,300,0.0030121305183748843,3,False,False,0.8730,1.0605,1.0293,0.8131,0.7659,0.7961,131.3729,131.3729,131.3729,15.0000,15.0000,15.0000
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.8356,1.0311,1.0017,0.8268,0.7886,0.8034,128.5044,128.5044,128.5044,15.0000,15.0000,15.0000
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.8877,1.0740,1.0422,0.8155,0.7727,0.7961,114.8005,114.8005,114.8005,15.0000,15.0000,15.0000
10,72,3,0.23,300,0.005290060730222237,4,False,False,0.9891,1.1642,1.1210,0.7968,0.7636,0.7913,98.4238,98.4238,98.4238,15.0000,15.0000,15.0000
11,467,3,0.31,300,0.006382482239223045,4,False,False,1.0837,1.2480,1.1952,0.7838,0.7545,0.7791,84.3306,84.3306,84.3306,15.0000,15.0000,15.0000
12,377,0,0.37,300,0.007700493739376462,4,False,False,1.1868,1.3385,1.2752,0.7554,0.7455,0.7573,71.2734,71.2734,71.2734,15.0000,15.0000,15.0000
13,436,2,0.25,300,0.009290680585958758,4,False,False,1.2520,1.3910,1.3263,0.7391,0.7295,0.7427,62.4623,62.4623,62.4623,15.0000,15.0000,15.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,5,False,False,1.3796,1.5043,1.4282,0.7184,0.7114,0.7257,52.1898,52.1898,52.1898,15.0000,15.0000,15.0000
15,326,3,0.09,300,0.013524008765720979,5,False,False,1.4190,1.5255,1.4612,0.7107,0.7023,0.7306,46.6522,46.6522,46.6522,13.0000,13.0000,13.0000
16,326,2,0.02,300,0.01631677785042834,5,False,False,1.5154,1.6069,1.5419,0.7017,0.6932,0.7233,39.8949,39.8949,39.8949,14.0000,14.0000,14.0000
17,247,2,0.15,300,0.01968626640460739,6,False,False,1.6366,1.7202,1.6436,0.6897,0.6795,0.7087,33.6824,33.6824,33.6824,12.0000,12.0000,12.0000
18,179,1,0.01,300,0.02375156961170491,6,False,False,1.7176,1.7920,1.7203,0.6837,0.6750,0.6966,29.6680,29.6680,29.6680,12.0000,12.0000,12.0000
19,137,5,0.3,300,0.028656376350145975,6,False,False,1.8940,1.9504,1.8739,0.6486,0.6318,0.6553,23.6617,23.6617,23.6617,13.0000,13.0000,13.0000
20,786,2,0.24,300,0.03457404790277603,7,False,False,2.0292,2.0664,1.9993,0.5822,0.6045,0.5971,19.3917,19.3917,19.3917,11.0000,11.0000,11.0000
21,410,1,0.49,300,0.04171374544281356,7,False,False,2.2346,2.2463,2.1907,0.5752,0.5955,0.5947,14.5193,14.5193,14.5193,12.0000,12.0000,12.0000
22,388,0,0.48,300,0.050327822873414196,7,False,False,2.3626,2.3630,2.3175,0.5412,0.5659,0.5461,11.7880,11.7880,11.7880,10.0000,10.0000,10.0000
23,38,2,0.4,300,0.06072074632210035,8,False,False,2.4622,2.4605,2.4206,0.5399,0.5523,0.5461,9.9593,9.9593,9.9593,10.0000,10.0000,10.0000
24,467,2,0.11,300,0.07325985555120318,8,False,False,2.5497,2.5502,2.5142,0.5399,0.5636,0.5461,8.5068,8.5068,8.5068,8.0000,8.0000,8.0000
25,176,4,0.05,300,0.08838834764831845,8,False,False,2.6908,2.6930,2.6580,0.4895,0.5136,0.5073,6.7644,6.7644,6.7644,8.0000,8.0000,8.0000
26,57,4,0.0,300,0.10664094190766783,8,False,False,2.8448,2.8488,2.8153,0.3514,0.4045,0.3883,5.1653,5.1653,5.1653,9.0000,9.0000,9.0000
