run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.5567,1.6962,1.4599,0.8655,0.6341,0.6772,100.9114,100.9114,100.9114,15.0000,15.0000,15.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.5457,1.6519,1.3979,0.8655,0.6455,0.6845,86.3823,86.3823,86.3823,15.0000,15.0000,15.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,0.5575,1.6864,1.5004,0.8655,0.6227,0.6578,84.9450,84.9450,84.9450,15.0000,15.0000,15.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,0.5611,1.6451,1.4337,0.8652,0.6568,0.6966,81.2235,81.2235,81.2235,15.0000,15.0000,15.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.4983,1.6548,1.4632,0.8662,0.6568,0.6675,71.0018,71.0018,71.0018,14.0000,14.0000,14.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.5554,1.6831,1.4351,0.8655,0.6182,0.6772,84.6392,84.6392,84.6392,15.0000,15.0000,15.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.5784,1.7083,1.4379,0.8639,0.6318,0.6845,69.0859,69.0859,69.0859,15.0000,15.0000,15.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,0.5296,1.7334,1.4986,0.8655,0.6432,0.6723,72.1399,72.1399,72.1399,14.0000,14.0000,14.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.5217,1.6631,1.4712,0.8662,0.6500,0.6699,56.7597,56.7597,56.7597,13.0000,13.0000,13.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.5383,1.6849,1.4671,0.8659,0.6205,0.6845,61.0687,61.0687,61.0687,11.0000,11.0000,11.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,0.5534,1.6501,1.4784,0.8655,0.6364,0.6748,58.6315,58.6315,58.6315,13.0000,13.0000,13.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,0.5664,1.7089,1.4513,0.8639,0.6432,0.6820,52.9001,52.9001,52.9001,11.0000,11.0000,11.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.5834,1.6906,1.4521,0.8639,0.6295,0.6893,48.0087,48.0087,48.0087,12.0000,12.0000,12.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.5941,1.6477,1.4602,0.8642,0.6455,0.6845,42.5557,42.5557,42.5557,9.0000,9.0000,9.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,0.6314,1.6600,1.4743,0.8635,0.6705,0.6845,39.2567,39.2567,39.2567,11.0000,11.0000,11.0000
15,326,3,0.09,115,0.013524008765720979,5,False,False,0.6468,1.6829,1.5145,0.8632,0.6591,0.6699,35.6231,35.6231,35.6231,7.0000,7.0000,7.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.6996,1.7310,1.5222,0.8592,0.6591,0.7015,33.2281,33.2281,33.2281,7.0000,7.0000,7.0000
17,247,2,0.15,240,0.01968626640460739,6,False,False,0.7273,1.7013,1.4892,0.8519,0.6545,0.6845,29.6454,29.6454,29.6454,10.0000,10.0000,10.0000
18,179,1,0.01,50,0.02375156961170491,6,False,False,0.8033,1.8035,1.5462,0.8475,0.6273,0.6966,27.7761,27.7761,27.7761,6.0000,6.0000,6.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,0.8778,1.7522,1.5554,0.8428,0.6773,0.7112,24.5179,24.5179,24.5179,9.0000,9.0000,9.0000
20,786,2,0.24,144,0.03457404790277603,7,False,False,1.0144,1.8294,1.6430,0.7995,0.6659,0.6893,20.5668,20.5668,20.5668,5.0000,5.0000,5.0000
21,410,1,0.49,188,0.04171374544281356,7,False,False,1.0720,1.8540,1.6128,0.8068,0.6341,0.7136,18.5264,18.5264,18.5264,5.0000,5.0000,5.0000
22,388,0,0.48,59,0.050327822873414196,7,False,False,1.1923,1.9665,1.7491,0.7584,0.5977,0.6529,15.7851,15.7851,15.7851,4.0000,4.0000,4.0000
23,38,2,0.4,176,0.06072074632210035,8,False,False,1.4111,2.1044,1.8918,0.7027,0.5818,0.6044,13.3125,13.3125,13.3125,4.0000,4.0000,4.0000
24,467,2,0.11,75,0.07325985555120318,8,False,False,1.4598,2.1843,1.9570,0.7027,0.5909,0.6189,11.6491,11.6491,11.6491,3.0000,3.0000,3.0000
25,176,4,0.05,210,0.08838834764831845,8,False,False,1.5669,2.2579,2.0660,0.7030,0.5909,0.5947,10.5182,10.5182,10.5182,6.0000,6.0000,6.0000
26,57,4,0.0,85,0.10664094190766783,8,False,False,1.7045,2.3104,2.1313,0.6550,0.5000,0.5413,8.8187,8.8187,8.8187,3.0000,3.0000,3.0000
27,968,3,0.22,102,0.12866277958043645,9,False,False,1.8462,2.3859,2.2461,0.6093,0.4795,0.5049,7.6528,7.6528,7.6528,3.0000,3.0000,3.0000
28,268,4,0.37,225,0.15523222650918542,9,False,False,2.0032,2.4854,2.3509,0.5822,0.4523,0.4806,6.5981,6.5981,6.5981,5.0000,5.0000,5.0000
29,270,0,0.04,187,0.18728838460958516,9,False,False,2.8345,3.0631,3.0366,0.2646,0.2705,0.2209,2.8355,2.8355,2.8355,4.0000,4.0000,4.0000
30,596,0,0.43,195,0.22596428459777515,10,False,False,2.9106,3.1237,3.1012,0.2646,0.2705,0.2209,2.4649,2.4649,2.4649,3.0000,3.0000,3.0000
31,694,3,0.18,230,0.2726269331663144,10,False,False,2.9976,3.1838,3.1733,0.2646,0.2705,0.2209,2.0973,2.0973,2.0973,6.0000,6.0000,6.0000
32,837,4,0.09,187,0.32892563008340914,10,False,False,3.1311,3.2797,3.2854,0.2636,0.2682,0.2209,1.6527,1.6527,1.6527,3.0000,3.0000,3.0000
33,487,0,0.14,112,0.39685026299204973,11,False,False,3.2894,3.4114,3.4093,0.2643,0.2727,0.2209,1.2270,1.2270,1.2270,1.0000,1.0000,1.0000
34,418,5,0.37,188,0.47880164034928685,11,False,False,3.8525,3.8507,3.8531,0.2149,0.2477,0.1845,0.1661,0.1661,0.1661,12.0000,12.0000,12.0000
35,407,5,0.35000000000000003,94,0.577676348436136,11,False,False,3.8809,3.8807,3.8819,0.1909,0.1455,0.1626,0.1727,0.1727,0.1727,15.0000,15.0000,15.0000
36,657,2,0.11,182,0.6969691317244994,12,False,False,3.8917,3.8905,3.8917,0.2149,0.2477,0.1845,0.0673,0.0673,0.0673,12.0000,12.0000,12.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,12,False,False,3.9063,3.9063,3.9063,0.2112,0.2432,0.2646,0.0279,0.0279,0.0279,11.0000,11.0000,11.0000
38,398,4,0.23,292,1.0145453349375229,12,False,False,3.9066,3.9065,3.9066,0.2846,0.3318,0.2646,0.0220,0.0220,0.0220,13.0000,13.0000,13.0000
39,369,4,0.29,98,1.2240535433046547,12,False,False,3.9055,3.9056,3.9055,0.0714,0.0659,0.0534,0.1115,0.1115,0.1115,14.0000,14.0000,14.0000
40,75,4,0.33,67,1.4768261459394993,13,False,False,3.8937,3.8919,3.8956,0.2052,0.2182,0.1529,0.5651,0.5651,0.5651,14.0000,14.0000,14.0000
41,179,0,0.02,177,1.7817974362806772,13,False,False,3.9066,3.9065,3.9066,0.2075,0.2432,0.1820,0.0343,0.0343,0.0343,13.0000,13.0000,13.0000
42,442,4,0.19,159,2.149746679841392,13,False,False,3.9068,3.9068,3.9068,0.2586,0.3205,0.2913,0.0094,0.0094,0.0094,0.0000,0.0000,0.0000
43,111,1,0.22,237,2.5936791093020193,14,False,False,3.9066,3.9067,3.9067,0.0571,0.0386,0.0510,0.0252,0.0252,0.0252,11.0000,11.0000,11.0000
44,242,1,0.45,123,3.1292855968155457,14,False,False,3.9068,3.9067,3.9068,0.0504,0.0705,0.0607,0.0106,0.0106,0.0106,2.0000,2.0000,2.0000
45,107,3,0.21,118,3.7754972507267723,14,False,False,3.9068,3.9068,3.9068,0.1845,0.1977,0.2184,0.0107,0.0107,0.0107,2.0000,2.0000,2.0000
46,150,2,0.2,70,4.555154539026766,15,False,False,3.9068,3.9067,3.9068,0.1818,0.1795,0.1432,0.0081,0.0081,0.0081,1.0000,1.0000,1.0000
47,38,1,0.2,128,5.495814589832352,15,False,False,3.9068,3.9068,3.9068,0.1688,0.1909,0.1359,0.0088,0.0088,0.0088,0.0000,0.0000,0.0000
48,248,1,0.49,92,6.6307252030723465,15,False,False,3.9069,3.9068,3.9068,0.0567,0.1000,0.1359,0.0094,0.0094,0.0094,3.0000,3.0000,3.0000
49,670,0,0.45,89,8.0,15,False,False,3.9062,3.9066,3.9063,0.0844,0.0591,0.0874,0.1234,0.1234,0.1234,15.0000,15.0000,15.0000
