run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3373,0.8232,0.7981,0.9396,0.8455,0.8180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,1.8341,1.8341,1.8341,0.5355,0.5355,0.5355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,1.7780,1.7780,1.7780,0.5626,0.5626,0.5626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.2358,0.8319,0.7818,0.9506,0.8591,0.8350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,0.0090,0.0090,0.0090,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.7891,1.2706,1.0628,0.8035,0.7795,0.7816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,False,1.3814,1.3814,1.3814,0.6687,0.6687,0.6687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,True,1.2987,1.2987,1.2987,0.5956,0.5956,0.5956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.4110,0.7782,0.7882,0.9029,0.8795,0.8277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,False,0.0945,0.0945,0.0945,0.9940,0.9940,0.9940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,True,0.0310,0.0310,0.0310,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.0555,1.0112,0.8905,0.9900,0.8682,0.8374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,False,0.0089,0.0089,0.0089,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.1862,0.8271,0.7047,0.9643,0.8841,0.8544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,False,0.0195,0.0195,0.0195,0.9953,0.9953,0.9953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,True,0.0011,0.0011,0.0011,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.1700,0.7894,0.6964,0.9653,0.8773,0.8471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,False,0.0610,0.0610,0.0610,0.9950,0.9950,0.9950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,True,0.0151,0.0151,0.0151,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.2714,0.7791,0.7164,0.9469,0.8682,0.8350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,False,0.8497,0.8497,0.8497,0.8986,0.8986,0.8986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,3,True,True,0.7167,0.7167,0.7167,0.9516,0.9516,0.9516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.6986,1.0464,1.0369,0.8458,0.8000,0.7961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,False,0.0088,0.0088,0.0088,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.6917,1.1214,1.0050,0.8502,0.8000,0.8034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,False,0.0088,0.0088,0.0088,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,True,0.0001,0.0001,0.0001,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.3975,0.9700,0.8449,0.9136,0.8477,0.8277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,False,0.7465,0.7465,0.7465,0.9089,0.9089,0.9089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,4,True,True,0.6579,0.6579,0.6579,0.9283,0.9283,0.9283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,0.3336,0.8427,0.7907,0.9276,0.8545,0.8374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,4,True,False,0.0089,0.0089,0.0089,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,4,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.3252,0.8159,0.7811,0.9389,0.8523,0.8204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,True,False,2.2453,2.2453,2.2453,0.4288,0.4288,0.4288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,True,True,2.1882,2.1882,2.1882,0.4454,0.4454,0.4454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,0.2501,0.8033,0.7657,0.9449,0.8659,0.8350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,4,True,False,0.0088,0.0088,0.0088,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,4,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,0.3763,0.8487,0.7593,0.9092,0.8636,0.8325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,True,False,0.0224,0.0224,0.0224,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,True,True,0.0044,0.0044,0.0044,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,0.3257,0.8948,0.9070,0.9266,0.8341,0.8228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,5,True,False,0.0089,0.0089,0.0089,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,5,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,5,False,False,0.2186,0.8744,0.8298,0.9606,0.8455,0.8277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,5,True,False,0.0090,0.0090,0.0090,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,5,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,0.3207,0.8266,0.7798,0.9259,0.8500,0.8350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,6,True,False,0.0089,0.0089,0.0089,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,6,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,0.3677,0.8231,0.8019,0.9226,0.8523,0.8252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,6,True,False,0.0092,0.0092,0.0092,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,6,True,True,0.0001,0.0001,0.0001,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,6,False,False,1.6593,1.9763,1.8280,0.5879,0.5705,0.5704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,6,True,False,1.4734,1.4734,1.4734,0.6143,0.6143,0.6143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,6,True,True,1.1653,1.1653,1.1653,0.7691,0.7691,0.7691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,0.1178,0.8630,0.7567,0.9803,0.8682,0.8592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,7,True,False,0.0087,0.0087,0.0087,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,7,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,0.2170,0.7717,0.7064,0.9576,0.8636,0.8277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,7,True,False,0.0863,0.0863,0.0863,0.9950,0.9950,0.9950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,7,True,True,0.0523,0.0523,0.0523,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,7,False,False,0.3553,0.8132,0.7779,0.9303,0.8545,0.8204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,7,True,False,2.3867,2.3867,2.3867,0.3937,0.3937,0.3937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,7,True,True,2.3300,2.3300,2.3300,0.4027,0.4027,0.4027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,0.5523,1.0700,0.8685,0.8815,0.8250,0.8180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,8,True,False,2.1208,2.1208,2.1208,0.5532,0.5532,0.5532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,8,True,True,2.1336,2.1336,2.1336,0.5309,0.5309,0.5309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,0.1713,0.8540,0.8382,0.9666,0.8614,0.8350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,8,True,False,0.0088,0.0088,0.0088,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,8,True,True,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,768,0.08838834764831845,8,False,False,0.6731,0.9759,0.9748,0.8478,0.7909,0.8228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,768,0.08838834764831845,8,True,False,0.0089,0.0089,0.0089,0.9957,0.9957,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
