run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.7591,1.0479,0.9927,0.8212,0.7909,0.7864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,2.6536,2.6536,2.6536,0.3240,0.3240,0.3240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,2.4445,2.4445,2.4445,0.3744,0.3744,0.3744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,False,False,0.6609,0.9072,0.9529,0.8308,0.7977,0.7791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,2.1785,2.1785,2.1785,0.3951,0.3951,0.3951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,2.0226,2.0226,2.0226,0.4328,0.4328,0.4328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,False,False,0.8813,1.2157,1.2028,0.7704,0.7250,0.7621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,False,2.5882,2.5882,2.5882,0.3270,0.3270,0.3270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,True,2.5078,2.5078,2.5078,0.3504,0.3504,0.3504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,False,False,0.6616,0.9405,0.9138,0.8295,0.7977,0.7961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,False,2.1978,2.1978,2.1978,0.3951,0.3951,0.3951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,True,2.0287,2.0287,2.0287,0.4324,0.4324,0.4324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,0.6225,0.9479,1.0088,0.8342,0.8045,0.7913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,False,2.1788,2.1788,2.1788,0.3944,0.3944,0.3944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,True,2.0227,2.0227,2.0227,0.4328,0.4328,0.4328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,False,False,0.6641,0.9932,0.9591,0.8322,0.7864,0.7888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,True,False,2.1833,2.1833,2.1833,0.3947,0.3947,0.3947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
