run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.6519,2.8668,2.6627,0.2262,0.2705,0.2937,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,2.4984,2.7100,2.8047,0.3934,0.4432,0.4029,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,2.5385,2.6122,2.6313,0.3931,0.4523,0.4005,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,2.5494,2.6457,2.6631,0.3951,0.4568,0.4078,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,2.0376,2.3877,2.2036,0.5175,0.4773,0.4612,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,2.0303,2.2120,2.1768,0.4845,0.4682,0.5049,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,2.3469,2.5078,2.4479,0.4288,0.4409,0.4806,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,84,0.0030121305183748843,3,False,False,1.9677,2.0977,2.0329,0.5095,0.4909,0.5728,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,1.2833,2.3437,2.2325,0.6813,0.5705,0.6068,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,1.6268,2.2844,2.3009,0.6069,0.5614,0.5655,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,144,0.005290060730222237,4,False,False,1.4961,1.9061,1.8764,0.6363,0.6023,0.6238,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
11,467,3,0.31,79,0.006382482239223045,4,False,False,1.7514,2.0440,1.9370,0.5866,0.5250,0.5461,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,1.5440,1.9093,1.8626,0.6270,0.5568,0.5995,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,1.5122,1.8809,1.9319,0.6420,0.5636,0.5850,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,5,False,False,1.5274,1.8988,1.8872,0.6453,0.5795,0.6117,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
