run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3938,0.5175,0.4788,0.9100,0.8811,0.8926,874.8925,874.8925,874.8925,13.0000,13.0000,13.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.5902,0.6517,0.6067,0.8778,0.8616,0.8758,291.5819,291.5819,291.5819,13.0000,13.0000,13.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.6678,0.7211,0.6723,0.8626,0.8487,0.8622,251.1233,251.1233,251.1233,13.0000,13.0000,13.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.6783,0.7315,0.6827,0.8625,0.8485,0.8629,239.4555,239.4555,239.4555,13.0000,13.0000,13.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.6521,0.7102,0.6634,0.8711,0.8561,0.8713,241.7876,241.7876,241.7876,13.0000,13.0000,13.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.7631,0.8123,0.7611,0.8508,0.8376,0.8537,201.3403,201.3403,201.3403,13.0000,13.0000,13.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.8037,0.8516,0.7998,0.8453,0.8319,0.8498,185.6674,185.6674,185.6674,13.0000,13.0000,13.0000
7,103,1,0.44,768,0.0030121305183748843,2,False,False,0.8436,0.8903,0.8386,0.8401,0.8270,0.8432,171.6086,171.6086,171.6086,13.0000,13.0000,13.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.8482,0.8966,0.8453,0.8438,0.8281,0.8440,166.1029,166.1029,166.1029,13.0000,13.0000,13.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.9207,0.9667,0.9146,0.8300,0.8159,0.8325,148.0311,148.0311,148.0311,13.0000,13.0000,13.0000
10,72,3,0.23,768,0.005290060730222237,3,False,False,1.0354,1.0775,1.0251,0.8059,0.7926,0.8097,125.3863,125.3863,125.3863,13.0000,13.0000,13.0000
11,467,3,0.31,768,0.006382482239223045,3,False,False,1.1605,1.1991,1.1475,0.7746,0.7645,0.7772,105.0042,105.0042,105.0042,13.0000,13.0000,13.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.2946,1.3303,1.2789,0.7429,0.7346,0.7488,86.8932,86.8932,86.8932,13.0000,13.0000,13.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,1.4147,1.4494,1.3960,0.7106,0.6996,0.7171,72.8910,72.8910,72.8910,13.0000,13.0000,13.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,4,False,False,1.5894,1.6220,1.5671,0.6716,0.6638,0.6790,56.6317,56.6317,56.6317,13.0000,13.0000,13.0000
15,326,3,0.09,768,0.013524008765720979,4,False,False,1.7309,1.7620,1.7053,0.6424,0.6358,0.6518,44.9462,44.9462,44.9462,13.0000,13.0000,13.0000
16,326,2,0.02,768,0.01631677785042834,5,False,False,1.8720,1.9025,1.8444,0.6182,0.6127,0.6261,35.3811,35.3811,35.3811,13.0000,13.0000,13.0000
17,247,2,0.15,768,0.01968626640460739,5,False,False,1.9940,2.0233,1.9658,0.6066,0.5997,0.6166,28.6516,28.6516,28.6516,13.0000,13.0000,13.0000
18,179,1,0.01,768,0.02375156961170491,5,False,False,2.1152,2.1432,2.0863,0.6026,0.5966,0.6128,23.1190,23.1190,23.1190,13.0000,13.0000,13.0000
19,137,5,0.3,768,0.028656376350145975,6,False,False,2.2488,2.2754,2.2204,0.5947,0.5873,0.6042,17.9427,17.9427,17.9427,13.0000,13.0000,13.0000
20,786,2,0.24,768,0.03457404790277603,6,False,False,2.3609,2.3860,2.3345,0.5743,0.5676,0.5836,14.4487,14.4487,14.4487,13.0000,13.0000,13.0000
21,410,1,0.49,768,0.04171374544281356,6,False,False,2.5163,2.5399,2.4936,0.4583,0.4507,0.4631,10.5214,10.5214,10.5214,13.0000,13.0000,13.0000
22,388,0,0.48,768,0.050327822873414196,6,False,False,2.6206,2.6435,2.5999,0.4464,0.4387,0.4509,8.2325,8.2325,8.2325,13.0000,13.0000,13.0000
23,38,2,0.4,768,0.06072074632210035,7,False,False,2.7011,2.7231,2.6810,0.4455,0.4379,0.4503,6.7827,6.7827,6.7827,13.0000,13.0000,13.0000
24,467,2,0.11,768,0.07325985555120318,7,False,False,2.8006,2.8217,2.7816,0.4432,0.4355,0.4492,5.2898,5.2898,5.2898,13.0000,13.0000,13.0000
25,176,4,0.05,768,0.08838834764831845,7,False,False,2.9505,2.9714,2.9331,0.3709,0.3622,0.3767,3.3958,3.3958,3.3958,13.0000,13.0000,13.0000
26,57,4,0.0,768,0.10664094190766783,7,False,False,3.0615,3.0811,3.0457,0.2703,0.2600,0.2734,2.2021,2.2021,2.2021,12.0000,12.0000,12.0000
27,968,3,0.22,768,0.12866277958043645,8,False,False,3.0814,3.0999,3.0662,0.2703,0.2600,0.2734,2.0322,2.0322,2.0322,12.0000,12.0000,12.0000
28,268,4,0.37,768,0.15523222650918542,8,False,False,3.1064,3.1236,3.0920,0.2703,0.2600,0.2734,1.8578,1.8578,1.8578,13.0000,13.0000,13.0000
29,270,0,0.04,768,0.18728838460958516,8,False,False,3.1389,3.1547,3.1256,0.2703,0.2600,0.2734,1.6671,1.6671,1.6671,13.0000,13.0000,13.0000
30,596,0,0.43,768,0.22596428459777515,8,False,False,3.1832,3.1973,3.1713,0.2703,0.2600,0.2734,1.4501,1.4501,1.4501,12.0000,12.0000,12.0000
31,694,3,0.18,768,0.2726269331663144,9,False,False,3.2441,3.2561,3.2339,0.2703,0.2600,0.2734,1.2083,1.2083,1.2083,13.0000,13.0000,13.0000
32,837,4,0.09,768,0.32892563008340914,9,False,False,3.3319,3.3411,3.3240,0.2703,0.2600,0.2734,0.9153,0.9153,0.9153,13.0000,13.0000,13.0000
33,487,0,0.14,768,0.39685026299204973,9,False,False,3.4635,3.4691,3.4587,0.2703,0.2600,0.2734,0.5502,0.5502,0.5502,11.0000,11.0000,11.0000
34,418,5,0.37,768,0.47880164034928685,10,False,False,3.6584,3.6594,3.6576,0.2703,0.2600,0.2734,0.1069,0.1069,0.1069,13.0000,13.0000,13.0000
35,407,5,0.35000000000000003,768,0.577676348436136,10,False,False,3.6818,3.6822,3.6814,0.2703,0.2600,0.2734,0.0582,0.0582,0.0582,13.0000,13.0000,13.0000
36,657,2,0.11,768,0.6969691317244994,10,False,False,3.6997,3.6997,3.6997,0.2704,0.2601,0.2734,0.0191,0.0191,0.0191,12.0000,12.0000,12.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,10,False,False,3.6997,3.6997,3.6997,0.2703,0.2600,0.2734,0.0206,0.0206,0.0206,13.0000,13.0000,13.0000
38,398,4,0.23,768,1.0145453349375229,11,False,False,3.6999,3.6999,3.6999,0.2703,0.2600,0.2734,0.0207,0.0207,0.0207,13.0000,13.0000,13.0000
39,369,4,0.29,768,1.2240535433046547,11,False,False,3.7001,3.7001,3.7001,0.2705,0.2604,0.2735,0.0160,0.0160,0.0160,11.0000,11.0000,11.0000
40,75,4,0.33,768,1.4768261459394993,11,False,False,3.7002,3.7002,3.7002,0.2563,0.2456,0.2577,0.0191,0.0191,0.0191,13.0000,13.0000,13.0000
41,179,0,0.02,768,1.7817974362806772,11,False,False,3.7002,3.7002,3.7002,0.2703,0.2599,0.2733,0.0184,0.0184,0.0184,13.0000,13.0000,13.0000
42,442,4,0.19,768,2.149746679841392,12,False,False,3.7003,3.7003,3.7003,0.1973,0.2008,0.2044,0.0202,0.0202,0.0202,13.0000,13.0000,13.0000
43,111,1,0.22,768,2.5936791093020193,12,False,False,3.7002,3.7002,3.7002,0.2497,0.2437,0.2573,0.0200,0.0200,0.0200,12.0000,12.0000,12.0000
44,242,1,0.45,768,3.1292855968155457,12,False,False,3.7003,3.7003,3.7003,0.2769,0.2691,0.2757,0.0195,0.0195,0.0195,13.0000,13.0000,13.0000
45,107,3,0.21,768,3.7754972507267723,12,False,False,3.7003,3.7003,3.7003,0.2700,0.2602,0.2733,0.0129,0.0129,0.0129,5.0000,5.0000,5.0000
46,150,2,0.2,768,4.555154539026766,13,False,False,3.7003,3.7003,3.7003,0.2695,0.2600,0.2731,0.0141,0.0141,0.0141,8.0000,8.0000,8.0000
47,38,1,0.2,768,5.495814589832352,13,False,False,3.7004,3.7004,3.7004,0.2683,0.2587,0.2713,0.0197,0.0197,0.0197,13.0000,13.0000,13.0000
48,248,1,0.49,768,6.6307252030723465,13,False,False,3.7004,3.7004,3.7004,0.2044,0.2057,0.2060,0.0202,0.0202,0.0202,13.0000,13.0000,13.0000
49,670,0,0.45,768,8.0,13,False,False,3.7003,3.7003,3.7003,0.2269,0.2197,0.2360,0.0196,0.0196,0.0196,13.0000,13.0000,13.0000
