run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.1051,0.9787,0.9480,0.9781,0.7831,0.7951,139.4926,139.4926,139.4926,13.0000,13.0000,13.0000
1,433,2,0.27,103,0.0009765625,1,False,False,0.1211,0.9931,0.9606,0.9772,0.7851,0.7935,108.3362,108.3362,108.3362,13.0000,13.0000,13.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,0.1199,0.9363,0.9243,0.9767,0.7980,0.7950,108.7346,108.7346,108.7346,13.0000,13.0000,13.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,0.1205,0.9534,0.9308,0.9767,0.7965,0.8003,103.8664,103.8664,103.8664,13.0000,13.0000,13.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.0918,0.9055,0.8848,0.9781,0.7959,0.8035,68.5095,68.5095,68.5095,12.0000,12.0000,12.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.0984,0.8708,0.8476,0.9781,0.8036,0.8095,77.6448,77.6448,77.6448,13.0000,13.0000,13.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.1415,0.9930,0.9539,0.9759,0.7901,0.7997,88.7612,88.7612,88.7612,13.0000,13.0000,13.0000
7,103,1,0.44,84,0.0030121305183748843,2,False,False,0.1095,0.9132,0.9025,0.9777,0.7963,0.8020,72.1748,72.1748,72.1748,12.0000,12.0000,12.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.1157,0.8718,0.8545,0.9781,0.8124,0.8181,57.6676,57.6676,57.6676,12.0000,12.0000,12.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.1311,0.9181,0.9069,0.9768,0.8053,0.8050,60.2032,60.2032,60.2032,10.0000,10.0000,10.0000
10,72,3,0.23,144,0.005290060730222237,3,False,False,0.1369,0.8915,0.8788,0.9776,0.8137,0.8157,55.3919,55.3919,55.3919,9.0000,9.0000,9.0000
11,467,3,0.31,79,0.006382482239223045,3,False,False,0.1624,0.9822,0.9547,0.9768,0.7936,0.7963,58.3467,58.3467,58.3467,10.0000,10.0000,10.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.1685,0.9097,0.8814,0.9768,0.8074,0.8172,51.3443,51.3443,51.3443,11.0000,11.0000,11.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.1942,0.9652,0.9343,0.9768,0.8000,0.8090,48.5013,48.5013,48.5013,9.0000,9.0000,9.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,0.2184,0.9352,0.9163,0.9765,0.8072,0.8161,46.5470,46.5470,46.5470,8.0000,8.0000,8.0000
15,326,3,0.09,115,0.013524008765720979,4,False,False,0.2619,1.0307,1.0084,0.9760,0.7949,0.8016,42.2928,42.2928,42.2928,6.0000,6.0000,6.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.2869,1.0618,1.0311,0.9762,0.7974,0.8049,38.2068,38.2068,38.2068,6.0000,6.0000,6.0000
17,247,2,0.15,240,0.01968626640460739,5,False,False,0.3621,1.1036,1.0738,0.9744,0.7992,0.8025,32.9924,32.9924,32.9924,8.0000,8.0000,8.0000
18,179,1,0.01,50,0.02375156961170491,5,False,False,0.3836,1.1869,1.1556,0.9751,0.7873,0.7908,29.9568,29.9568,29.9568,5.0000,5.0000,5.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,0.5257,1.3278,1.2846,0.9407,0.7553,0.7664,24.7078,24.7078,24.7078,7.0000,7.0000,7.0000
20,786,2,0.24,144,0.03457404790277603,6,False,False,0.6673,1.4205,1.3791,0.9227,0.7546,0.7584,21.8657,21.8657,21.8657,4.0000,4.0000,4.0000
21,410,1,0.49,188,0.04171374544281356,6,False,False,1.0641,1.5994,1.5526,0.8223,0.6797,0.6918,16.8661,16.8661,16.8661,4.0000,4.0000,4.0000
22,388,0,0.48,59,0.050327822873414196,6,False,False,1.1841,1.7353,1.6897,0.7941,0.6452,0.6567,13.7727,13.7727,13.7727,3.0000,3.0000,3.0000
23,38,2,0.4,176,0.06072074632210035,7,False,False,1.2344,1.7773,1.7202,0.7796,0.6335,0.6466,12.7840,12.7840,12.7840,5.0000,5.0000,5.0000
24,467,2,0.11,75,0.07325985555120318,7,False,False,1.3159,1.8655,1.8136,0.7936,0.6458,0.6622,11.0174,11.0174,11.0174,3.0000,3.0000,3.0000
25,176,4,0.05,210,0.08838834764831845,7,False,False,1.4003,1.9266,1.8733,0.7676,0.6204,0.6347,10.0228,10.0228,10.0228,5.0000,5.0000,5.0000
26,57,4,0.0,85,0.10664094190766783,7,False,False,1.4828,2.0199,1.9644,0.6775,0.5540,0.5731,8.6754,8.6754,8.6754,3.0000,3.0000,3.0000
27,968,3,0.22,102,0.12866277958043645,8,False,False,1.5346,2.0312,1.9789,0.6841,0.5795,0.5924,7.8441,7.8441,7.8441,3.0000,3.0000,3.0000
28,268,4,0.37,225,0.15523222650918542,8,False,False,2.4384,2.6908,2.6580,0.3665,0.3291,0.3406,3.3819,3.3819,3.3819,4.0000,4.0000,4.0000
29,270,0,0.04,187,0.18728838460958516,8,False,False,2.4870,2.7383,2.7043,0.3665,0.3292,0.3406,2.9941,2.9941,2.9941,2.0000,2.0000,2.0000
30,596,0,0.43,195,0.22596428459777515,8,False,False,2.5485,2.7938,2.7606,0.3665,0.3292,0.3406,2.6282,2.6282,2.6282,3.0000,3.0000,3.0000
31,694,3,0.18,230,0.2726269331663144,9,False,False,2.6141,2.8586,2.8258,0.3665,0.3292,0.3406,2.2838,2.2838,2.2838,2.0000,2.0000,2.0000
32,837,4,0.09,187,0.32892563008340914,9,False,False,2.7182,2.9398,2.9087,0.3665,0.3292,0.3406,1.9334,1.9334,1.9334,3.0000,3.0000,3.0000
33,487,0,0.14,112,0.39685026299204973,9,False,False,2.8524,3.0453,3.0170,0.3664,0.3291,0.3405,1.5597,1.5597,1.5597,1.0000,1.0000,1.0000
34,418,5,0.37,188,0.47880164034928685,10,False,False,3.6464,3.6477,3.6454,0.2703,0.2600,0.2734,0.1561,0.1561,0.1561,10.0000,10.0000,10.0000
35,407,5,0.35000000000000003,94,0.577676348436136,10,False,False,3.6661,3.6664,3.6654,0.2120,0.2166,0.2192,0.1845,0.1845,0.1845,13.0000,13.0000,13.0000
36,657,2,0.11,182,0.6969691317244994,10,False,False,3.6855,3.6858,3.6852,0.2703,0.2600,0.2734,0.0637,0.0637,0.0637,11.0000,11.0000,11.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,10,False,False,3.6900,3.6903,3.6898,0.2703,0.2600,0.2734,0.0480,0.0480,0.0480,10.0000,10.0000,10.0000
38,398,4,0.23,292,1.0145453349375229,11,False,False,3.6995,3.6995,3.6995,0.2703,0.2600,0.2734,0.0194,0.0194,0.0194,9.0000,9.0000,9.0000
39,369,4,0.29,98,1.2240535433046547,11,False,False,3.6983,3.6984,3.6982,0.2698,0.2592,0.2729,0.1028,0.1028,0.1028,13.0000,13.0000,13.0000
40,75,4,0.33,67,1.4768261459394993,11,False,False,3.6844,3.6847,3.6844,0.1225,0.1230,0.1241,0.4350,0.4350,0.4350,12.0000,12.0000,12.0000
41,179,0,0.02,177,1.7817974362806772,11,False,False,3.7002,3.7002,3.7002,0.2920,0.2847,0.2907,0.0295,0.0295,0.0295,11.0000,11.0000,11.0000
42,442,4,0.19,159,2.149746679841392,12,False,False,3.6999,3.6999,3.6999,0.2617,0.2519,0.2648,0.0335,0.0335,0.0335,13.0000,13.0000,13.0000
43,111,1,0.22,237,2.5936791093020193,12,False,False,3.7002,3.7002,3.7002,0.3126,0.3059,0.3140,0.0103,0.0103,0.0103,2.0000,2.0000,2.0000
44,242,1,0.45,123,3.1292855968155457,12,False,False,3.7003,3.7003,3.7003,0.3846,0.3738,0.3873,0.0088,0.0088,0.0088,1.0000,1.0000,1.0000
45,107,3,0.21,118,3.7754972507267723,12,False,False,3.7004,3.7004,3.7003,0.0693,0.0667,0.0727,0.0562,0.0562,0.0562,11.0000,11.0000,11.0000
46,150,2,0.2,70,4.555154539026766,13,False,False,3.6952,3.6953,3.6954,0.1648,0.1615,0.1600,0.3473,0.3473,0.3473,13.0000,13.0000,13.0000
47,38,1,0.2,128,5.495814589832352,13,False,False,3.7000,3.7000,3.7000,0.1594,0.1585,0.1603,0.0458,0.0458,0.0458,11.0000,11.0000,11.0000
48,248,1,0.49,92,6.6307252030723465,13,False,False,3.6997,3.6997,3.6997,0.0926,0.0910,0.0902,0.0902,0.0902,0.0902,13.0000,13.0000,13.0000
49,670,0,0.45,89,8.0,13,False,False,3.6999,3.6999,3.6999,0.1005,0.0978,0.0957,0.1005,0.1005,0.1005,13.0000,13.0000,13.0000
