run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.5424,1.6289,1.5920,0.6084,0.5871,0.5969,319.8700,319.8700,319.8700,13.0000,13.0000,13.0000
1,433,2,0.27,103,0.0009765625,1,False,False,1.9010,1.9619,1.8872,0.5363,0.5229,0.5441,102.3338,102.3338,102.3338,13.0000,13.0000,13.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,1.9190,1.9680,1.9102,0.5233,0.5104,0.5261,83.3396,83.3396,83.3396,13.0000,13.0000,13.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,1.9582,2.0172,1.9430,0.5176,0.5075,0.5244,79.4643,79.4643,79.4643,13.0000,13.0000,13.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,1.7504,1.8066,1.7407,0.5760,0.5619,0.5755,124.6226,124.6226,124.6226,13.0000,13.0000,13.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,1.8808,1.9462,1.8746,0.5281,0.5149,0.5326,86.9983,86.9983,86.9983,13.0000,13.0000,13.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,2.1626,2.2212,2.1482,0.4793,0.4668,0.4824,46.5065,46.5065,46.5065,13.0000,13.0000,13.0000
7,103,1,0.44,84,0.0030121305183748843,2,False,False,2.0951,2.1576,2.0871,0.4932,0.4777,0.4952,53.9843,53.9843,53.9843,13.0000,13.0000,13.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,1.7724,1.8201,1.7705,0.5743,0.5607,0.5785,97.2026,97.2026,97.2026,13.0000,13.0000,13.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,1.9629,2.0150,1.9508,0.5268,0.5134,0.5298,70.2078,70.2078,70.2078,13.0000,13.0000,13.0000
10,72,3,0.23,144,0.005290060730222237,3,False,False,2.0075,2.0541,1.9933,0.5188,0.5087,0.5276,55.3121,55.3121,55.3121,13.0000,13.0000,13.0000
11,467,3,0.31,79,0.006382482239223045,3,False,False,2.1822,2.2292,2.1570,0.4851,0.4742,0.4912,36.4413,36.4413,36.4413,12.0000,12.0000,12.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,2.1297,2.1698,2.1116,0.4876,0.4752,0.4941,36.9636,36.9636,36.9636,12.0000,12.0000,12.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,2.1491,2.1882,2.1307,0.4955,0.4839,0.4999,34.7405,34.7405,34.7405,12.0000,12.0000,12.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,2.2462,2.2871,2.2222,0.4806,0.4681,0.4880,25.4406,25.4406,25.4406,12.0000,12.0000,12.0000
15,326,3,0.09,115,0.013524008765720979,4,False,False,2.2841,2.3202,2.2657,0.4782,0.4653,0.4837,23.3843,23.3843,23.3843,11.0000,11.0000,11.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,2.3396,2.3750,2.3139,0.4659,0.4532,0.4734,18.7200,18.7200,18.7200,10.0000,10.0000,10.0000
17,247,2,0.15,240,0.01968626640460739,5,False,False,2.4254,2.4635,2.4034,0.4507,0.4380,0.4558,14.5027,14.5027,14.5027,11.0000,11.0000,11.0000
18,179,1,0.01,50,0.02375156961170491,5,False,False,2.4828,2.5177,2.4593,0.4192,0.4066,0.4257,12.2110,12.2110,12.2110,6.0000,6.0000,6.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,2.5401,2.5748,2.5180,0.4216,0.4090,0.4264,9.6129,9.6129,9.6129,9.0000,9.0000,9.0000
20,786,2,0.24,144,0.03457404790277603,6,False,False,2.5677,2.6016,2.5448,0.4238,0.4120,0.4283,8.7248,8.7248,8.7248,5.0000,5.0000,5.0000
21,410,1,0.49,188,0.04171374544281356,6,False,False,2.5953,2.6272,2.5742,0.4215,0.4090,0.4262,7.9770,7.9770,7.9770,6.0000,6.0000,6.0000
