run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3852,0.5147,0.4777,0.9120,0.8803,0.8923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,False,2.8973,2.8973,2.8973,0.2808,0.2808,0.2808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,768,0.0,1,True,True,2.8995,2.8995,2.8995,0.2804,0.2804,0.2804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.0465,0.3701,0.3451,0.9928,0.9226,0.9279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,False,0.5999,0.5999,0.5999,0.9571,0.9571,0.9571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,768,0.0009765625,1,True,True,0.5634,0.5634,0.5634,0.9645,0.9645,0.9645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.3664,0.5778,0.5795,0.9365,0.8949,0.8987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,False,2.7600,2.7600,2.7600,0.2741,0.2741,0.2741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,768,0.0011782270808598852,1,True,True,2.7386,2.7386,2.7386,0.2790,0.2790,0.2790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.0946,0.3536,0.3237,0.9868,0.9200,0.9276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,False,2.1734,2.1734,2.1734,0.5053,0.5053,0.5053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,768,0.001421536311369323,1,True,True,2.1689,2.1689,2.1689,0.5042,0.5042,0.5042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.0681,0.4069,0.3794,0.9902,0.9131,0.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,False,0.0041,0.0041,0.0041,0.9983,0.9983,0.9983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,768,0.0017150900003645502,2,True,True,0.0009,0.0009,0.0009,0.9997,0.9997,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.0571,0.3291,0.3106,0.9911,0.9271,0.9322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,False,1.8476,1.8476,1.8476,0.6912,0.6912,0.6912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,768,0.0020692638561704995,2,True,True,1.7905,1.7905,1.7905,0.7202,0.7202,0.7202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.0798,0.3279,0.3043,0.9875,0.9271,0.9321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,False,2.0239,2.0239,2.0239,0.5629,0.5629,0.5629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,768,0.0024965762178914648,2,True,True,2.0472,2.0472,2.0472,0.5691,0.5691,0.5691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,2,False,False,0.2464,0.4234,0.3895,0.9474,0.8995,0.9107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,2,True,False,2.7053,2.7053,2.7053,0.3435,0.3435,0.3435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,768,0.0030121305183748843,2,True,True,2.6790,2.6790,2.6790,0.3459,0.3459,0.3459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.1811,0.4829,0.4444,0.9633,0.8969,0.9074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,False,0.1467,0.1467,0.1467,0.9911,0.9911,0.9911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,768,0.003634149117781824,3,True,True,0.2435,0.2435,0.2435,0.9850,0.9850,0.9850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.2645,0.4971,0.4673,0.9432,0.8908,0.8990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,False,0.1629,0.1629,0.1629,0.9885,0.9885,0.9885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,768,0.004384617376208487,3,True,True,0.2016,0.2016,0.2016,0.9885,0.9885,0.9885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,3,False,False,0.1712,0.4579,0.4175,0.9646,0.9026,0.9135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,3,True,False,2.5726,2.5726,2.5726,0.3702,0.3702,0.3702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,768,0.005290060730222237,3,True,True,2.6475,2.6475,2.6475,0.3232,0.3232,0.3232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,3,False,False,0.0950,0.3781,0.3570,0.9823,0.9208,0.9230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,3,True,False,0.8546,0.8546,0.8546,0.9185,0.9185,0.9185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,768,0.006382482239223045,3,True,True,0.8114,0.8114,0.8114,0.9305,0.9305,0.9305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.4509,0.5458,0.5037,0.8959,0.8711,0.8867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,True,False,2.9375,2.9375,2.9375,0.2748,0.2748,0.2748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,768,0.007700493739376462,4,True,True,2.9389,2.9389,2.9389,0.2747,0.2747,0.2747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,0.0870,0.3708,0.3530,0.9845,0.9170,0.9247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,4,True,False,0.5119,0.5119,0.5119,0.9670,0.9670,0.9670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,768,0.009290680585958758,4,True,True,0.4917,0.4917,0.4917,0.9750,0.9750,0.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,4,False,False,0.0625,0.3423,0.3178,0.9917,0.9231,0.9289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,4,True,False,1.7972,1.7972,1.7972,0.6521,0.6521,0.6521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,4,True,True,1.7922,1.7922,1.7922,0.6653,0.6653,0.6653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,4,False,False,0.1353,0.4202,0.3907,0.9734,0.9086,0.9163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,4,True,False,0.0412,0.0412,0.0412,0.9977,0.9977,0.9977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,768,0.013524008765720979,4,True,True,0.0348,0.0348,0.0348,0.9995,0.9995,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,5,False,False,0.1642,0.4613,0.4189,0.9670,0.8979,0.9099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,5,True,False,0.0095,0.0095,0.0095,0.9981,0.9981,0.9981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,768,0.01631677785042834,5,True,True,0.0043,0.0043,0.0043,0.9995,0.9995,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,5,False,False,0.0746,0.4005,0.3741,0.9869,0.9144,0.9194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,5,True,False,0.5758,0.5758,0.5758,0.9458,0.9458,0.9458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,247,2,0.15,768,0.01968626640460739,5,True,True,0.6093,0.6093,0.6093,0.9434,0.9434,0.9434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,5,False,False,0.1996,0.4679,0.4266,0.9590,0.8934,0.9044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,5,True,False,0.0205,0.0205,0.0205,0.9982,0.9982,0.9982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,179,1,0.01,768,0.02375156961170491,5,True,True,0.0493,0.0493,0.0493,0.9993,0.9993,0.9993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,6,False,False,0.3326,0.6984,0.8543,0.9517,0.8862,0.8921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,6,True,False,2.6563,2.6563,2.6563,0.3297,0.3297,0.3297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,137,5,0.3,768,0.028656376350145975,6,True,True,2.6340,2.6340,2.6340,0.3317,0.3317,0.3317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,6,False,False,0.0870,0.3650,0.3444,0.9875,0.9182,0.9244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,6,True,False,0.0379,0.0379,0.0379,0.9973,0.9973,0.9973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,786,2,0.24,768,0.03457404790277603,6,True,True,0.0221,0.0221,0.0221,0.9995,0.9995,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,6,False,False,0.0793,0.3468,0.3193,0.9917,0.9226,0.9298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,6,True,False,2.1712,2.1712,2.1712,0.5105,0.5105,0.5105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,410,1,0.49,768,0.04171374544281356,6,True,True,2.1417,2.1417,2.1417,0.5237,0.5237,0.5237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,6,False,False,0.4972,0.5757,0.5301,0.8857,0.8645,0.8801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,6,True,False,2.9516,2.9516,2.9516,0.2736,0.2736,0.2736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,388,0,0.48,768,0.050327822873414196,6,True,True,2.9527,2.9527,2.9527,0.2727,0.2727,0.2727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,7,False,False,0.4971,0.6011,0.5566,0.8939,0.8692,0.8818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,7,True,False,2.9069,2.9069,2.9069,0.2738,0.2738,0.2738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,38,2,0.4,768,0.06072074632210035,7,True,True,2.9183,2.9183,2.9183,0.2739,0.2739,0.2739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,7,False,False,0.1127,0.4011,0.3718,0.9802,0.9132,0.9192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,7,True,False,0.0124,0.0124,0.0124,0.9982,0.9982,0.9982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,467,2,0.11,768,0.07325985555120318,7,True,True,0.0068,0.0068,0.0068,0.9996,0.9996,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,176,4,0.05,768,0.08838834764831845,7,False,False,0.2040,0.4751,0.4488,0.9577,0.9000,0.9048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
