run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,0.3888,0.4552,0.4318,0.9174,0.9054,0.9132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,False,2.9616,2.9616,2.9616,0.2751,0.2751,0.2751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,300,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,300,0.0009765625,1,False,False,0.1044,0.2390,0.2287,0.9747,0.9513,0.9534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,False,1.9103,1.9103,1.9103,0.5193,0.5193,0.5193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,300,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,300,0.0011782270808598852,1,False,False,0.3346,0.4604,0.4448,0.9388,0.9215,0.9252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,False,2.8925,2.8925,2.8925,0.2710,0.2710,0.2710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,300,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,300,0.001421536311369323,1,False,False,0.1484,0.2581,0.2452,0.9672,0.9476,0.9497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,False,2.7244,2.7244,2.7244,0.3240,0.3240,0.3240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,300,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,0.1184,0.2611,0.2480,0.9724,0.9485,0.9502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,False,1.6827,1.6827,1.6827,0.5306,0.5306,0.5306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,300,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,300,0.0020692638561704995,2,False,False,0.0997,0.2310,0.2153,0.9735,0.9529,0.9541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,True,False,2.4090,2.4090,2.4090,0.4295,0.4295,0.4295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,300,0.0020692638561704995,2,True,True,,,,,,,,,,,,
