run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,0.4067,1.5489,1.4998,0.9330,0.7522,0.7593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,1.6857,1.6857,1.6857,0.5308,0.5308,0.5308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,0.3459,0.9322,0.9177,0.9322,0.7830,0.7868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,1.6839,1.6839,1.6839,0.5303,0.5303,0.5303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,1,False,False,1.0396,1.7623,1.7479,0.7923,0.6229,0.6316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,False,2.2363,2.2363,2.2363,0.4516,0.4516,0.4516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,1,False,False,0.3270,0.9524,0.9662,0.9429,0.7833,0.7809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,False,1.6895,1.6895,1.6895,0.5293,0.5293,0.5293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.3680,0.9322,0.9070,0.9218,0.7883,0.7927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,False,1.6814,1.6814,1.6814,0.5308,0.5308,0.5308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.3035,0.9092,0.9035,0.9499,0.7788,0.7849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,False,1.7056,1.7056,1.7056,0.5225,0.5225,0.5225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,2,False,False,0.3114,0.9957,0.9841,0.9523,0.7682,0.7738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,False,1.7074,1.7074,1.7074,0.5260,0.5260,0.5260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,2,False,False,0.3000,0.9636,0.9543,0.9459,0.7816,0.7810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,False,1.6964,1.6964,1.6964,0.5280,0.5280,0.5280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.5831,1.0913,1.0836,0.8760,0.7591,0.7581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,False,1.6914,1.6914,1.6914,0.5292,0.5292,0.5292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.5441,1.2461,1.2223,0.8841,0.7595,0.7590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,False,1.6910,1.6910,1.6910,0.5295,0.5295,0.5295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,True,,,,,,,,,,,,
10,72,3,0.23,144,0.005290060730222237,3,False,False,0.5329,1.1274,1.1148,0.8769,0.7457,0.7512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,False,1.8247,1.8247,1.8247,0.5116,0.5116,0.5116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,True,,,,,,,,,,,,
11,467,3,0.31,79,0.006382482239223045,3,False,False,0.3788,0.9264,0.9280,0.9270,0.7789,0.7790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,3,True,False,1.6952,1.6952,1.6952,0.5269,0.5269,0.5269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,3,True,True,,,,,,,,,,,,
12,377,0,0.37,159,0.007700493739376462,4,False,False,0.2614,1.3680,1.3424,0.9577,0.7705,0.7752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,False,1.6875,1.6875,1.6875,0.5308,0.5308,0.5308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,True,,,,,,,,,,,,
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.3213,0.9375,0.9078,0.9365,0.7845,0.7901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,False,1.6859,1.6859,1.6859,0.5302,0.5302,0.5302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,0.2523,0.9119,0.8937,0.9559,0.7871,0.7977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,False,1.6908,1.6908,1.6908,0.5280,0.5280,0.5280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,True,,,,,,,,,,,,
15,326,3,0.09,115,0.013524008765720979,4,False,False,0.2964,1.0168,0.9725,0.9376,0.7843,0.7880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,4,True,False,1.6838,1.6838,1.6838,0.5305,0.5305,0.5305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,4,True,True,,,,,,,,,,,,
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.6086,1.0578,1.0460,0.8716,0.7534,0.7531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,5,True,False,1.6806,1.6806,1.6806,0.5308,0.5308,0.5308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,326,2,0.02,124,0.01631677785042834,5,True,True,,,,,,,,,,,,
17,247,2,0.15,240,0.01968626640460739,5,False,False,0.3505,0.9544,0.9700,0.9280,0.7884,0.7818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
