run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,1.5425,1.6318,1.5857,0.6087,0.5909,0.6027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,False,2.9748,2.9748,2.9748,0.2736,0.2736,0.2736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,776,0,0.15,212,0.0,1,True,True,,,,,,,,,,,,
1,433,2,0.27,103,0.0009765625,1,False,False,0.3079,0.8158,0.7960,0.9520,0.8117,0.8125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,False,2.2623,2.2623,2.2623,0.4755,0.4755,0.4755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,433,2,0.27,103,0.0009765625,1,True,True,,,,,,,,,,,,
2,310,5,0.5,113,0.0011782270808598852,1,False,False,1.4754,1.5265,1.5046,0.6125,0.6021,0.6091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,False,2.9944,2.9944,2.9944,0.2708,0.2708,0.2708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,310,5,0.5,113,0.0011782270808598852,1,True,True,,,,,,,,,,,,
3,300,1,0.44,99,0.001421536311369323,1,False,False,1.0805,1.1784,1.1863,0.7273,0.7028,0.7034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,False,2.8661,2.8661,2.8661,0.2778,0.2778,0.2778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,1,0.44,99,0.001421536311369323,1,True,True,,,,,,,,,,,,
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,0.3431,0.9033,0.9027,0.9248,0.7854,0.7950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,False,1.6898,1.6898,1.6898,0.5302,0.5302,0.5302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1009,2,0.1,148,0.0017150900003645502,2,True,True,,,,,,,,,,,,
5,657,3,0.5,165,0.0020692638561704995,2,False,False,0.6786,0.8917,0.8951,0.8304,0.7692,0.7712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,False,2.6543,2.6543,2.6543,0.3385,0.3385,0.3385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,657,3,0.5,165,0.0020692638561704995,2,True,True,,,,,,,,,,,,
6,455,2,0.49,60,0.0024965762178914648,2,False,False,1.1298,1.2092,1.1994,0.6905,0.6721,0.6797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,False,2.9262,2.9262,2.9262,0.2732,0.2732,0.2732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,455,2,0.49,60,0.0024965762178914648,2,True,True,,,,,,,,,,,,
7,103,1,0.44,84,0.0030121305183748843,2,False,False,1.4452,1.5031,1.4725,0.6218,0.6069,0.6206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,False,2.9601,2.9601,2.9601,0.2713,0.2713,0.2713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,103,1,0.44,84,0.0030121305183748843,2,True,True,,,,,,,,,,,,
8,203,4,0.05,238,0.003634149117781824,3,False,False,0.4761,0.9931,1.0077,0.8981,0.7813,0.7740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,False,1.7894,1.7894,1.7894,0.5246,0.5246,0.5246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,203,4,0.05,238,0.003634149117781824,3,True,True,,,,,,,,,,,,
9,150,4,0.02,122,0.004384617376208487,3,False,False,0.6223,1.0846,1.0713,0.8635,0.7598,0.7608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,False,1.9454,1.9454,1.9454,0.5134,0.5134,0.5134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,150,4,0.02,122,0.004384617376208487,3,True,True,,,,,,,,,,,,
10,72,3,0.23,144,0.005290060730222237,3,False,False,1.0811,1.1732,1.1739,0.7134,0.6920,0.6948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,False,2.8815,2.8815,2.8815,0.3034,0.3034,0.3034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,72,3,0.23,144,0.005290060730222237,3,True,True,,,,,,,,,,,,
11,467,3,0.31,79,0.006382482239223045,3,False,False,0.4691,0.8077,0.8042,0.9023,0.7955,0.7955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,3,True,False,2.4445,2.4445,2.4445,0.4170,0.4170,0.4170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,467,3,0.31,79,0.006382482239223045,3,True,True,,,,,,,,,,,,
12,377,0,0.37,159,0.007700493739376462,4,False,False,1.7011,1.7581,1.7130,0.5703,0.5586,0.5706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,False,2.9899,2.9899,2.9899,0.2708,0.2708,0.2708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,377,0,0.37,159,0.007700493739376462,4,True,True,,,,,,,,,,,,
13,436,2,0.25,154,0.009290680585958758,4,False,False,0.2637,0.8366,0.8261,0.9644,0.8098,0.8178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,False,2.0897,2.0897,2.0897,0.5103,0.5103,0.5103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,436,2,0.25,154,0.009290680585958758,4,True,True,,,,,,,,,,,,
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,0.6579,0.8898,0.8920,0.8390,0.7655,0.7675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,False,2.6794,2.6794,2.6794,0.3288,0.3288,0.3288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,True,True,,,,,,,,,,,,
15,326,3,0.09,115,0.013524008765720979,4,False,False,0.3623,0.9301,0.8960,0.9224,0.7902,0.7954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,4,True,False,1.8305,1.8305,1.8305,0.5252,0.5252,0.5252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,326,3,0.09,115,0.013524008765720979,4,True,True,,,,,,,,,,,,
16,326,2,0.02,124,0.01631677785042834,5,False,False,0.6443,1.0374,1.0238,0.8548,0.7569,0.7577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
