run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,2.1657,2.2005,2.1517,0.3584,0.3620,0.3668,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,768,0.0009765625,1,False,False,2.2145,2.2440,2.1971,0.3586,0.3619,0.3669,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,2.4602,2.4881,2.4477,0.2113,0.2149,0.2118,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,2.2814,2.3070,2.2625,0.3580,0.3616,0.3671,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.1739,1.2432,1.1803,0.7083,0.6930,0.7102,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.3881,1.4248,1.3663,0.6642,0.6540,0.6719,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.3822,1.4192,1.3604,0.6646,0.6547,0.6717,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,768,0.0030121305183748843,2,False,False,1.3542,1.3939,1.3331,0.6663,0.6567,0.6741,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7812,0.8879,0.8155,0.8211,0.7979,0.8118,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.7592,0.8850,0.8122,0.8259,0.7974,0.8145,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,768,0.005290060730222237,3,False,False,0.8952,0.9542,0.8910,0.7830,0.7678,0.7855,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
11,467,3,0.31,768,0.006382482239223045,3,False,False,0.9363,0.9875,0.9269,0.7758,0.7599,0.7778,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,0.7908,0.8507,0.7919,0.8208,0.8064,0.8207,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,768,0.009290680585958758,4,False,False,0.7249,0.7964,0.7385,0.8375,0.8205,0.8340,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,4,False,False,0.8147,0.8725,0.8107,0.8137,0.7983,0.8154,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
15,326,3,0.09,768,0.013524008765720979,4,False,False,0.6359,0.7389,0.6808,0.8593,0.8385,0.8477,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
