run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,300,0.0,1,False,False,2.3232,2.3447,2.3217,0.2149,0.2171,0.2171,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,300,0.0009765625,1,False,False,2.3561,2.3751,2.3497,0.2144,0.2160,0.2166,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,300,0.0011782270808598852,1,False,False,2.4265,2.4426,2.4135,0.2144,0.2160,0.2166,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,300,0.001421536311369323,1,False,False,2.4057,2.4223,2.3943,0.2144,0.2160,0.2166,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,300,0.0017150900003645502,2,False,False,1.2647,1.3136,1.2557,0.6958,0.6897,0.7038,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,300,0.0020692638561704995,2,False,False,1.5225,1.5524,1.4954,0.6656,0.6591,0.6768,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,300,0.0024965762178914648,2,False,False,1.5141,1.5443,1.4872,0.6671,0.6613,0.6784,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,300,0.0030121305183748843,2,False,False,1.4753,1.5066,1.4483,0.6702,0.6640,0.6799,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
8,203,4,0.05,300,0.003634149117781824,3,False,False,0.7663,0.8391,0.7954,0.8371,0.8311,0.8370,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,300,0.004384617376208487,3,False,False,0.7881,0.8752,0.8172,0.8332,0.8253,0.8344,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,300,0.005290060730222237,3,False,False,0.8772,0.9243,0.8829,0.8001,0.7955,0.8040,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
11,467,3,0.31,300,0.006382482239223045,3,False,False,0.9291,0.9709,0.9280,0.7901,0.7830,0.7938,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
12,377,0,0.37,300,0.007700493739376462,4,False,False,0.7842,0.8268,0.7893,0.8316,0.8257,0.8365,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,300,0.009290680585958758,4,False,False,0.7053,0.7571,0.7204,0.8512,0.8438,0.8545,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,300,0.011209248221179687,4,False,False,0.8138,0.8536,0.8166,0.8269,0.8199,0.8311,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
15,326,3,0.09,300,0.013524008765720979,4,False,False,0.6078,0.6766,0.6415,0.8749,0.8651,0.8760,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
16,326,2,0.02,300,0.01631677785042834,5,False,False,0.4529,0.5571,0.5169,0.9062,0.8926,0.9003,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,300,0.01968626640460739,5,False,False,0.5325,0.5955,0.5651,0.8863,0.8762,0.8850,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
18,179,1,0.01,300,0.02375156961170491,5,False,False,0.4505,0.5640,0.5199,0.9062,0.8923,0.9002,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
