run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,212,0.0,1,False,False,2.6877,2.7270,2.6814,0.2122,0.2141,0.2146,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1,433,2,0.27,103,0.0009765625,1,False,False,2.8331,2.8527,2.8279,0.1979,0.1994,0.1988,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
2,310,5,0.5,113,0.0011782270808598852,1,False,False,2.4975,2.5376,2.4605,0.4370,0.4267,0.4431,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
3,300,1,0.44,99,0.001421536311369323,1,False,False,2.5105,2.5546,2.4785,0.4388,0.4295,0.4457,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
4,1009,2,0.1,148,0.0017150900003645502,2,False,False,2.1337,2.1789,2.1162,0.4848,0.4752,0.4896,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
5,657,3,0.5,165,0.0020692638561704995,2,False,False,2.2189,2.2649,2.1958,0.4663,0.4545,0.4724,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
6,455,2,0.49,60,0.0024965762178914648,2,False,False,2.3947,2.4492,2.3769,0.4456,0.4325,0.4495,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
7,103,1,0.44,84,0.0030121305183748843,2,False,False,2.3675,2.4244,2.3467,0.4359,0.4233,0.4397,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000
8,203,4,0.05,238,0.003634149117781824,3,False,False,1.8189,1.8501,1.8246,0.5405,0.5322,0.5408,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
9,150,4,0.02,122,0.004384617376208487,3,False,False,2.0194,2.0797,1.9937,0.5208,0.5103,0.5228,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
10,72,3,0.23,144,0.005290060730222237,3,False,False,1.9934,2.0471,1.9793,0.5275,0.5150,0.5312,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
11,467,3,0.31,79,0.006382482239223045,3,False,False,2.1915,2.2416,2.1639,0.4949,0.4844,0.5010,0.0000,0.0000,0.0000,3.0000,3.0000,3.0000
12,377,0,0.37,159,0.007700493739376462,4,False,False,1.9155,1.9629,1.9058,0.5301,0.5219,0.5339,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
13,436,2,0.25,154,0.009290680585958758,4,False,False,1.8633,1.9119,1.8668,0.5394,0.5303,0.5387,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
14,382,2,0.41000000000000003,148,0.011209248221179687,4,False,False,1.9310,1.9792,1.9031,0.5196,0.5085,0.5245,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
15,326,3,0.09,115,0.013524008765720979,4,False,False,1.9256,1.9698,1.9195,0.5274,0.5179,0.5313,0.0000,0.0000,0.0000,4.0000,4.0000,4.0000
16,326,2,0.02,124,0.01631677785042834,5,False,False,1.8198,1.8748,1.8302,0.5480,0.5370,0.5472,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
17,247,2,0.15,240,0.01968626640460739,5,False,False,1.7014,1.7704,1.7267,0.5646,0.5552,0.5629,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
18,179,1,0.01,50,0.02375156961170491,5,False,False,2.1212,2.1783,2.1058,0.4983,0.4893,0.5007,0.0000,0.0000,0.0000,5.0000,5.0000,5.0000
19,137,5,0.3,235,0.028656376350145975,6,False,False,1.6929,1.7500,1.7069,0.5656,0.5556,0.5672,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
20,786,2,0.24,144,0.03457404790277603,6,False,False,1.7991,1.8530,1.7978,0.5467,0.5371,0.5496,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
21,410,1,0.49,188,0.04171374544281356,6,False,False,1.7985,1.8473,1.7958,0.5423,0.5328,0.5456,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
22,388,0,0.48,59,0.050327822873414196,6,False,False,2.1363,2.1921,2.1161,0.4788,0.4677,0.4837,0.0000,0.0000,0.0000,6.0000,6.0000,6.0000
23,38,2,0.4,176,0.06072074632210035,7,False,False,1.7570,1.8104,1.7631,0.5530,0.5430,0.5533,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
24,467,2,0.11,75,0.07325985555120318,7,False,False,1.9531,2.0162,1.9631,0.5196,0.5099,0.5209,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
25,176,4,0.05,210,0.08838834764831845,7,False,False,1.6082,1.6680,1.6415,0.5792,0.5687,0.5708,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
26,57,4,0.0,85,0.10664094190766783,7,False,False,1.9134,1.9950,1.9277,0.5290,0.5201,0.5258,0.0000,0.0000,0.0000,7.0000,7.0000,7.0000
27,968,3,0.22,102,0.12866277958043645,8,False,False,1.8890,1.9448,1.8895,0.5219,0.5078,0.5239,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
28,268,4,0.37,225,0.15523222650918542,8,False,False,1.6296,1.6761,1.6515,0.5757,0.5646,0.5743,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
29,270,0,0.04,187,0.18728838460958516,8,False,False,1.6121,1.6825,1.6580,0.5920,0.5802,0.5832,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
30,596,0,0.43,195,0.22596428459777515,8,False,False,1.7178,1.7701,1.7132,0.5670,0.5581,0.5690,0.0000,0.0000,0.0000,8.0000,8.0000,8.0000
31,694,3,0.18,230,0.2726269331663144,9,False,False,1.5549,1.6158,1.5996,0.5995,0.5871,0.5883,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
32,837,4,0.09,187,0.32892563008340914,9,False,False,1.5990,1.6734,1.6345,0.5971,0.5777,0.5885,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
33,487,0,0.14,112,0.39685026299204973,9,False,False,1.7497,1.8030,1.7650,0.5616,0.5522,0.5621,0.0000,0.0000,0.0000,9.0000,9.0000,9.0000
34,418,5,0.37,188,0.47880164034928685,10,False,False,1.6482,1.7074,1.6630,0.5854,0.5740,0.5837,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
35,407,5,0.35000000000000003,94,0.577676348436136,10,False,False,1.8994,1.9569,1.8990,0.5350,0.5234,0.5347,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
36,657,2,0.11,182,0.6969691317244994,10,False,False,1.5999,1.6800,1.6381,0.5936,0.5820,0.5880,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
37,442,1,0.41000000000000003,215,0.8408964152537145,10,False,False,1.6327,1.6873,1.6447,0.5960,0.5803,0.5922,0.0000,0.0000,0.0000,10.0000,10.0000,10.0000
38,398,4,0.23,292,1.0145453349375229,11,False,False,1.4635,1.5415,1.5083,0.6171,0.5984,0.6112,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
39,369,4,0.29,98,1.2240535433046547,11,False,False,1.8541,1.9059,1.8443,0.5534,0.5414,0.5534,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
40,75,4,0.33,67,1.4768261459394993,11,False,False,2.0006,2.0663,1.9815,0.5096,0.4956,0.5128,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
41,179,0,0.02,177,1.7817974362806772,11,False,False,1.5731,1.6524,1.6156,0.5914,0.5795,0.5869,0.0000,0.0000,0.0000,11.0000,11.0000,11.0000
42,442,4,0.19,159,2.149746679841392,12,False,False,1.6419,1.7124,1.6724,0.5811,0.5679,0.5751,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
43,111,1,0.22,237,2.5936791093020193,12,False,False,1.5183,1.5995,1.5566,0.6121,0.5973,0.6087,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
44,242,1,0.45,123,3.1292855968155457,12,False,False,1.8507,1.9046,1.8437,0.5318,0.5193,0.5359,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
45,107,3,0.21,118,3.7754972507267723,12,False,False,1.7596,1.8196,1.7663,0.5584,0.5445,0.5586,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000
46,150,2,0.2,70,4.555154539026766,13,False,False,1.9482,2.0014,1.9449,0.5280,0.5155,0.5307,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
47,38,1,0.2,128,5.495814589832352,13,False,False,1.7135,1.7788,1.7264,0.5686,0.5579,0.5673,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
48,248,1,0.49,92,6.6307252030723465,13,False,False,1.9827,2.0530,1.9708,0.5091,0.4960,0.5140,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
49,670,0,0.45,89,8.0,13,False,False,1.9528,2.0110,1.9395,0.5208,0.5098,0.5234,0.0000,0.0000,0.0000,13.0000,13.0000,13.0000
