	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
0	0	776	0	0.15	768	0.0	1	False	False	0.2912	0.4688	0.464	0.9421	0.9089	0.9132	3997.6531	3997.6531	3997.6531	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
1	1	433	2	0.27	768	0.0009765625	1	False	False	0.8895	0.9467	0.932	0.8588	0.8478	0.8472	715.4732	715.4732	715.4732	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
2	2	310	5	0.5	768	0.0011782270808598852	2	False	False	1.0301	1.0835	1.0677	0.8404	0.8308	0.8317	610.8794	610.8794	610.8794	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
3	3	300	1	0.44	768	0.001421536311369323	3	False	False	1.1032	1.155	1.1411	0.8328	0.8249	0.8234	554.5577	554.5577	554.5577	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
4	4	1009	2	0.1	768	0.0017150900003645502	4	False	False	1.1475	1.1978	1.1873	0.8292	0.8223	0.8212	517.8018	517.8018	517.8018	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
5	5	657	3	0.5	768	0.0020692638561704995	5	False	False	1.3396	1.3857	1.3742	0.8044	0.8003	0.7978	430.0014	430.0014	430.0014	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
6	6	455	2	0.49	768	0.0024965762178914648	6	False	False	1.467	1.5093	1.4996	0.786	0.7828	0.7817	377.6045	377.6045	377.6045	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
7	7	103	1	0.44	768	0.0030121305183748843	7	False	False	1.5985	1.6376	1.6303	0.7652	0.7637	0.7601	331.1869	331.1869	331.1869	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
8	8	203	4	0.05	768	0.0036341491177818244	8	False	False	1.7031	1.7395	1.7344	0.7494	0.7464	0.7441	297.3574	297.3574	297.3574	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
9	9	150	4	0.02	768	0.004384617376208487	9	False	False	1.8839	1.9159	1.9129	0.722	0.7203	0.7156	252.0248	252.0248	252.0248	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
10	10	72	3	0.23	768	0.005290060730222237	10	False	False	2.1054	2.1323	2.1309	0.6916	0.6886	0.685	206.8151	206.8151	206.8151	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
11	11	467	3	0.31	768	0.006382482239223045	11	False	False	2.3353	2.3565	2.3564	0.6443	0.6428	0.6435	168.215	168.215	168.215	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
12	12	377	0	0.37	768	0.007700493739376463	12	False	False	2.5742	2.5904	2.5907	0.5957	0.5966	0.5979	134.9523	134.9523	134.9523	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
13	13	436	2	0.25	768	0.009290680585958758	13	False	False	2.7911	2.8047	2.8043	0.5421	0.5413	0.5444	109.6597	109.6597	109.6597	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
14	14	382	2	0.41	768	0.011209248221179687	14	False	False	3.0745	3.0839	3.0839	0.4589	0.4606	0.4611	82.5261	82.5261	82.5261	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
15	15	326	3	0.09	768	0.01352400876572098	15	False	False	3.2905	3.2973	3.2978	0.3959	0.4005	0.3993	64.8544	64.8544	64.8544	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
16	16	326	2	0.02	768	0.01631677785042834	16	False	False	3.5163	3.5199	3.522	0.3635	0.3667	0.3646	49.6911	49.6911	49.6911	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
17	17	247	2	0.15	768	0.01968626640460739	17	False	False	3.7788	3.7788	3.7826	0.3554	0.3569	0.3566	35.4258	35.4258	35.4258	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
18	18	179	1	0.01	768	0.02375156961170491	18	False	False	4.0015	3.9976	4.0026	0.3285	0.33	0.3295	24.9588	24.9588	24.9588	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
19	19	137	5	0.3	768	0.028656376350145975	19	False	False	4.2176	4.212	4.2181	0.248	0.2525	0.2517	16.5722	16.5722	16.5722	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
20	20	786	2	0.24	768	0.03457404790277603	20	False	False	4.442	4.4351	4.4421	0.1893	0.1948	0.1957	10.1641	10.1641	10.1641	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
21	21	410	1	0.49	768	0.04171374544281356	21	False	False	4.5389	4.5321	4.5407	0.1229	0.1325	0.1333	6.4603	6.4603	6.4603	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
22	22	388	0	0.48	768	0.0503278228734142	22	False	False	4.5581	4.5507	4.5589	0.1229	0.1325	0.1333	6.033	6.033	6.033	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
23	23	38	2	0.4	768	0.06072074632210035	23	False	False	4.581	4.573	4.5805	0.1229	0.1325	0.1333	5.6149	5.6149	5.6149	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
24	24	467	2	0.11	768	0.07325985555120318	24	False	False	4.6093	4.6008	4.6075	0.1229	0.1325	0.1333	5.1911	5.1911	5.1911	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
25	25	176	4	0.05	768	0.08838834764831845	25	False	False	4.6449	4.6359	4.6419	0.1229	0.1325	0.1333	4.7486	4.7486	4.7486	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
26	26	57	4	0.0	768	0.10664094190766783	26	False	False	4.69	4.6807	4.686	0.1229	0.1325	0.1333	4.2838	4.2838	4.2838	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
27	27	968	3	0.22	768	0.12866277958043645	27	False	False	4.7479	4.7384	4.743	0.1229	0.1325	0.1333	3.7895	3.7895	3.7895	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
28	28	268	4	0.37	768	0.15523222650918542	28	False	False	4.8233	4.8139	4.8176	0.1229	0.1325	0.1333	3.259	3.259	3.259	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
29	29	270	0	0.04	768	0.1872883846095852	29	False	False	4.9243	4.9155	4.9183	0.1229	0.1325	0.1333	2.6663	2.6663	2.6663	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
