	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language
0	0	776	0	0.15	768	0.0	1	False	False	0.6382	1.1039	1.0904	0.9032	0.806	0.8003	22208.5391	22208.5391	22208.5391	768.0	768.0	768.0	bert	linear	english
1	1	433	2	0.27	768	0.0009765625	0	False	False	2.2409	2.0656	2.0599	0.6077	0.6267	0.6379	497.9458	497.9458	497.9458	685.0	685.0	685.0	bert	linear	english
2	2	310	5	0.5	768	0.0011782270808598852	0	False	False	2.5131	2.304	2.2941	0.5682	0.5912	0.6047	356.1399	356.1399	356.1399	707.0	707.0	707.0	bert	linear	english
3	3	300	1	0.44	768	0.001421536311369323	0	False	False	2.5599	2.3416	2.3317	0.5514	0.5793	0.5919	302.643	302.643	302.643	693.0	693.0	693.0	bert	linear	english
4	4	1009	2	0.1	768	0.0017150900003645502	0	False	False	2.4767	2.2615	2.2542	0.5437	0.5713	0.5861	294.4182	294.4182	294.4182	664.0	664.0	664.0	bert	linear	english
5	5	657	3	0.5	768	0.0020692638561704995	0	False	False	2.8129	2.5636	2.5511	0.4979	0.5367	0.5504	179.9391	179.9391	179.9391	689.0	689.0	689.0	bert	linear	english
6	6	455	2	0.49	768	0.0024965762178914648	0	False	False	2.9044	2.643	2.6311	0.4727	0.5113	0.5254	142.7847	142.7847	142.7847	684.0	684.0	684.0	bert	linear	english
7	7	103	1	0.44	768	0.0030121305183748843	0	False	False	2.9593	2.69	2.6803	0.4498	0.489	0.5042	120.6649	120.6649	120.6649	675.0	675.0	675.0	bert	linear	english
8	8	203	4	0.05	768	0.0036341491177818244	0	False	False	2.8831	2.6146	2.61	0.4376	0.4759	0.4901	124.7761	124.7761	124.7761	650.0	650.0	650.0	bert	linear	english
9	9	150	4	0.02	768	0.004384617376208487	0	False	False	2.9756	2.6967	2.6927	0.4089	0.4478	0.466	101.8573	101.8573	101.8573	651.0	651.0	651.0	bert	linear	english
