	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
0	0	776	0	0.15	768	0.0	1	False	False	0.2078	0.2751	0.2758	0.9541	0.9402	0.9387	1131.0724	1131.0724	1131.0724	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
1	1	433	2	0.27	768	0.0009765625	1	False	False	0.4014	0.4478	0.4508	0.9279	0.9197	0.9169	378.1893	378.1893	378.1893	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
2	2	310	5	0.5	768	0.0011782270808598852	1	False	False	0.4681	0.5134	0.5154	0.9188	0.9091	0.906	336.0136	336.0136	336.0136	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
3	3	300	1	0.44	768	0.001421536311369323	1	False	False	0.4906	0.5355	0.5384	0.9173	0.9079	0.9046	316.429	316.429	316.429	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
4	4	1009	2	0.1	768	0.0017150900003645502	2	False	False	0.4932	0.5375	0.5425	0.9205	0.9128	0.9088	306.5227	306.5227	306.5227	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
5	5	657	3	0.5	768	0.0020692638561704995	2	False	False	0.5879	0.6309	0.6339	0.9087	0.8993	0.8963	268.111	268.111	268.111	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
6	6	455	2	0.49	768	0.0024965762178914648	2	False	False	0.6373	0.6789	0.6822	0.905	0.8953	0.8928	248.3076	248.3076	248.3076	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
7	7	103	1	0.44	768	0.0030121305183748843	3	False	False	0.6877	0.7278	0.7314	0.9013	0.8916	0.8891	230.3887	230.3887	230.3887	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
8	8	203	4	0.05	768	0.0036341491177818244	3	False	False	0.7185	0.7563	0.7618	0.8999	0.8908	0.8868	218.5297	218.5297	218.5297	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
9	9	150	4	0.02	768	0.004384617376208487	3	False	False	0.8032	0.8382	0.8443	0.8885	0.881	0.8763	197.3752	197.3752	197.3752	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
10	10	72	3	0.23	768	0.005290060730222237	4	False	False	0.9274	0.9583	0.9649	0.8671	0.8602	0.8564	172.4278	172.4278	172.4278	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
11	11	467	3	0.31	768	0.006382482239223045	4	False	False	1.0661	1.0909	1.1013	0.85	0.8429	0.839	149.5212	149.5212	149.5212	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
12	12	377	0	0.37	768	0.007700493739376463	4	False	False	1.2132	1.2346	1.2452	0.8289	0.8208	0.8203	129.5506	129.5506	129.5506	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
13	13	436	2	0.25	768	0.009290680585958758	5	False	False	1.3523	1.3708	1.3811	0.8029	0.7947	0.7944	113.4217	113.4217	113.4217	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
14	14	382	2	0.41	768	0.011209248221179687	5	False	False	1.5702	1.5861	1.5952	0.7515	0.7404	0.741	93.0447	93.0447	93.0447	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
15	15	326	3	0.09	768	0.01352400876572098	5	False	False	1.7461	1.7594	1.7688	0.7092	0.6995	0.6985	78.7785	78.7785	78.7785	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
16	16	326	2	0.02	768	0.01631677785042834	6	False	False	1.9867	1.9972	2.0069	0.6611	0.6485	0.6459	62.5917	62.5917	62.5917	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
17	17	247	2	0.15	768	0.01968626640460739	6	False	False	2.2513	2.2612	2.273	0.6171	0.6039	0.6	47.884	47.884	47.884	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
18	18	179	1	0.01	768	0.02375156961170491	6	False	False	2.4975	2.5046	2.5172	0.5806	0.567	0.566	36.5215	36.5215	36.5215	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
19	19	137	5	0.3	768	0.028656376350145975	7	False	False	2.8106	2.8118	2.8254	0.503	0.4931	0.4926	24.6323	24.6323	24.6323	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
20	20	786	2	0.24	768	0.03457404790277603	7	False	False	3.1293	3.1243	3.1392	0.3912	0.3902	0.3889	14.5538	14.5538	14.5538	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
21	21	410	1	0.49	768	0.04171374544281356	7	False	False	3.4166	3.4088	3.4241	0.2763	0.2806	0.2768	7.0112	7.0112	7.0112	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
22	22	388	0	0.48	768	0.0503278228734142	8	False	False	3.6018	3.5963	3.6102	0.1705	0.1677	0.1654	2.9416	2.9416	2.9416	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
23	23	38	2	0.4	768	0.06072074632210035	8	False	False	3.6387	3.6345	3.6475	0.1705	0.1677	0.1654	2.23	2.23	2.23	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
24	24	467	2	0.11	768	0.07325985555120318	8	False	False	3.652	3.6483	3.6605	0.1705	0.1677	0.1654	2.0282	2.0282	2.0282	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
25	25	176	4	0.05	768	0.08838834764831845	9	False	False	3.6681	3.6651	3.6762	0.1705	0.1677	0.1654	1.8272	1.8272	1.8272	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
26	26	57	4	0.0	768	0.10664094190766783	9	False	False	3.6885	3.6861	3.6961	0.1705	0.1677	0.1654	1.6168	1.6168	1.6168	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
27	27	968	3	0.22	768	0.12866277958043645	9	False	False	3.7147	3.713	3.7217	0.1705	0.1677	0.1654	1.3924	1.3924	1.3924	15.0	15.0	15.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
28	28	268	4	0.37	768	0.15523222650918542	10	False	False	3.7491	3.748	3.7552	0.1705	0.1677	0.1654	1.1492	1.1492	1.1492	15.0	15.0	15.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
29	29	270	0	0.04	768	0.1872883846095852	10	False	False	3.7956	3.795	3.8005	0.1705	0.1677	0.1654	0.8766	0.8766	0.8766	15.0	15.0	15.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
30	30	596	0	0.43	768	0.22596428459777515	10	False	False	3.8611	3.8608	3.8643	0.1705	0.1677	0.1654	0.5578	0.5578	0.5578	15.0	15.0	15.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
31	31	694	3	0.18	768	0.2726269331663144	11	False	False	3.9579	3.9579	3.9589	0.1705	0.1677	0.1654	0.1659	0.1659	0.1659	11.0	11.0	11.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
32	32	837	4	0.09	768	0.32892563008340914	11	False	False	3.9898	3.9898	3.9901	0.1705	0.1677	0.1654	0.0592	0.0592	0.0592	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
33	33	487	0	0.14	768	0.3968502629920497	11	False	False	3.9989	3.9989	3.9989	0.1705	0.1677	0.1654	0.0283	0.0283	0.0283	16.0	16.0	16.0	bert	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
